node_id,n_parent,n_left,n_right,cp_pval,cp_significant,sb_pval,sb_different,dist_parent_mean,dist_left_mean,dist_right_mean,power,effect_size,n_required,is_sufficient
N400,2,1,1,0.9836408759212388,False,,False,0.385,0.35,0.42,0.0,0.0,inf,False
N401,2,1,1,0.9379286996312519,False,,False,0.285,0.29,0.28,0.0,0.0,inf,False
N402,2,1,1,0.9953895802330952,False,,False,0.345,0.33,0.36,0.0,0.0,inf,False
N403,2,1,1,0.998139248432048,False,,False,0.745,0.78,0.71,0.0,0.0,inf,False
N404,2,1,1,0.9082384111311748,False,,False,0.32,0.33,0.31,0.0,0.0,inf,False
N405,2,1,1,0.9055865651346657,False,,False,0.45,0.44,0.46,0.0,0.0,inf,False
N406,2,1,1,0.9807627788445296,False,,False,0.75,0.73,0.77,0.0,0.0,inf,False
N407,2,1,1,0.9953784070752675,False,,False,0.57,0.52,0.62,0.0,0.0,inf,False
N408,2,1,1,0.9962475177486964,False,,False,0.57,0.53,0.61,0.0,0.0,inf,False
N409,2,1,1,0.9985550337953466,False,,False,0.53,0.5,0.56,0.0,0.0,inf,False
N410,2,1,1,0.9985571971541205,False,,False,0.255,0.26,0.25,0.0,0.0,inf,False
N411,2,1,1,0.9993090126077686,False,,False,0.425,0.4,0.45,0.0,0.0,inf,False
N412,2,1,1,0.9750843058841193,False,,False,0.635,0.62,0.65,0.0,0.0,inf,False
N413,2,1,1,0.9104159413341396,False,,False,0.28,0.24,0.32,0.0,0.0,inf,False
N414,2,1,1,0.9949704360313647,False,,False,0.39,0.39,0.39,0.0,0.0,inf,False
N415,2,1,1,0.9720480335189294,False,,False,0.4,0.38,0.42,0.0,0.0,inf,False
N416,2,1,1,0.9982683563842697,False,,False,0.49,0.51,0.47,0.0,0.0,inf,False
N417,2,1,1,0.9934187185092778,False,,False,0.43,0.44,0.42,0.0,0.0,inf,False
N418,2,1,1,0.9645974608706602,False,,False,0.43,0.45,0.41,0.0,0.0,inf,False
N419,2,1,1,0.9720480335189294,False,,False,0.43,0.47,0.39,0.0,0.0,inf,False
N420,2,1,1,0.9458820726814846,False,,False,0.69,0.64,0.74,0.0,0.0,inf,False
N421,2,1,1,0.9830794593264673,False,,False,0.65,0.66,0.64,0.0,0.0,inf,False
N422,2,1,1,0.9862489569796413,False,,False,0.7,0.69,0.71,0.0,0.0,inf,False
N423,2,1,1,0.9817425814454469,False,,False,0.405,0.4,0.41,0.0,0.0,inf,False
N424,2,1,1,0.7959855025286457,False,,False,0.335,0.32,0.35,0.0,0.0,inf,False
N425,2,1,1,0.9906886113473888,False,,False,0.425,0.45,0.4,0.0,0.0,inf,False
N426,2,1,1,0.9858109636621022,False,,False,0.615,0.58,0.65,0.0,0.0,inf,False
