sample_id,truth_label,predicted_label
S0,0,2
S1,0,1
S2,0,1
S3,0,1
S4,0,1
S5,0,1
S6,0,2
S7,0,2
S8,0,0
S9,0,2
S10,0,1
S11,0,1
S12,0,1
S13,0,2
S14,0,2
S15,0,2
S16,0,2
S17,0,0
S18,0,0
S19,0,2
S20,0,2
S21,0,2
S22,0,1
S23,0,1
S24,0,2
S25,0,0
S26,0,0
S27,0,2
S28,0,1
S29,0,2
S30,0,0
S31,0,1
S32,0,1
S33,0,1
S34,0,2
S35,0,0
S36,0,1
S37,0,0
S38,0,2
S39,0,2
S40,0,0
S41,0,0
S42,0,0
S43,0,2
S44,0,0
S45,0,1
S46,0,2
S47,0,2
S48,0,1
S49,0,2
S50,0,1
S51,0,2
S52,0,2
S53,0,2
S54,0,0
S55,0,2
S56,0,2
S57,0,1
S58,0,0
S59,0,2
S60,0,2
S61,0,2
S62,0,2
S63,0,2
S64,0,1
S65,0,1
S66,0,1
S67,0,2
S68,0,2
S69,0,2
S70,0,0
S71,0,0
S72,0,1
S73,0,1
S74,0,1
S75,0,2
S76,0,2
S77,0,1
S78,0,0
S79,0,2
S80,0,1
S81,0,1
S82,0,0
S83,0,1
S84,0,1
S85,0,0
S86,0,0
S87,0,2
S88,0,2
S89,0,0
S90,0,1
S91,0,2
S92,0,1
S93,0,2
S94,0,0
S95,0,1
S96,0,1
S97,0,2
S98,0,0
S99,0,2
S100,0,2
S101,0,0
S102,0,0
S103,0,2
S104,0,2
S105,0,0
S106,0,0
S107,0,0
S108,0,2
S109,0,1
S110,0,1
S111,0,0
S112,0,1
S113,0,2
S114,0,0
S115,0,2
S116,0,1
S117,0,1
S118,0,0
S119,0,1
S120,0,2
S121,0,2
S122,0,2
S123,0,2
S124,0,2
S125,0,1
S126,0,0
S127,0,1
S128,0,2
S129,0,2
S130,0,1
S131,0,2
S132,0,0
S133,0,0
S134,0,1
S135,0,2
S136,0,0
S137,0,1
S138,0,0
S139,0,2
S140,0,1
S141,0,2
S142,0,2
S143,0,2
S144,0,2
S145,0,2
S146,0,2
S147,0,2
S148,0,2
S149,0,2
S150,0,1
S151,0,0
S152,0,1
S153,0,1
S154,0,2
S155,0,0
S156,0,2
S157,0,1
S158,0,2
S159,0,0
S160,0,2
S161,0,0
S162,0,1
S163,0,0
S164,0,1
S165,0,2
S166,0,0
S167,0,1
S168,0,1
S169,0,0
S170,0,2
S171,0,2
S172,0,0
S173,0,0
S174,0,2
S175,0,2
S176,0,0
S177,0,1
S178,0,0
S179,0,2
S180,0,2
S181,0,2
S182,0,2
S183,0,0
S184,0,1
S185,0,0
S186,0,0
