parent,child
N400,L327
N400,L347
N401,L140
N401,L368
N402,L172
N402,L268
N403,L97
N403,L384
N404,L178
N404,L280
N405,L171
N405,L256
N406,L190
N406,L331
N407,L335
N407,L378
N408,L183
N408,L244
N409,L31
N409,L130
N410,L48
N410,L153
N411,L283
N411,L349
N412,L278
N412,L288
N413,L60
N413,L63
N414,L315
N414,L356
N415,L204
N415,L361
N416,L69
N416,L108
N417,L46
N417,L51
N418,L56
N418,L91
N419,L167
N419,L298
N420,L360
N420,L364
N421,L175
N421,L199
N422,L143
N422,L323
N423,L212
N423,L219
N424,L157
N424,L338
N425,L182
N425,L221
N426,L70
N426,L341
N427,L90
N427,L216
N428,L184
N428,L369
N429,L81
N429,L233
N430,L1
N430,L109
N431,L127
N431,L292
N432,L3
N432,L285
N433,L165
N433,L200
N434,L45
N434,L241
N435,L12
N435,L23
N436,L126
N436,L138
N437,L100
N437,L121
N438,L296
N438,L310
N439,L57
N439,L276
N440,L318
N440,L345
N441,L92
N441,L196
N442,L376
N442,N438
N443,L41
N443,L185
N444,L58
N444,L85
N445,L29
N445,L320
N446,L151
N446,L312
N447,L98
N447,L261
N448,L147
N448,L210
N449,L156
N449,L359
N450,L28
N450,L77
N451,L80
N451,L379
N452,L118
N452,L397
N453,L149
N453,L328
N454,L99
N454,L385
N455,L33
N455,L266
N456,L96
N456,L309
N457,L24
N457,L259
N458,L76
N458,L191
N459,L83
N459,L164
N460,L289
N460,L317
N461,L0
N461,L254
N462,L265
N462,L388
N463,L5
N463,L10
N464,L7
N464,L218
N465,L383
N465,L394
N466,L325
N466,L339
N467,L66
N467,L134
N468,L87
N468,L282
N469,L272
N469,L333
N470,L141
N470,L270
N471,L277
N471,L307
N472,L82
N472,L370
N473,L231
N473,L354
N474,L38
N474,L135
N475,L40
N475,L214
N476,L252
N476,L365
N477,L128
N477,L264
N478,L103
N478,L205
N479,L197
N479,L375
N480,L71
N480,L94
N481,L169
N481,L337
N482,L54
N482,L396
N483,L52
N483,L229
N484,L65
N484,L319
N485,L192
N485,L371
N486,L152
N486,L274
N487,L110
N487,L187
N488,L302
N488,L330
N489,L336
N489,N445
N490,L55
N490,L357
N491,L316
N491,N441
N492,L133
N492,L350
N493,L188
N493,L390
N494,L251
N494,L255
N495,L181
N495,L224
N496,L102
N496,L287
N497,L37
N497,L42
N498,L36
N498,N415
N499,L299
N499,N427
N500,L17
N500,N402
N501,L228
N501,N428
N502,L117
N502,L195
N503,L22
N503,L222
N504,L363
N504,L387
N505,L226
N505,L267
N506,L242
N506,L352
N507,L174
N507,L213
N508,L8
N508,L262
N509,L9
N509,L13
N510,L162
N510,L237
N511,L234
N511,L314
N512,L137
N512,L253
N513,L59
N513,L351
N514,L88
N514,L93
N515,L89
N515,L136
N516,L290
N516,L329
N517,L16
N517,L208
N518,L26
N518,L105
N519,L78
N519,L373
N520,L30
N520,L322
N521,L61
N521,L344
N522,L39
N522,L332
N523,L101
N523,L106
N524,L186
N524,L392
N525,L176
N525,L240
N526,L163
N526,L381
N527,L11
N527,L238
N528,L367
N528,L386
N529,L116
N529,N455
N530,L189
N530,L232
N531,L75
N531,L346
N532,L281
N532,L334
N533,L173
N533,L227
N534,L62
N534,L68
N535,L123
N535,L395
N536,L122
N536,L257
N537,L382
N537,L398
N538,L206
N538,L273
N539,L194
N539,L303
N540,L160
N540,L249
N541,L343
N541,N466
N542,L293
N542,N423
N543,L211
N543,N416
N544,L15
N544,L144
N545,L19
N545,L247
N546,L145
N546,L391
N547,L150
N547,L321
N548,L14
N548,L215
N549,L198
N549,L313
N550,L304
N550,N449
N551,L34
N551,L324
N552,L125
N552,L207
N553,L124
N553,L366
N554,L179
N554,L180
N555,L43
N555,L79
N556,L243
N556,L248
N557,L146
N557,L217
N558,L114
N558,L203
N559,L18
N559,N440
N560,L294
N560,N528
N561,L119
N561,L372
N562,L25
N562,L230
N563,L297
N563,L340
N564,L225
N564,L374
N565,L193
N565,L306
N566,L86
N566,L132
N567,L220
N567,N444
N568,L74
N568,L177
N569,N417
N569,N470
N570,L104
N570,N465
N571,L245
N571,N462
N572,L113
N572,N473
N573,L2
N573,L32
N574,L6
N574,L67
N575,L21
N575,L142
N576,L158
N576,L295
N577,L311
N577,N439
N578,L284
N578,L300
N579,L263
N579,N522
N580,L112
N580,L269
N581,L115
N581,L260
N582,L44
N582,L258
N583,L35
N583,L305
N584,L223
N584,L348
N585,L47
N585,L148
N586,L380
N586,N454
N587,N459
N587,N512
N588,L95
N588,L168
N589,L399
N589,N446
N590,L393
N590,N412
N591,N413
N591,N418
N592,L154
N592,N483
N593,L166
N593,N404
N594,N429
N594,N451
N595,N405
N595,N532
N596,N422
N596,N539
N597,L377
N597,N485
N598,L20
N598,N494
N599,L235
N599,N425
N600,L239
N600,N472
N601,L49
N601,N468
N602,L111
N602,N496
N603,N426
N603,N475
N604,L308
N604,N407
N605,L201
N605,N476
N606,N443
N606,N500
N607,L84
N607,N432
N608,L72
N608,N510
N609,L326
N609,N401
N610,L286
N610,N509
N611,L120
N611,N534
N612,N419
N612,N537
N613,L271
N613,N513
N614,L161
N614,N515
N615,N508
N615,N523
N616,L4
N616,N434
N617,L27
N617,N437
N618,L159
N618,L342
N619,L275
N619,N569
N620,L362
N620,N436
N621,L209
N621,N457
N622,L202
N622,L236
N623,N456
N623,N580
N624,L291
N624,L353
N625,L107
N625,N452
N626,N430
N626,N564
N627,L155
N627,N525
N628,N408
N628,N562
N629,N400
N629,N498
N630,N481
N630,N492
N631,L355
N631,N486
N632,N403
N632,N511
N633,N447
N633,N488
N634,N420
N634,N520
N635,N409
N635,N504
N636,L389
N636,N467
N637,N556
N637,N617
N638,N482
N638,N559
N639,L250
N639,N567
N640,N490
N640,N581
N641,L50
N641,L246
N642,N469
N642,N546
N643,N507
N643,N576
N644,L139
N644,N448
N645,L170
N645,N538
N646,N435
N646,N629
N647,L53
N647,N536
N648,L64
N648,L73
N649,N410
N649,N460
N650,N474
N650,N535
N651,L129
N651,N621
N652,N414
N652,N607
N653,L131
N653,N477
N654,L301
N654,N411
N655,N421
N655,N551
N656,L279
N656,N557
N657,N561
N657,N563
N658,N530
N658,N628
N659,N519
N659,N524
N660,N598
N660,N632
N661,N461
N661,N550
N662,L358
N662,N489
N663,N406
N663,N424
N664,N480
N664,N533
N665,N549
N665,N582
N666,N478
N666,N531
N667,N517
N667,N575
N668,N514
N668,N543
N669,N464
N669,N585
N670,N604
N670,N609
N671,N458
N671,N647
N672,N545
N672,N622
N673,N552
N673,N641
N674,N565
N674,N611
N675,N484
N675,N588
N676,N442
N676,N578
N677,N518
N677,N602
N678,N497
N678,N639
N679,N593
N679,N620
N680,N553
N680,N572
N681,N566
N681,N614
N682,N645
N682,N656
N683,N502
N683,N547
N684,N431
N684,N573
N685,N503
N685,N631
N686,N521
N686,N650
N687,N493
N687,N640
N688,N505
N688,N527
N689,N548
N689,N610
N690,N450
N690,N623
N691,N541
N691,N583
N692,N526
N692,N638
N693,N592
N693,N651
N694,N453
N694,N574
N695,N506
N695,N591
N696,N471
N696,N606
N697,N487
N697,N571
N698,N600
N698,N633
N699,N560
N699,N648
N700,N587
N700,N636
N701,N595
N701,N644
N702,N626
N702,N675
N703,N642
N703,N695
N704,N554
N704,N661
N705,N558
N705,N618
N706,N540
N706,N601
N707,N433
N707,N605
N708,N542
N708,N544
N709,N479
N709,N599
N710,N615
N710,N625
N711,N570
N711,N596
N712,N555
N712,N619
N713,N589
N713,N698
N714,N495
N714,N579
N715,N594
N715,N624
N716,N463
N716,N590
N717,N501
N717,N646
N718,N529
N718,N673
N719,N516
N719,N608
N720,N597
N720,N655
N721,N680
N721,N682
N722,N664
N722,N692
N723,N657
N723,N688
N724,N499
N724,N616
N725,N491
N725,N652
N726,N613
N726,N686
N727,N662
N727,N674
N728,N635
N728,N699
N729,N637
N729,N666
N730,N603
N730,N630
N731,N634
N731,N678
N732,N679
N732,N705
N733,N685
N733,N690
N734,N577
N734,N716
N735,N659
N735,N691
N736,N689
N736,N709
N737,N707
N737,N720
N738,N700
N738,N702
N739,N653
N739,N714
N740,N684
N740,N719
N741,N654
N741,N668
N742,N667
N742,N669
N743,N586
N743,N726
N744,N627
N744,N658
N745,N710
N745,N730
N746,N568
N746,N676
N747,N643
N747,N708
N748,N672
N748,N739
N749,N612
N749,N670
N750,N696
N750,N713
N751,N649
N751,N697
N752,N717
N752,N738
N753,N683
N753,N725
N754,N677
N754,N731
N755,N706
N755,N727
N756,N671
N756,N687
N757,N712
N757,N721
N758,N660
N758,N701
N759,N723
N759,N724
N760,N584
N760,N665
N761,N728
N761,N740
N762,N681
N762,N732
N763,N711
N763,N737
N764,N694
N764,N729
N765,N703
N765,N736
N766,N715
N766,N749
N767,N733
N767,N746
N768,N704
N768,N742
N769,N741
N769,N756
N770,N743
N770,N763
N771,N745
N771,N760
N772,N722
N772,N744
N773,N718
N773,N767
N774,N663
N774,N734
N775,N693
N775,N758
N776,N735
N776,N762
N777,N748
N777,N757
N778,N761
N778,N774
N779,N750
N779,N754
N780,N769
N780,N770
N781,N751
N781,N759
N782,N753
N782,N778
N783,N755
N783,N765
N784,N764
N784,N775
N785,N752
N785,N766
N786,N773
N786,N781
N787,N772
N787,N776
N788,N771
N788,N779
N789,N777
N789,N784
N790,N768
N790,N780
N791,N785
N791,N786
N792,N747
N792,N783
N793,N789
N793,N790
N794,N782
N794,N791
N795,N787
N795,N788
N796,N792
N796,N793
N797,N794
N797,N796
N798,N795
N798,N797
