test_case,case_id,case_category,source_family,feature_representation,method,params,true_clusters,found_clusters,samples,features,noise,ari,nmi,purity,macro_recall,macro_f1,worst_cluster_recall,outlier_precision,outlier_recall,outlier_f1,singleton_outlier_isolated,grouped_outlier_cluster_recovered,cluster_count_abs_error,over_split,under_split,tree_build_sec,populate_divergences_sec,edge_gate_sec,edge_gate_contrast_covariance_sec,edge_gate_projection_sec,edge_gate_wald_statistic_sec,edge_gate_tree_bh_sec,spectral_context_sec,tangent_whitening_sec,eigensolve_sec,pca_projection_sec,sibling_gate_sec,sibling_gate_pair_record_collection_sec,sibling_gate_inflation_fit_sec,sibling_gate_adjusted_tests_sec,sibling_gate_fdr_sec,traversal_sec,status,skip_reason,labels_length
1,gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",3,3,30,30,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.000993207999272272,0.0030061670040595345,0.01286949999484932,0.0034366270119789988,0.0001111310048145242,0.0021593329729512334,0.0006913750039529987,0.004005958006018773,0.0003587500104913488,0.0022519590202136897,0.00045441801921697333,0.011815833997388836,0.003230249996704515,0.0002712500063353218,0.0007536249977420084,0.006566709002072457,1.5375000657513738e-05,ok,,30
2,gauss_extreme_noise_highd,gaussian_extreme_noise,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,0,40,20000,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 39 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
3,gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",30,0,300,2000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 299 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
4,gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",3,3,30,20,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0002231659964309074,0.000592500000493601,0.008636915998067707,0.0025782499942579307,9.17089928407222e-05,0.0014340379857458174,0.0003787500027101487,0.0020392500009620562,0.00026487401919439435,0.0009168739852611907,0.00020295801368774846,0.00662387500051409,0.0027586250071180984,0.0002116250034305267,0.00029725000058533624,0.002467457998136524,1.5166006051003933e-05,ok,,30
5,gauss_clear_medium,improved_gaussian,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,4,60,40,0.6,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.00028116699832025915,0.0008433750044787303,0.015417166003317107,0.007405458083667327,0.00013199496606830508,0.0020307899394538254,0.0005048750026617199,0.0030697499969392084,0.0006499599840026349,0.0013664610087289475,0.000220333990000654,0.013849333001417108,0.008686500004841946,0.0002780419963528402,0.00039620800089323893,0.0034229590019094758,3.508299414534122e-05,ok,,60
6,gauss_clear_large,improved_gaussian,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",5,5,100,80,0.7,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0004788330043083988,0.0016620830065221526,0.04081762499845354,0.02134188100899337,0.0003638359921751544,0.005125535033585038,0.0015999160023056902,0.009645083999203052,0.002021169006184209,0.004433952992258128,0.0011849520014948212,0.03517999999894528,0.017331249997369014,0.0003327919985167682,0.0029743749983026646,0.013514999998733401,2.2667001758236438e-05,ok,,100
7,gauss_moderate_3c,improved_gaussian,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",3,3,45,30,1.2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.00026112499472219497,0.0008549580015824176,0.013407790997007396,0.005005460021493491,0.0001349939702777192,0.002233207007520832,0.00044416700256988406,0.0036805829950026236,0.0005512930219992995,0.0016408340015914291,0.0004686239844886586,0.00977933299873257,0.004622250002285,0.00021320900123100728,0.0004925000030198134,0.003708666998136323,1.6250000044237822e-05,ok,,45
8,gauss_moderate_5c,improved_gaussian,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",5,5,75,50,1.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0004605830035870895,0.0013801669992972165,0.027972709001915064,0.012572875013574958,0.0002840850138454698,0.004265707000740804,0.0011757920001400635,0.007120709000446368,0.0012074999904143624,0.0033046699973056093,0.0009969129823730327,0.021560083005169872,0.009299292003561277,0.00025675000506453216,0.0016977090053842403,0.00932370800001081,2.5624998670537025e-05,ok,,75
9,gauss_noisy_3c,improved_gaussian,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",3,3,60,40,2.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0003204160020686686,0.0009254160031559877,0.01849079199746484,0.00756695603922708,0.0001914619715535082,0.002883075976569671,0.0010092920056194998,0.004764625002280809,0.0007054170273477212,0.0023185809986898676,0.0006905440168338828,0.01896341699466575,0.006690667003567796,0.00026654199609765783,0.0013723339943680912,0.009697166002297308,1.9083003280684352e-05,ok,,60
10,gauss_noisy_many,improved_gaussian,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",8,9,120,80,2.0,0.9904868494683827,0.9926921450777983,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.0,0.0005612919994746335,0.001897041998745408,0.04777887499949429,0.025382205058122054,0.00041559498640708625,0.005957945031695999,0.0020809580018976703,0.010938291001366451,0.002194082015193999,0.005203749024076387,0.001386338051815983,0.04050379100226564,0.018568999999843072,0.00033279099443461746,0.003063042000576388,0.01746883300074842,3.2707997888792306e-05,ok,,120
11,gauss_null_small,gaussian_null,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",1,0,60,30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 59 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
12,gauss_null_large,gaussian_null,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",1,0,200,80,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 199 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
13,gauss_clear_medium_continuous,continuous_gaussian_examples,gaussian_blobs,continuous,kl,"tree_distance_metric=euclidean, tree_distance_source=precomputed, tree_linkage_method=average",4,4,60,40,0.6,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0003481660023680888,0.0020418339991010725,0.02529974999924889,0.011865839958772995,0.00027504502213560045,0.003568250955140684,0.0004499159986153245,0.006691124995995779,0.002252920989121776,0.00262745901272865,0.0007249180052895099,0.01257616700604558,0.009439917004783638,0.00027329099975759163,0.00016295800014631823,0.0017021660023601726,2.245799987576902e-05,ok,,60
14,gauss_moderate_3c_continuous,continuous_gaussian_examples,gaussian_blobs,continuous,kl,"tree_distance_metric=euclidean, tree_distance_source=precomputed, tree_linkage_method=average",3,3,45,30,1.2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0002687090018298477,0.0014378749983734451,0.014637833999586292,0.005461336033476982,0.00016216502990573645,0.002460576994053554,0.0003688329961732961,0.003974458006268833,0.0008874210179783404,0.0016862090196809731,0.0005498329846886918,0.008087000001978595,0.005141083995113149,0.0002537500040489249,0.0001183339991257526,0.0015846659953240305,1.6957994375843555e-05,ok,,45
15,gauss_null_large_continuous,continuous_gaussian_examples,gaussian_blobs,continuous,kl,"tree_distance_metric=euclidean, tree_distance_source=precomputed, tree_linkage_method=average",1,1,200,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.000960375000431668,0.011004332998709287,0.15970191600354156,0.10214326097775484,0.0010182449332205579,0.012476326017349493,0.0016564580000704154,0.037220958998659626,0.00890336401789682,0.021969873014313634,0.002565120994404424,0.06414295799913816,0.0624239159951685,0.0,0.0,0.00012095800047973171,2.7541995223145932e-05,ok,,200
16,gauss_extreme_noise_highd_continuous,continuous_gaussian_examples,gaussian_blobs,continuous,kl,"tree_distance_metric=euclidean, tree_distance_source=precomputed, tree_linkage_method=average",4,0,40,20000,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,Dense empirical-Gaussian covariance is only implemented for moderate-dimensional continuous blocks. Block 'continuous' has raw_dimension=20000; the exact dense covariance contract currently supports at most 4096. Use a lower-dimensional continuous benchmark or add a validated low-rank covariance implementation.,0
17,dim_consolidated_4c_24f,gaussian_dimensionality_consolidated,dimensional_gaussian,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,5,160,24,1.0,0.5302883851206509,0.5842180257417371,0.6305118760562346,0.7937500000000001,0.7986630553794734,0.65,,,,,,1.0,1.0,0.0,0.0007380829993053339,0.0016923329967539757,0.03924425000150222,0.014927331991202664,0.0004863310023210943,0.0075708099830080755,0.0026752090052468702,0.010313333004887681,0.0014338739711092785,0.004908405979222152,0.0016439599057775922,0.037325874996895436,0.015110208005353343,0.00040129200351657346,0.0032902919992920943,0.017392166999343317,2.6832996809389442e-05,ok,,160
