case_name,case_category,variant,threshold_policy,minimum_projection_dimension,status,error,true_clusters,found_clusters,ari,median_test_projection_dimension,median_raw_mp_signal_count,raw_zero_fraction,median_effective_independent_rows,median_mp_threshold_rows
gauss_extreme_noise_3c,gaussian_extreme_noise,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,3,,,,,,,
gauss_extreme_noise_3c,gaussian_extreme_noise,leaf_only_floor1,leaf,1,ok,,3,3.0,1.0,1.0,0.0,0.9310344827586207,3.0,3.0
gauss_extreme_noise_3c,gaussian_extreme_noise,leaf_only_floor2,leaf,2,ok,,3,3.0,1.0,2.0,0.0,0.9310344827586207,3.0,3.0
gauss_extreme_noise_highd,gaussian_extreme_noise,leaf_only_floor0,leaf,0,error,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 39 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",4,,,,,,,
gauss_extreme_noise_highd,gaussian_extreme_noise,leaf_only_floor1,leaf,1,error,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 39 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",4,,,,,,,
gauss_extreme_noise_highd,gaussian_extreme_noise,leaf_only_floor2,leaf,2,error,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 39 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",4,,,,,,,
dim_consolidated_4c_24f,gaussian_dimensionality_consolidated,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,4,,,,,,,
dim_consolidated_4c_24f,gaussian_dimensionality_consolidated,leaf_only_floor1,leaf,1,ok,,4,4.0,0.5004075915358738,1.0,0.0,0.9433962264150944,3.0,3.0
dim_consolidated_4c_24f,gaussian_dimensionality_consolidated,leaf_only_floor2,leaf,2,ok,,4,5.0,0.5302883851206509,2.0,0.0,0.9433962264150944,3.0,3.0
dim_consolidated_4c_272f,gaussian_dimensionality_consolidated,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,4,,,,,,,
dim_consolidated_4c_272f,gaussian_dimensionality_consolidated,leaf_only_floor1,leaf,1,ok,,4,2.0,-0.008227517001949874,1.0,1.0,0.03773584905660377,3.0,3.0
dim_consolidated_4c_272f,gaussian_dimensionality_consolidated,leaf_only_floor2,leaf,2,ok,,4,2.0,-0.008227517001949874,2.0,1.0,0.03773584905660377,3.0,3.0
dim_diffuse_6c_36f,gaussian_dimensionality_diffuse,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,6,,,,,,,
dim_diffuse_6c_36f,gaussian_dimensionality_diffuse,leaf_only_floor1,leaf,1,ok,,6,2.0,0.014226207022167791,1.0,0.0,0.8379888268156425,3.0,3.0
dim_diffuse_6c_36f,gaussian_dimensionality_diffuse,leaf_only_floor2,leaf,2,error,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 179 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",6,,,,,,,
sbm_moderate,sbm_graphs,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,0,,,,,,,
sbm_moderate,sbm_graphs,leaf_only_floor1,leaf,1,ok,,0,2.0,0.20833643392757692,1.0,0.0,0.7478991596638656,3.0,3.0
sbm_moderate,sbm_graphs,leaf_only_floor2,leaf,2,ok,,0,2.0,0.20833643392757692,2.0,0.0,0.7478991596638656,3.0,3.0
sbm_hard,sbm_graphs,leaf_only_floor0,leaf,0,error,Zero-dimensional spectral context can only be used with a zero projected-Wald contrast.,0,,,,,,,
