test_case,case_id,case_category,source_family,feature_representation,method,params,true_clusters,found_clusters,samples,features,noise,ari,nmi,purity,macro_recall,macro_f1,worst_cluster_recall,outlier_precision,outlier_recall,outlier_f1,singleton_outlier_isolated,grouped_outlier_cluster_recovered,cluster_count_abs_error,over_split,under_split,tree_build_sec,populate_divergences_sec,edge_gate_sec,edge_gate_contrast_covariance_sec,edge_gate_projection_sec,edge_gate_wald_statistic_sec,edge_gate_tree_bh_sec,spectral_context_sec,tangent_whitening_sec,eigensolve_sec,pca_projection_sec,sibling_gate_sec,sibling_gate_pair_record_collection_sec,sibling_gate_inflation_fit_sec,sibling_gate_adjusted_tests_sec,sibling_gate_fdr_sec,traversal_sec,status,skip_reason,labels_length
1,gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",3,3,30,30,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0005706669981009327,0.0010685419983929023,0.010610958997858688,0.0032693369867047295,0.00010167098662350327,0.0016123770037665963,0.0006083339976612478,0.0026933339977404103,0.0003290390159236267,0.0011961709969909862,0.00038991499604890123,0.011957958995481022,0.0034181670052930713,0.0002774170061456971,0.0007626660008099861,0.006241041999601293,2.204100019298494e-05,ok,,30
2,gauss_extreme_noise_highd,gaussian_extreme_noise,gaussian_blobs,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,0,40,20000,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 39 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
3,dim_consolidated_4c_24f,gaussian_dimensionality_consolidated,dimensional_gaussian,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,5,160,24,1.0,0.5302883851206509,0.5842180257417371,0.6305118760562346,0.7937500000000001,0.7986630553794734,0.65,,,,,,1.0,1.0,0.0,0.0007866250016377307,0.0017682079997030087,0.04114220900373766,0.015090581066033337,0.0005168350180611014,0.007984274030604865,0.0025125840038526803,0.011594999996304978,0.0015275089899660088,0.005572034024226014,0.001852792025601957,0.03706695799337467,0.014461958999163471,0.00046262500109151006,0.00308904200210236,0.01790387499931967,4.600000102072954e-05,ok,,160
4,dim_consolidated_4c_272f,gaussian_dimensionality_consolidated,dimensional_gaussian,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,2,160,272,1.0,-0.008227517001949874,0.001206493586058616,0.000904326024453131,0.2625,0.174916573971079,0.0,,,,,,2.0,0.0,1.0,0.0007962090021464974,0.01572850000229664,0.1475669170031324,0.09856112793204375,0.0007456289531546645,0.009762029054400045,0.002423750003799796,0.032215708000876475,0.00908483501552837,0.014553695982613135,0.0037312930217012763,0.08776079199742526,0.057052708994888235,0.00038620900159003213,0.006391583003278356,0.02264054099941859,2.7250003768131137e-05,ok,,160
5,dim_diffuse_6c_36f,gaussian_dimensionality_diffuse,dimensional_gaussian,median_binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",6,0,180,36,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 179 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
6,sbm_moderate,sbm_graphs,stochastic_block_model,graph_adjacency,kl,"tree_distance_metric=sbm_shifted_modularity, tree_distance_source=precomputed, tree_linkage_method=average",3,2,120,120,0.02,0.20833643392757692,0.17062034690791408,0.1396466357994494,0.5283333333333333,0.4528995496737432,0.0,,,,,,1.0,0.0,1.0,0.0006392499999492429,0.002498875001037959,0.058632832995499484,0.03514729390735738,0.00044816899026045576,0.00634986403019866,0.001031874999171123,0.012671625001530629,0.0028906700463267043,0.005774247947556432,0.0014653659673058428,0.03300854199915193,0.02346662500349339,0.00038012500590411946,0.0013744160023634322,0.006686250002530869,2.179199509555474e-05,ok,,120
7,sbm_hard,sbm_graphs,stochastic_block_model,graph_adjacency,kl,"tree_distance_metric=sbm_shifted_modularity, tree_distance_source=precomputed, tree_linkage_method=average",3,1,120,120,0.04,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,,,,,,2.0,0.0,1.0,0.0008353750017704442,0.0023955419965204783,0.059436250005092006,0.035618327055999544,0.0004997930518584326,0.0068949940032325685,0.0007080409995978698,0.01250070799869718,0.002920128965342883,0.005584576996625401,0.001409996984875761,0.02896158300427487,0.023755999995046295,0.00035441700310911983,0.0003304999991087243,0.00343641600193223,1.7250000382773578e-05,ok,,120
8,cat_highcard_20cat_4c,categorical_high_cardinality,categorical_multinomial,categorical_one_hot,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,0,200,800,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 199 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
9,cat_overlap_3cat_4c,categorical_overlapping,categorical_multinomial,categorical_one_hot,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,3,400,300,0.35,0.6802931292570171,0.8132426959457543,0.7094955852409501,0.74,0.6594231791600214,0.0,,,,,,1.0,0.0,1.0,0.002689458997338079,0.0066026669956045225,0.30518558400217444,0.14358235889812931,0.0016935370294959284,0.02356736194633413,0.00269891599600669,0.12336599999980535,0.06032963299367111,0.0469502289997763,0.00692013101070188,0.11814158399647567,0.10582491699460661,0.0007896249953773804,0.0018487079942133278,0.008432166003331076,4.733300011139363e-05,ok,,400
10,phylo_dna_8taxa_med_mut,phylogenetic_dna,phylogenetic_sequence,categorical_one_hot,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",8,8,160,800,0.4,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0007572909962618724,0.004599583997332957,0.1880322079960024,0.1043673750027665,0.0008646720380056649,0.009981620962207671,0.0025314160011475906,0.06428479199530557,0.042610707991116215,0.013619328005006537,0.003569666965631768,0.08902262499759672,0.06107512499875156,0.00039612500404473394,0.005193375000089873,0.021156583999982104,2.9000002541579306e-05,ok,,160
