case_id,diffusion_family,nnls_mode,base_status,nnls_status,base_found_clusters,nnls_found_clusters,base_ari,nnls_ari,base_nmi,nnls_nmi,independent_improved_count,independent_worse_count,independent_tied_count,independent_improved_metrics,independent_worse_metrics,nnls_skip_reason
cat_overlap_3cat_4c,hamming,nnls_no_edge_time,ok,ok,4,4,0.9484121212121213,0.9484121212121213,0.939426952729396,0.939426952729396,0,0,10,,,
cat_overlap_3cat_4c,hamming,nnls_edge_time,ok,ok,4,4,0.9484121212121213,0.9484121212121213,0.939426952729396,0.939426952729396,0,0,10,,,
cat_overlap_3cat_4c,pydiffmap,nnls_no_edge_time,ok,ok,4,4,0.8644848643817469,0.8644848643817469,0.897442106959732,0.897442106959732,0,0,10,,,
cat_overlap_3cat_4c,pydiffmap,nnls_edge_time,ok,ok,4,4,0.8644848643817469,0.8644848643817469,0.897442106959732,0.897442106959732,0,0,10,,,
cat_overlap_3cat_4c,graphtools,nnls_no_edge_time,ok,ok,3,4,0.712742980561555,0.8959106431954114,0.8571428571428577,0.9083891339896005,4,3,3,cluster_size_entropy;cluster_size_gini;effective_cluster_count;largest_cluster_fraction,calinski_harabasz_index;davies_bouldin_index;silhouette_score,
cat_overlap_3cat_4c,graphtools,nnls_edge_time,ok,ok,3,4,0.712742980561555,0.8959106431954114,0.8571428571428577,0.9083891339896005,4,3,3,cluster_size_entropy;cluster_size_gini;effective_cluster_count;largest_cluster_fraction,calinski_harabasz_index;davies_bouldin_index;silhouette_score,
overlap_unbal_4c_small,hamming,nnls_no_edge_time,ok,ok,4,4,0.670168096745273,0.670168096745273,0.6507028031897798,0.6507028031897798,0,0,10,,,
overlap_unbal_4c_small,hamming,nnls_edge_time,ok,ok,4,4,0.670168096745273,0.670168096745273,0.6507028031897798,0.6507028031897798,0,0,10,,,
overlap_unbal_4c_small,pydiffmap,nnls_no_edge_time,ok,ok,4,4,0.6024203432333544,0.6024203432333544,0.5873263604020399,0.5873263604020399,0,0,10,,,
overlap_unbal_4c_small,pydiffmap,nnls_edge_time,ok,ok,4,4,0.6024203432333544,0.6024203432333544,0.5873263604020399,0.5873263604020399,0,0,10,,,
overlap_unbal_4c_small,graphtools,nnls_no_edge_time,ok,ok,4,4,0.6590088044947379,0.6590088044947379,0.61101433984031,0.61101433984031,0,0,10,,,
overlap_unbal_4c_small,graphtools,nnls_edge_time,ok,ok,4,4,0.6590088044947379,0.6590088044947379,0.61101433984031,0.61101433984031,0,0,10,,,
overlap_mod_4c_small,hamming,nnls_no_edge_time,ok,ok,4,4,0.9147290264157265,0.9147290264157265,0.8916759540686316,0.8916759540686316,0,0,10,,,
overlap_mod_4c_small,hamming,nnls_edge_time,ok,ok,4,4,0.9147290264157265,0.9147290264157265,0.8916759540686316,0.8916759540686316,0,0,10,,,
overlap_mod_4c_small,pydiffmap,nnls_no_edge_time,ok,ok,4,4,0.8520629763241513,0.8520629763241513,0.8456496923506176,0.8456496923506176,0,0,10,,,
overlap_mod_4c_small,pydiffmap,nnls_edge_time,ok,ok,4,4,0.8520629763241513,0.8520629763241513,0.8456496923506176,0.8456496923506176,0,0,10,,,
overlap_mod_4c_small,graphtools,nnls_no_edge_time,ok,ok,4,4,0.9013124846886037,0.9013124846886037,0.8807296551936105,0.8807296551936105,0,0,10,,,
overlap_mod_4c_small,graphtools,nnls_edge_time,ok,ok,4,4,0.9013124846886037,0.9013124846886037,0.8807296551936105,0.8807296551936105,0,0,10,,,
dim_consolidated_4c_24f,hamming,nnls_no_edge_time,ok,ok,7,8,0.58258082274491,0.5220148662134058,0.6390847062217933,0.6235383155680556,5,2,3,cluster_size_entropy;cluster_size_gini;effective_cluster_count;largest_cluster_fraction;silhouette_score,calinski_harabasz_index;davies_bouldin_index,
dim_consolidated_4c_24f,hamming,nnls_edge_time,ok,ok,7,10,0.58258082274491,0.4336737705885826,0.6390847062217933,0.601355517964438,5,2,3,cluster_size_entropy;cluster_size_gini;effective_cluster_count;largest_cluster_fraction;silhouette_score,calinski_harabasz_index;davies_bouldin_index,
dim_consolidated_4c_24f,pydiffmap,nnls_no_edge_time,ok,ok,4,7,0.6653289059824976,0.5298028928480344,0.6468461249428579,0.6053801842553829,3,4,3,cluster_size_entropy;effective_cluster_count;largest_cluster_fraction,calinski_harabasz_index;cluster_size_gini;davies_bouldin_index;silhouette_score,
dim_consolidated_4c_24f,pydiffmap,nnls_edge_time,ok,ok,4,7,0.6653289059824976,0.5298028928480344,0.6468461249428579,0.6053801842553829,3,4,3,cluster_size_entropy;effective_cluster_count;largest_cluster_fraction,calinski_harabasz_index;cluster_size_gini;davies_bouldin_index;silhouette_score,
dim_consolidated_4c_24f,graphtools,nnls_no_edge_time,ok,ok,5,9,0.5437281612396819,0.4035201678286685,0.663945427519269,0.5758548657517188,4,3,3,cluster_size_entropy;davies_bouldin_index;effective_cluster_count;largest_cluster_fraction,calinski_harabasz_index;cluster_size_gini;silhouette_score,
dim_consolidated_4c_24f,graphtools,nnls_edge_time,ok,ok,5,9,0.5437281612396819,0.4035201678286685,0.663945427519269,0.5758548657517188,4,3,3,cluster_size_entropy;davies_bouldin_index;effective_cluster_count;largest_cluster_fraction,calinski_harabasz_index;cluster_size_gini;silhouette_score,
cat_highd_3cat_500feat,hamming,nnls_no_edge_time,ok,ok,14,22,0.5618052275494115,0.28080393125503755,0.7325113957184034,0.6344609991548382,5,2,3,cluster_size_entropy;cluster_size_gini;davies_bouldin_index;effective_cluster_count;largest_cluster_fraction,calinski_harabasz_index;silhouette_score,
cat_highd_3cat_500feat,hamming,nnls_edge_time,ok,ok,14,25,0.5618052275494115,0.23670738889476148,0.7325113957184034,0.6133067852800377,5,2,3,cluster_size_entropy;cluster_size_gini;davies_bouldin_index;effective_cluster_count;largest_cluster_fraction,calinski_harabasz_index;silhouette_score,
cat_highd_3cat_500feat,pydiffmap,nnls_no_edge_time,ok,ok,68,68,0.09846003742076347,0.09846003742076347,0.5128082479920396,0.5128082479920396,0,0,10,,,
cat_highd_3cat_500feat,pydiffmap,nnls_edge_time,ok,ok,68,68,0.09846003742076347,0.09846003742076347,0.5128082479920396,0.5128082479920396,0,0,10,,,
cat_highd_3cat_500feat,graphtools,nnls_no_edge_time,ok,ok,4,4,1.0,1.0,1.0,1.0,0,0,10,,,
cat_highd_3cat_500feat,graphtools,nnls_edge_time,ok,ok,4,4,1.0,1.0,1.0,1.0,0,0,10,,,
gauss_overlap_3c_small,hamming,nnls_no_edge_time,ok,ok,4,6,0.8611942162456394,0.7282148883843491,0.890462071410876,0.8096643865426816,3,4,3,cluster_size_entropy;effective_cluster_count;largest_cluster_fraction,calinski_harabasz_index;cluster_size_gini;davies_bouldin_index;silhouette_score,
gauss_overlap_3c_small,hamming,nnls_edge_time,ok,ok,4,6,0.8611942162456394,0.7282148883843491,0.890462071410876,0.8096643865426816,3,4,3,cluster_size_entropy;effective_cluster_count;largest_cluster_fraction,calinski_harabasz_index;cluster_size_gini;davies_bouldin_index;silhouette_score,
gauss_overlap_3c_small,pydiffmap,nnls_no_edge_time,ok,ok,6,6,0.6743691150605863,0.6743691150605863,0.78641566840447,0.78641566840447,0,0,10,,,
gauss_overlap_3c_small,pydiffmap,nnls_edge_time,ok,ok,6,6,0.6743691150605863,0.6743691150605863,0.78641566840447,0.78641566840447,0,0,10,,,
gauss_overlap_3c_small,graphtools,nnls_no_edge_time,ok,ok,8,8,0.4923389076126947,0.4923389076126947,0.7061185318563697,0.7061185318563697,0,0,10,,,
gauss_overlap_3c_small,graphtools,nnls_edge_time,ok,ok,8,8,0.4923389076126947,0.4923389076126947,0.7061185318563697,0.7061185318563697,0,0,10,,,
gauss_overlap_8c_highd,hamming,nnls_no_edge_time,ok,ok,8,8,1.0,1.0,1.0,1.0,0,0,10,,,
gauss_overlap_8c_highd,hamming,nnls_edge_time,ok,ok,8,8,1.0,1.0,1.0,1.0,0,0,10,,,
gauss_overlap_8c_highd,pydiffmap,nnls_no_edge_time,ok,ok,14,14,0.9343004944078713,0.9343004944078713,0.9522472089968301,0.9522472089968301,0,0,10,,,
gauss_overlap_8c_highd,pydiffmap,nnls_edge_time,ok,ok,14,14,0.9343004944078713,0.9343004944078713,0.9522472089968301,0.9522472089968301,0,0,10,,,
gauss_overlap_8c_highd,graphtools,nnls_no_edge_time,ok,ok,8,8,1.0,1.0,1.0,1.0,0,0,10,,,
gauss_overlap_8c_highd,graphtools,nnls_edge_time,ok,ok,8,8,1.0,1.0,1.0,1.0,0,0,10,,,
