metric,metric_orientation,paired_finite_cases,improved,worse,tie,mean_delta_new_minus_old,median_delta_new_minus_old
ami,higher_better,92,58,12,22,0.3296945225248926,0.0716095692803818
ari,higher_better,92,57,13,22,0.3594030595395304,0.15826000413365687
calinski_harabasz_index,higher_better,51,22,17,12,3.198586009589657,0.0
cluster_count_abs_error,lower_better,92,53,8,31,-0.6630434782608695,-1.0
cluster_size_gini,lower_better,92,31,17,44,-0.03625698359701966,0.0
completeness,higher_better,92,13,20,59,-0.015763192436572353,0.0
davies_bouldin_index,lower_better,51,24,15,12,-0.1745615516776567,0.0
fowlkes_mallows,higher_better,92,56,14,22,0.19853560937008877,0.12132516547444033
homogeneity,higher_better,92,53,7,32,0.3576238215241497,0.10410337039931179
macro_f1,higher_better,92,53,7,32,0.3563723571032962,0.20357428958799
macro_recall,higher_better,92,52,6,34,0.29882816781052385,0.16666666666666663
n_singleton_clusters,lower_better,92,5,4,83,0.2717391304347826,0.0
nmi,higher_better,92,58,12,22,0.3321396144968579,0.06942149440689438
noise_label_fraction,lower_better,92,0,0,92,0.0,0.0
over_split,lower_better,92,7,4,81,-0.03260869565217391,0.0
purity,higher_better,92,52,6,34,0.29626490791062804,0.1625
silhouette_score,higher_better,51,28,11,12,0.02310895386853466,0.002528610079134297
singleton_fraction,lower_better,92,5,4,83,0.001815274003623189,0.0
under_split,lower_better,92,46,1,45,-0.4891304347826087,-0.5
v_measure,higher_better,92,58,12,22,0.3321396144968578,0.06942149440689438
worst_cluster_recall,higher_better,92,51,3,38,0.4907849523821045,0.35000000000000003
