case_id,case_category,source_family,feature_representation,samples,features,true_clusters,old_found_clusters,new_found_clusters,directional_metrics_improved,directional_metrics_worse,directional_metrics_tied,quality_metrics_improved,quality_metrics_worse,quality_metrics_tied,fragmentation_metrics_improved,fragmentation_metrics_worse,fragmentation_metrics_tied,unsupervised_metrics_improved,unsupervised_metrics_worse,unsupervised_metrics_tied,ari_delta,nmi_delta,macro_f1_delta,net_directional_score,net_quality_score,net_fragmentation_score
cat_overlap_3cat_4c,categorical_overlapping,categorical_multinomial,categorical_one_hot,400,300,4,4,4,0,15,6,0,8,0,0,1,6,0,3,0,-0.08392725683037427,-0.04198484576966399,-0.03827062906944356,-15,-8,-1
overlap_unbal_4c_small,overlapping_binary_unbalanced,binary_template,binary,400,100,4,4,4,1,14,6,0,8,0,0,1,6,1,2,0,-0.06774775351191864,-0.0633764427877399,-0.03657529072993593,-13,-8,-1
overlap_mod_4c_small,overlapping_binary_moderate,binary_template,binary,400,80,4,4,4,0,15,6,0,8,0,0,1,6,0,3,0,-0.06266605009157511,-0.04602626171801405,-0.02451120325161238,-15,-8,-1
dim_consolidated_4c_24f,gaussian_dimensionality_consolidated,dimensional_gaussian,median_binary,160,24,4,7,7,3,11,7,0,7,1,1,0,6,2,1,0,-0.052777929896875575,-0.03370452196641038,-0.012365392546426768,-8,-7,1
cat_highd_3cat_500feat,categorical_high_dimensional,categorical_multinomial,categorical_one_hot,200,1500,4,14,68,2,11,8,0,5,3,1,3,3,1,2,0,-0.46334519012864817,-0.2197031477263638,0.0,-9,-5,-2
cat_simplex_face_rare_20cat,method_proof,categorical_dirichlet_multinomial,categorical_one_hot,240,1200,4,2,1,3,9,6,1,6,1,1,1,5,0,0,0,-0.1421861009325364,-0.1806477142112073,-0.1842822774659181,-6,-5,0
gauss_overlap_8c_highd,overlapping_gaussian,gaussian_blobs,median_binary,800,300,8,8,14,0,14,7,0,5,3,0,5,2,0,3,0,-0.06569950559212878,-0.04775279100316998,0.0,-14,-5,-5
phylo_protein_12taxa,phylogenetic_protein,phylogenetic_sequence,categorical_one_hot,180,3000,12,13,16,0,11,10,0,5,3,0,2,5,0,3,0,-0.03078386165221736,-0.01965021145217405,0.0,-11,-5,-2
dim_consolidated_4c_72f,gaussian_dimensionality_consolidated,dimensional_gaussian,median_binary,160,72,4,2,2,1,13,7,1,6,1,0,1,6,0,3,0,-0.0028618236825379006,-0.0029282701460661004,-0.012653122278790702,-12,-5,-1
gauss_overlap_many_10c,overlapping_gaussian,gaussian_blobs,median_binary,1000,150,10,10,11,0,12,9,0,5,3,0,3,4,0,3,0,-0.002201454765346167,-0.002124369741029586,0.0,-12,-5,-3
dim_diffuse_6c_36f,gaussian_dimensionality_diffuse,dimensional_gaussian,median_binary,180,36,6,7,7,2,11,8,1,6,1,1,0,6,0,3,0,-0.0014461735303569964,-0.014902783868577796,-6.520335244980524e-05,-9,-5,1
gauss_overlap_3c_small,overlapping_gaussian,gaussian_blobs,median_binary,300,30,3,4,6,5,11,5,3,5,0,0,2,5,0,3,0,-0.18682510118505313,-0.104046403006406,0.0033334166687499778,-6,-2,-2
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,0,0,21,0,0,8,0,0,7,0,0,3,0.0,0.0,0.0,0,0,0
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,0,0,21,0,0,8,0,0,7,0,0,3,0.0,0.0,0.0,0,0,0
gauss_null_small,gaussian_null,gaussian_blobs,median_binary,60,30,1,1,1,0,0,18,0,0,8,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0
gauss_null_large,gaussian_null,gaussian_blobs,median_binary,200,80,1,1,1,0,0,18,0,0,8,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0
binary_multiscale_4c,binary_multiscale,binary_template,binary,120,160,4,4,4,0,0,21,0,0,8,0,0,7,0,0,3,0.0,0.0,0.0,0,0,0
sbm_moderate,sbm_graphs,stochastic_block_model,graph_adjacency,120,120,3,1,1,0,0,18,0,0,8,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0
sbm_hard,sbm_graphs,stochastic_block_model,graph_adjacency,120,120,3,1,1,0,0,18,0,0,8,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0
phylo_dna_4taxa_low_mut,phylogenetic_dna,phylogenetic_sequence,categorical_one_hot,100,400,4,4,4,0,0,21,0,0,8,0,0,7,0,0,3,0.0,0.0,0.0,0,0,0
phylo_conserved_8taxa,phylogenetic_conserved,phylogenetic_sequence,categorical_one_hot,160,800,8,8,8,0,0,21,0,0,8,0,0,7,0,0,3,0.0,0.0,0.0,0,0,0
