case_id,case_category,source_family,feature_representation,samples,features,true_clusters,old_found_clusters,new_found_clusters,metric,old_value,new_value,delta,direction,metric_orientation
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,ari,0.0,1.0,1.0,improved,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,nmi,0.0,1.0,1.0,improved,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,ami,0.0,1.0,1.0,improved,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,purity,0.3333333333333333,1.0,0.6666666666666667,improved,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,homogeneity,0.0,1.0,1.0,improved,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,completeness,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,v_measure,0.0,1.0,1.0,improved,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,fowlkes_mallows,0.5570860145311556,1.0,0.4429139854688444,improved,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,macro_recall,0.3333333333333333,1.0,0.6666666666666667,improved,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,macro_f1,0.1666666666666666,1.0,0.8333333333333334,improved,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,worst_cluster_recall,0.0,1.0,1.0,improved,higher_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,n_singleton_clusters,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,singleton_fraction,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,median_cluster_size,30.0,10.0,-20.0,descriptive_delta,descriptive
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,largest_cluster_fraction,1.0,0.3333333333333333,-0.6666666666666667,descriptive_delta,descriptive
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,effective_cluster_count,1.0,2.9999999999999996,1.9999999999999996,descriptive_delta,descriptive
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,cluster_size_entropy,-0.0,1.0986122886681096,1.0986122886681096,descriptive_delta,descriptive
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,cluster_size_gini,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,noise_label_fraction,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,cluster_count_abs_error,2.0,0.0,-2.0,improved,lower_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,over_split,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_3c,gaussian_extreme_noise,gaussian_blobs,median_binary,30,30,3,1,3,under_split,1.0,0.0,-1.0,improved,lower_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,ari,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,nmi,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,ami,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,purity,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,homogeneity,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,completeness,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,v_measure,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,fowlkes_mallows,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,macro_recall,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,macro_f1,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,worst_cluster_recall,1.0,1.0,0.0,tie,higher_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,n_singleton_clusters,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,singleton_fraction,0.0,0.0,0.0,tie,lower_better
gauss_extreme_noise_many,gaussian_extreme_noise,gaussian_blobs,median_binary,300,2000,30,30,30,median_cluster_size,10.0,10.0,0.0,descriptive_delta,descriptive
