case_id,new_ari,new_found,new_status,new_skip,case_category,source_family,feature_representation,samples,features,true_clusters,old_ari,old_found,old_status,old_skip,delta
binary_null_medium,,0,skip,kth(=6) out of bounds (1),binary_null,binary_template,binary,200,150,1,1.0,1,ok,,
binary_null_small,,0,skip,kth(=6) out of bounds (1),binary_null,binary_template,binary,60,80,1,1.0,1,ok,,
cat_highcard_20cat_4c,,0,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 199 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",categorical_high_cardinality,categorical_multinomial,categorical_one_hot,200,800,4,0.6543329462259364,3,ok,,
gauss_outlier_cluster_4c,,0,skip,kth(=6) out of bounds (6),gaussian_outlier_contamination,gaussian_outliers,median_binary,166,40,5,1.0,5,ok,,
gauss_outlier_shell_4c,,0,skip,kth(=6) out of bounds (4),gaussian_outlier_contamination,gaussian_outliers,median_binary,172,40,5,0.966210841043282,6,ok,,
gauss_single_outlier_4c,,0,skip,kth(=6) out of bounds (3),gaussian_outlier_singleton,gaussian_outliers,median_binary,161,40,5,0.9915772953178132,4,ok,,
binary_low_noise_2c,,0,skip,kth(=6) out of bounds (6),improved_binary_low_noise,binary_template,binary,40,50,2,0.9074122922711686,3,ok,,
binary_perfect_2c,,0,skip,kth(=6) out of bounds (1),improved_binary_perfect,binary_template,binary,40,50,2,1.0,2,ok,,
binary_perfect_4c,,0,skip,kth(=6) out of bounds (1),improved_binary_perfect,binary_template,binary,80,100,4,1.0,4,ok,,
binary_perfect_8c,,0,skip,kth(=6) out of bounds (1),improved_binary_perfect,binary_template,binary,160,200,8,1.0,8,ok,,
gauss_clear_medium,,0,skip,kth(=6) out of bounds (6),improved_gaussian,gaussian_blobs,median_binary,60,40,4,0.0,1,ok,,
bar_binary_unbalanced_95_5,,0,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 199 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",method_proof,binary_template,binary,200,200,4,0.0,1,ok,,
phylo_conserved_4taxa,,0,skip,kth(=6) out of bounds (3),phylogenetic_conserved,phylogenetic_sequence,categorical_one_hot,100,400,4,0.7079646017699115,3,ok,,
