source_case_id,metric_family,geometry_profile,tree_inference,status_none,found_clusters_none,ari_none,nmi_none,macro_f1_none,purity_none,silhouette_score_none,davies_bouldin_index_none,calinski_harabasz_index_none,largest_cluster_fraction_none,singleton_fraction_none,status_branch,found_clusters_branch,ari_branch,nmi_branch,macro_f1_branch,purity_branch,silhouette_score_branch,davies_bouldin_index_branch,calinski_harabasz_index_branch,largest_cluster_fraction_branch,singleton_fraction_branch,delta_found_clusters,delta_ari,delta_nmi,delta_macro_f1,delta_purity,delta_silhouette_score,delta_davies_bouldin_index,delta_calinski_harabasz_index,delta_largest_cluster_fraction,delta_singleton_fraction
gauss_clear_medium_continuous,continuous_gaussian,standardized_euclidean,average,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
gauss_clear_medium_continuous,continuous_gaussian,standardized_euclidean,complete,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
gauss_clear_medium_continuous,continuous_gaussian,standardized_euclidean,weighted,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
gauss_clear_medium_continuous,continuous_gaussian,standardized_euclidean,single,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
gauss_clear_medium_continuous,continuous_gaussian,standardized_euclidean,centroid,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
gauss_clear_medium_continuous,continuous_gaussian,standardized_euclidean,median,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
gauss_clear_medium_continuous,continuous_gaussian,standardized_euclidean,ward,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
gauss_clear_medium_continuous,continuous_gaussian,standardized_euclidean,neighbor_joining,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
cont_lowrank_pggn_shrinkage,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,average,skip,,,,,,,,,,,skip,,,,,,,,,,,,,,,,,,,,
cont_lowrank_pggn_shrinkage,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,complete,skip,,,,,,,,,,,skip,,,,,,,,,,,,,,,,,,,,
cont_lowrank_pggn_shrinkage,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,weighted,skip,,,,,,,,,,,skip,,,,,,,,,,,,,,,,,,,,
cont_lowrank_pggn_shrinkage,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,single,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
cont_lowrank_pggn_shrinkage,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,centroid,ok,7.0,0.06270318332113847,0.15290552218286393,0.4179410640580782,0.4625,-0.00804645411649801,3.7123769313322796,1.0007987892571308,0.4875,0.0375,ok,7.0,0.06270318332113847,0.15290552218286393,0.4179410640580782,0.4625,-0.00804645411649801,3.7123769313322796,1.0007987892571308,0.4875,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cont_lowrank_pggn_shrinkage,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,median,skip,,,,,,,,,,,skip,,,,,,,,,,,,,,,,,,,,
cont_lowrank_pggn_shrinkage,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,ward,skip,,,,,,,,,,,skip,,,,,,,,,,,,,,,,,,,,
cont_lowrank_pggn_shrinkage,high_dimensional_continuous,ledoit_wolf_shrinkage_mahalanobis,neighbor_joining,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,ok,1.0,0.0,0.0,0.1,0.25,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,average,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,complete,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,weighted,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,single,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,centroid,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,median,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_low_noise_4c,balanced_binary,hamming_via_binary_euclidean_embedding,ward,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,ok,4.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.6595768969356764,87.9128946734153,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
