test_case,case_id,method,run_id,sample_id,cluster_label
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S0,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S1,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S2,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S3,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S4,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S5,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S6,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S7,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S8,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S9,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S10,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S11,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S12,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S13,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S14,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S15,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S16,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S17,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S18,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S19,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S20,0
13,gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,S21,0
