metric_family,branch_time_mode,tree_inference,ok_cells,mean_found_clusters,mean_ari,median_ari,mean_nmi,median_nmi,mean_macro_f1,median_macro_f1,mean_purity,median_purity,mean_silhouette_score,median_silhouette_score,mean_davies_bouldin_index,median_davies_bouldin_index,mean_calinski_harabasz_index,median_calinski_harabasz_index,mean_largest_cluster_fraction,median_largest_cluster_fraction,mean_singleton_fraction,median_singleton_fraction,mean_nnls_normalized_residual_rmse,median_nnls_normalized_residual_rmse,mean_root_smaller_child_fraction,median_root_smaller_child_fraction,mean_topology_kcut_ari,median_topology_kcut_ari,mean_topology_kcut_nmi,median_topology_kcut_nmi,mean_topology_kcut_macro_f1,median_topology_kcut_macro_f1,mean_topology_kcut_silhouette_score,median_topology_kcut_silhouette_score,mean_topology_kcut_largest_cluster_fraction,median_topology_kcut_largest_cluster_fraction,mean_topology_exact_true_cluster_clade_fraction,median_topology_exact_true_cluster_clade_fraction,mean_topology_weighted_true_cluster_clade_purity,median_topology_weighted_true_cluster_clade_purity,mean_root_sibling_p_value_corrected,median_root_sibling_p_value_corrected,mean_min_edge_open_sibling_p_value_corrected,median_min_edge_open_sibling_p_value_corrected
balanced_binary,none,average,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0594421943869724,0.0594421943869724,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,7.221250309887534e-12,7.221250309887534e-12,7.221250309887534e-12,7.221250309887534e-12
balanced_binary,none,centroid,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0594659172496513,0.0594659172496513,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,6.295691119612375e-12,6.295691119612375e-12,6.295691119612375e-12,6.295691119612375e-12
balanced_binary,none,complete,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0581648489462929,0.0581648489462929,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,4.3048186827225435e-08,4.3048186827225435e-08,1.0207125104280195e-10,1.0207125104280195e-10
balanced_binary,none,median,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0595740105592719,0.0595740105592719,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,0.0037716584286993,0.0037716584286993,4.251175546397858e-11,4.251175546397858e-11
balanced_binary,none,neighbor_joining,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0589266123130833,0.0589266123130833,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,2.32916149932251e-08,2.32916149932251e-08,7.4743944167712e-11,7.4743944167712e-11
balanced_binary,none,single,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0590538893774642,0.0590538893774642,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,1.4655747679180854e-12,1.4655747679180854e-12,1.4655747679180854e-12,1.4655747679180854e-12
balanced_binary,none,ward,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0595618476723624,0.0595618476723624,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,1.3057981220410833e-12,1.3057981220410833e-12,1.3057981220410833e-12,1.3057981220410833e-12
balanced_binary,none,weighted,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0595501402745386,0.0595501402745386,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,0.0038715314404354,0.0038715314404354,4.7535943088206613e-11,4.7535943088206613e-11
balanced_binary,normalized_branch_length,average,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0594421943869724,0.0594421943869724,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,2.4056777175651385e-12,2.4056777175651385e-12,2.4056777175651385e-12,2.4056777175651385e-12
balanced_binary,normalized_branch_length,centroid,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0594659172496513,0.0594659172496513,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,2.118702675261087e-12,2.118702675261087e-12,2.118702675261087e-12,2.118702675261087e-12
balanced_binary,normalized_branch_length,complete,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0581648489462929,0.0581648489462929,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,3.8535240475153095e-08,3.8535240475153095e-08,8.783473661122048e-11,8.783473661122048e-11
balanced_binary,normalized_branch_length,median,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0595740105592719,0.0595740105592719,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,0.0036543699410996,0.0036543699410996,3.71358598042375e-11,3.71358598042375e-11
balanced_binary,normalized_branch_length,neighbor_joining,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.6595768969356764,0.6595768969356764,87.9128946734153,87.9128946734153,0.25,0.25,0.0,0.0,0.0589266123130833,0.0589266123130833,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5640027318832306,0.5640027318832306,0.25,0.25,1.0,1.0,1.0,1.0,1.169645031169282e-08,1.169645031169282e-08,2.9167696293662846e-11,2.9167696293662846e-11
