schema_version,test_case,source_case_id,case_id,case_category,method,benchmark_grid,run_id,tree_inference,branch_time_mode,metric_family,geometry_profile,graph_distance,nnls_target,geometry_dimension,elapsed_sec,geometry_constant_columns,status,skip_reason,true_clusters,found_clusters,labels_length,ari,nmi,ami,purity,homogeneity,completeness,v_measure,fowlkes_mallows,macro_recall,macro_f1,worst_cluster_recall,n_singleton_clusters,singleton_fraction,median_cluster_size,largest_cluster_fraction,effective_cluster_count,cluster_size_entropy,cluster_size_gini,noise_label_fraction,silhouette_score,davies_bouldin_index,calinski_harabasz_index,outlier_precision,outlier_recall,outlier_f1,singleton_outlier_isolated,grouped_outlier_cluster_recovered,root_smaller_child_fraction,nnls_normalized_residual_rmse,nnls_residual_rmse,nnls_target_mean,nnls_zero_branch_fraction,trace_edge_open,trace_sibling_open,root_edge_gate_open,root_sibling_p_value_corrected,min_edge_open_sibling_p_value_corrected,min_left_edge_p_value_bh,topology_kcut_ari,topology_kcut_nmi,topology_kcut_macro_f1,topology_kcut_silhouette_score,topology_kcut_largest_cluster_fraction,topology_exact_true_cluster_clade_fraction,topology_weighted_true_cluster_clade_purity,adaptive_neighbor_selected_k,geometry_ledoit_wolf_shrinkage,geometry_embedding_dimension,geometry_dimension_rule,geometry_zero_rows,geometry_regularization_tau,geometry_mean_degree,geometry_retained_eigenvalues,geometry_categorical_blocks,geometry_block_distance_identity,tree_priority,mean_partition_agreement,median_partition_agreement,agreement_pair_count,valid_internal_metrics,dominant_cluster_penalty,silhouette_rank,calinski_harabasz_rank,davies_bouldin_rank,cluster_count_rank,method_stability_rank,internal_core_rank_mean,sharp_label_free_score,sharp_label_free_score_rounded
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::none,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_average,average,none,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,1.8875546660001419,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.03344343998053798,0.06688687996107597,2.0,0.025423728813559324,3.0,0.0,True,0.12390426027763485,0.12390426027763485,1.9337370098868388e-12,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,3,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::none,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_complete,complete,none,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.2075673750000533,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.0325236340566409,0.0650472681132818,2.0,0.059322033898305086,3.0,0.0,True,0.06739322385389761,0.06739322385389761,2.7718381749143295e-13,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,2,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::none,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_weighted,weighted,none,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.1945663329997842,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.03252194684024289,0.06504389368048578,2.0,0.07627118644067797,3.0,0.0,True,0.4937918611074823,0.2974730261466653,2.816102317894101e-10,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,0,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::none,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_single,single,none,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.194814334000057,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.03259306073833059,0.06518612147666118,2.0,0.05084745762711865,3.0,0.0,True,0.08740260475488994,0.08740260475488994,1.7633256257156143e-13,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,7,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::none,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_centroid,centroid,none,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.2043389999998908,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.03345814122487828,0.06691628244975656,2.0,0.0423728813559322,3.0,0.0,True,0.13367857633492386,0.13367857633492386,5.433738550659749e-12,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,4,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::none,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_median,median,none,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.20041033400002561,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.032537661586355,0.06507532317271,2.0,0.09322033898305085,3.0,0.0,True,0.1285528805936638,0.1285528805936638,3.4349378310562455e-12,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,5,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::none,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_ward,ward,none,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.1916918329998225,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.03345122679648228,0.06690245359296455,2.0,0.025423728813559324,3.0,0.0,True,0.16400157445613275,0.16400157445613275,7.57696346834045e-11,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,1,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::none,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_builder_neighbor_joining,neighbor_joining,none,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.4887036660002195,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.032388086000320955,0.06477617200064191,2.0,0.06779661016949153,0.0,0.0,False,,,0.927028971468588,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,6,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::normalized_branch_length,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_average,average,normalized_branch_length,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.18750745899978938,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.03344343998053798,0.06688687996107597,2.0,0.025423728813559324,0.0,0.0,False,,,0.12390426027763399,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,3,1.0,1.0,7,False,100.0,,,,,,,,
family_metric_nnls_grid/v1,13,gauss_clear_medium_continuous,gauss_clear_medium_continuous::normalized_branch_length,continuous_gaussian,tbs_diffusion_graphtools_adaptive_nnls,graphtools_adaptive_k_tree_strategy,family_metric_tree_linkage_method_complete,complete,normalized_branch_length,continuous_gaussian,standardized_euclidean,euclidean_on_selected_embedding,squared_euclidean,40,0.20053825000013603,0.0,ok,,4.0,1.0,60,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4871223004474547,0.25,0.1,0.0,0.0,0.0,60.0,1.0,1.0,-0.0,0.0,0.0,,,,,,,,,0.25,0.0325236340566409,0.0650472681132818,2.0,0.059322033898305086,0.0,0.0,False,,,0.05236139744031828,1.0,1.0,1.0,0.869136284970377,0.25,1.0,1.0,10.0,,,,,,,,,,2,1.0,1.0,7,False,100.0,,,,,,,,
