case_id,method,run_id,tree_inference,mean_partition_agreement,median_partition_agreement,min_partition_agreement,max_partition_agreement,agreement_pair_count
gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,1.0,1.0,1.0,1.0,7
gauss_clear_medium_continuous::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,1.0,1.0,1.0,1.0,7
cont_lowrank_pggn_shrinkage::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,,,,,0
cont_lowrank_pggn_shrinkage::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,,,,,0
cont_lowrank_pggn_shrinkage::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,,,,,0
cont_lowrank_pggn_shrinkage::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,0.5,0.5,0.0,1.0,2
cont_lowrank_pggn_shrinkage::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,0.0,0.0,0.0,0.0,2
cont_lowrank_pggn_shrinkage::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,,,,,0
cont_lowrank_pggn_shrinkage::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,,,,,0
cont_lowrank_pggn_shrinkage::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,0.5,0.5,0.0,1.0,2
cont_lowrank_pggn_shrinkage::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,,,,,0
cont_lowrank_pggn_shrinkage::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,,,,,0
cont_lowrank_pggn_shrinkage::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,,,,,0
cont_lowrank_pggn_shrinkage::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,0.5,0.5,0.0,1.0,2
cont_lowrank_pggn_shrinkage::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,0.0,0.0,0.0,0.0,2
cont_lowrank_pggn_shrinkage::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,,,,,0
cont_lowrank_pggn_shrinkage::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,,,,,0
cont_lowrank_pggn_shrinkage::normalized_branch_length,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_builder_neighbor_joining,neighbor_joining,0.5,0.5,0.0,1.0,2
binary_low_noise_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_average,average,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_complete,complete,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_weighted,weighted,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_single,single,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_centroid,centroid,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_median,median,1.0,1.0,1.0,1.0,7
binary_low_noise_4c::none,tbs_diffusion_graphtools_adaptive_nnls,family_metric_tree_linkage_method_ward,ward,1.0,1.0,1.0,1.0,7
