case_id,test_case,method,status,skip_reason,samples,features,true_clusters,found_clusters,ari,nmi,macro_f1,purity,silhouette_score,calinski_harabasz_index,davies_bouldin_index,cluster_count_abs_error,over_split,under_split,effective_cluster_count,largest_cluster_fraction,labels_length
cat_overlap_3cat_4c,1,tbs_diffusion_adaptive,ok,,400,300,4,4,0.8644848643817469,0.897442106959732,0.9417293709305565,0.9425,0.04581991586262797,15.578573479552288,4.432011225281688,0.0,0.0,0.0,3.9469779933630282,0.3075,400
cat_overlap_3cat_4c,1,tbs_diffusion_adaptive_nnls,ok,,400,300,4,4,0.8644848643817469,0.897442106959732,0.9417293709305565,0.9425,0.04581991586262797,15.578573479552288,4.432011225281688,0.0,0.0,0.0,3.9469779933630282,0.3075,400
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools,ok,,400,300,4,3,0.712742980561555,0.8571428571428577,0.6666666666666666,0.75,0.06029237195415064,19.825044186276177,3.6603060621744166,1.0,0.0,1.0,2.82842712474619,0.5,400
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools_nnls,ok,,400,300,4,4,0.8959106431954114,0.9083891339896005,0.957259585166562,0.9575,0.046313071982722345,15.61906063233191,4.438253830347983,0.0,0.0,0.0,3.9774784975956914,0.2875,400
cat_overlap_3cat_4c,1,tbs_diffusion_graphtools_adaptive_nnls,ok,,400,300,4,4,0.8959106431954114,0.9083891339896005,0.957259585166562,0.9575,0.046313071982722345,15.61906063233191,4.438253830347983,0.0,0.0,0.0,3.9774784975956914,0.2875,400
overlap_unbal_4c_small,2,tbs_diffusion_adaptive,ok,,400,100,4,4,0.6024203432333544,0.5873263604020399,0.8292559307673687,0.8325,0.025513794365641787,9.332740198734768,4.865472680924568,0.0,0.0,0.0,3.7899524530296294,0.3425,400
overlap_unbal_4c_small,2,tbs_diffusion_adaptive_nnls,ok,,400,100,4,4,0.6024203432333544,0.5873263604020399,0.8292559307673687,0.8325,0.025513794365641787,9.332740198734768,4.865472680924568,0.0,0.0,0.0,3.7899524530296294,0.3425,400
overlap_unbal_4c_small,2,tbs_diffusion_graphtools,ok,,400,100,4,4,0.6590088044947379,0.61101433984031,0.8595715191459872,0.86,0.028006096678279465,9.802778937640063,4.831153866407739,0.0,0.0,0.0,3.97875578763971,0.2925,400
overlap_unbal_4c_small,2,tbs_diffusion_graphtools_nnls,ok,,400,100,4,4,0.6590088044947379,0.61101433984031,0.8595715191459872,0.86,0.028006096678279465,9.802778937640063,4.831153866407739,0.0,0.0,0.0,3.97875578763971,0.2925,400
overlap_unbal_4c_small,2,tbs_diffusion_graphtools_adaptive_nnls,ok,,400,100,4,4,0.6590088044947379,0.61101433984031,0.8595715191459872,0.86,0.028006096678279465,9.802778937640063,4.831153866407739,0.0,0.0,0.0,3.97875578763971,0.2925,400
