case_id,method,tree_inference,sample_id,cluster_label
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L1,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L2,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L3,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L4,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L5,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L6,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L7,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L8,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L9,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L10,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L11,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L12,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L13,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L14,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L15,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L16,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L17,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L18,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L19,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L20,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L21,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L22,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L23,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L24,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L25,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L26,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L27,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L28,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L29,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L30,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L31,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L32,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L33,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L34,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L35,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L36,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L37,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L38,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L39,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L40,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L41,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L42,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L43,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L44,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L45,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L46,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L47,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L48,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L49,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L50,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L51,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L52,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L53,3
