case_id,method,tree_inference,mean_partition_agreement,median_partition_agreement,min_partition_agreement,max_partition_agreement,agreement_pair_count
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,0.8427486774177655,0.8582749129924356,0.7155630797019985,0.9305139201093655,7
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,0.8574255021021132,0.9181398825470897,0.7094914821352021,0.9736775925279206,7
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,0.7536306952019439,0.808184507151815,0.6067116030543954,0.8260977337110481,7
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_single,single,0.7382704039789483,0.713235954693824,0.6082963776931831,0.9919878447288217,7
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,0.8526754511381673,0.8952540485510151,0.7097472214581665,0.9736775925279206,7
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_median,median,0.8272579433537618,0.8582749129924356,0.7041390813500965,0.9181398825470897,7
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,0.8535598583668975,0.9066473683499207,0.710999754698338,0.9609509782881533,7
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,0.735520009589574,0.7097472214581665,0.6067116030543954,0.9919878447288217,7
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls,average,0.3025563055418975,0.194902067214967,0.0,0.7341128533588416,7
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,0.2813836525089534,0.3806572906400647,0.0,0.566845728571914,7
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,0.302027319430553,0.18785511172059882,0.0,0.8123039932200276,7
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,single,0.2857142857142857,0.0,0.0,1.0,7
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,0.2857142857142857,0.0,0.0,1.0,7
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_median,median,0.2857142857142857,0.0,0.0,1.0,7
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,0.3322859761090732,0.21273925761272913,0.0,0.8123039932200276,7
overlap_unbal_4c_small,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,0.13945053245547998,0.18785511172059882,0.0,0.3806572906400647,7
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls,average,0.7131216970771809,0.8947245298007876,0.0,0.9456130839525169,7
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,0.5482084948707756,0.6703757028614876,0.0,0.6835960397157113,7
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,0.6894707289079886,0.8477236844670352,0.0,0.9131158143707014,7
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_single,single,0.0,0.0,0.0,0.0,7
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_centroid,centroid,0.719471221763599,0.8802356217093072,0.0,0.9531616653311348,7
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_median,median,0.715395108493625,0.9005643741541698,0.0,0.9456130839525169,7
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_ward,ward,0.7079216735237229,0.8477236844670352,0.0,0.9531616653311348,7
overlap_mod_4c_small,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,neighbor_joining,0.5291785279629507,0.6360670774336527,0.0,0.6798870510417651,7
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls,average,0.4526653711257885,0.47025477685152134,0.0,0.6746624147793427,7
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_complete,complete,0.36288676412291615,0.35827784374797017,0.0,0.5961586251893939,7
dim_consolidated_4c_24f,tbs_diffusion_graphtools_adaptive_nnls_weighted,weighted,0.4715964875369191,0.45020809837585946,0.0,0.744279925816514,7
