case_id,tree_inference,delta_vs_average_ari,delta_vs_average_nmi,delta_vs_average_macro_f1,delta_vs_average_purity,delta_vs_average_silhouette_score,delta_vs_average_calinski_harabasz_index,delta_vs_average_davies_bouldin_index,delta_vs_average_cluster_count_abs_error,delta_vs_average_effective_cluster_count,delta_vs_average_largest_cluster_fraction
cat_overlap_3cat_4c,complete_linkage,0.0283247873360577,0.010031777687636523,0.012737414533408042,0.012499999999999956,0.0011421624199814406,0.16477695119932712,-0.07357150520647959,0.0,0.022121495735374808,-0.03249999999999997
cat_overlap_3cat_4c,weighted_linkage,-0.08930754087578707,-0.051855369798655127,-0.028659013971131464,-0.02749999999999997,-0.005824359241692861,-3.378882623228135,1.1039787485362371,1.0,0.916867645507085,-0.03749999999999998
cat_overlap_3cat_4c,single_linkage,-0.1831676626338563,-0.05124627684674288,-0.2905929184998953,-0.20750000000000002,0.013979299971428293,4.205983553944266,-0.7779477681735663,1.0,-1.1490513728495015,0.21250000000000002
cat_overlap_3cat_4c,centroid_linkage,0.04029349548219918,0.021416989880405968,0.017730410831837462,0.01749999999999996,0.0010275712697250042,0.15630723260265178,-0.06515744178938032,0.0,0.02092139559244277,-0.02749999999999997
cat_overlap_3cat_4c,median_linkage,0.022223631893080853,0.0019248663536344246,0.012728410031517257,0.012499999999999956,-0.03458653930556664,-5.861281921175552,-1.1370469271292487,2.0,0.13444522442957307,-0.02999999999999997
cat_overlap_3cat_4c,ward_linkage,0.005319539879077628,-0.005479549595256206,0.0026763122693355124,0.0024999999999999467,0.00033553701491641913,0.04778703764718095,-0.005538455610533788,0.0,0.016119786419457327,-0.01749999999999996
cat_overlap_3cat_4c,neighbor_joining,-0.18642770576042078,-0.06197306586304341,-0.2912792859935308,-0.20750000000000002,0.01372719548512899,4.153572790090687,-0.764686130561743,1.0,-1.1441988696435188,0.21000000000000002
overlap_unbal_4c_small,complete_linkage,-0.1642939458629658,-0.0453510061415513,-0.2457971598700337,-0.15500000000000003,-0.001843159748938273,0.6559600324192552,0.14652535974267789,1.0,-1.2522463647729114,0.25
overlap_unbal_4c_small,weighted_linkage,-0.0939988631509453,-0.06337555357535707,-0.04341968182479494,-0.04249999999999998,-0.009066749205884555,-2.1693974362072606,0.5692031026312119,1.0,0.5439856008552604,-0.0025000000000000022
overlap_unbal_4c_small,single_linkage,-0.6590088044947379,-0.61101433984031,-0.7456719052463733,-0.565,,,,3.0,-2.97875578763971,0.7075
overlap_unbal_4c_small,centroid_linkage,-0.6590088044947379,-0.61101433984031,-0.7456719052463733,-0.565,,,,3.0,-2.97875578763971,0.7075
overlap_unbal_4c_small,median_linkage,-0.6590088044947379,-0.61101433984031,-0.7456719052463733,-0.565,,,,3.0,-2.97875578763971,0.7075
overlap_unbal_4c_small,ward_linkage,-0.055030879601713156,-0.03398126947642366,-0.029536814401980194,-0.030000000000000027,-0.001520560819049173,-0.3022882103801372,0.22406435462908902,0.0,0.0007323160650618554,-0.007500000000000007
overlap_unbal_4c_small,neighbor_joining,-0.4460546615293197,-0.23848065625962328,-0.5071431090735667,-0.385,-0.003606385767304411,0.5214377176719989,0.14177678891426382,2.0,-2.312422685211638,0.5
overlap_mod_4c_small,complete_linkage,-0.23393171301810256,-0.1514370740857145,-0.08166791914625438,-0.08750000000000002,-0.015525938031378195,-5.080775860264065,1.1758543703582576,1.0,0.9701386018896581,-0.05250000000000002
overlap_mod_4c_small,weighted_linkage,-0.05231943785794513,-0.030346602912434628,-0.01922662851742052,-0.020000000000000018,-0.0015412114731267398,-0.3369373255030723,0.06401270038861107,0.0,-0.02875871184820733,0.034999999999999976
overlap_mod_4c_small,single_linkage,-0.9013124846886037,-0.8807296551936105,-0.8629543120348023,-0.7125,,,,3.0,-2.9947534296431706,0.73
overlap_mod_4c_small,centroid_linkage,-1.0010317844533212e-05,-0.011252313245913581,-0.00027941680655851897,0.0,0.0018236546977635631,0.4030613377115593,-0.07917426151845541,0.0,0.0005736127496844823,-0.0025000000000000022
overlap_mod_4c_small,median_linkage,-0.02659715961892417,-0.023265873381790536,-0.009673290124571188,-0.010000000000000009,-0.0004269933061955486,-0.10122353468165457,0.03651383091951077,0.0,-0.009686912420288518,0.01749999999999996
overlap_mod_4c_small,ward_linkage,0.020416094707190857,0.013337440414519008,0.006989941013818113,0.007499999999999951,0.0022943283519856195,0.5168832087358268,-0.11842798704669377,0.0,0.003940497900368101,-0.012500000000000011
overlap_mod_4c_small,neighbor_joining,-0.24376384987411237,-0.11485092120454576,-0.31165058354058517,-0.22999999999999998,-0.007659004845814665,0.6545280435589724,0.19279154907122775,1.0,-1.1768934438373093,0.235
dim_consolidated_4c_24f,complete_linkage,-0.0668892549495883,-0.014285661986357723,0.023194926855462095,0.025000000000000022,-0.013121804881767014,-1.4946079622965742,0.0073453142703283625,4.0,3.69007063373113,-0.03749999999999998
dim_consolidated_4c_24f,weighted_linkage,0.19769421225129857,0.0795636546930023,0.019825461073730843,0.018750000000000044,0.005388780242914587,1.6576109718700636,0.00045699648839558904,-3.0,-2.712582124818481,0.07500000000000001
dim_consolidated_4c_24f,single_linkage,-0.4035201678286685,-0.5758548657517188,-0.7454478364173086,-0.59375,,,,-2.0,-7.26823113800074,0.825
dim_consolidated_4c_24f,centroid_linkage,0.15639570298925942,0.08003457076252896,0.047059549273717804,0.050000000000000044,-0.01176223400486482,-0.6841589152136036,-0.28002480111911643,1.0,-0.01267927896281229,0.03125
dim_consolidated_4c_24f,median_linkage,0.03777901981047227,0.015140138886569177,-0.07080625935637674,-0.08125000000000004,-0.005461916584124288,2.1849101537612725,0.3348548389952959,-5.0,-4.695854814565413,0.28750000000000003
dim_consolidated_4c_24f,ward_linkage,0.039053546014139906,0.0387715342909658,-0.08189508418746061,-0.08750000000000002,0.001986865907846344,2.938790732685913,0.0344438731622545,-5.0,-4.834275232937207,0.31875000000000003
dim_consolidated_4c_24f,neighbor_joining,0.28325374276434834,0.10613747361324355,0.03021464242079175,0.03125,0.011540487685377174,3.8541199993157065,0.043631938493371436,-5.0,-4.322718126702023,0.11875000000000002
cat_highd_3cat_500feat,complete_linkage,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0
cat_highd_3cat_500feat,weighted_linkage,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0
cat_highd_3cat_500feat,single_linkage,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,4.440892098500626e-16,0.0,0.0,0.0
cat_highd_3cat_500feat,centroid_linkage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat_highd_3cat_500feat,median_linkage,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0
cat_highd_3cat_500feat,ward_linkage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat_highd_3cat_500feat,neighbor_joining,0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0
gauss_overlap_3c_small,complete_linkage,0.06660235364940303,0.034664161965143214,0.0,0.0,0.00020143126009932594,4.157091427898656,0.16527564434706843,-1.0,-1.0144297279305183,0.009999999999999981
gauss_overlap_3c_small,weighted_linkage,0.5076610923873053,0.29388146814363025,0.0,0.0,0.2156354620290498,68.05483956875288,-1.6649911847915424,-5.0,-4.486350264063185,0.11999999999999997
gauss_overlap_3c_small,single_linkage,0.5076610923873053,0.29388146814363025,0.0,0.0,0.2156354620290498,68.05483956875288,-1.6649911847915424,-5.0,-4.486350264063185,0.11999999999999997
gauss_overlap_3c_small,centroid_linkage,0.5076610923873053,0.29388146814363025,0.0,0.0,0.2156354620290498,68.05483956875288,-1.6649911847915424,-5.0,-4.486350264063185,0.11999999999999997
gauss_overlap_3c_small,median_linkage,0.3133191412445421,0.10978809769054021,0.0,0.0,0.13250679493866752,-1.3191087885829376,-1.0247373386930039,0.0,-2.5611101225149193,0.11999999999999997
gauss_overlap_3c_small,ward_linkage,0.025236756698489682,0.021616489286420126,0.0,0.0,0.0023115356342803955,5.0474626356562595,0.2306614359962582,-1.0,-0.6609410502419566,-0.01666666666666669
gauss_overlap_3c_small,neighbor_joining,0.5076610923873053,0.29388146814363025,0.0,0.0,0.2156354620290498,68.05483956875288,-1.6649911847915428,-5.0,-4.486350264063185,0.11999999999999997
gauss_overlap_8c_highd,complete_linkage,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0
gauss_overlap_8c_highd,weighted_linkage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gauss_overlap_8c_highd,single_linkage,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0
gauss_overlap_8c_highd,centroid_linkage,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0
gauss_overlap_8c_highd,median_linkage,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0
gauss_overlap_8c_highd,ward_linkage,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0
gauss_overlap_8c_highd,neighbor_joining,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0
