schema_version,policy_id,display_name,law_status,case_id,test_case,case_category,loss_bucket,true_clusters,trace_cells,split_cells,opened_nodes_total,max_cluster_count,median_cluster_count,min_largest_cluster_fraction,max_local_alpha,min_topology_stability_spend,min_rejected_p_value,replay_status
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,edge_gate_closed_global,6,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,edge_gate_closed_global,5,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,edge_gate_closed_global,5,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,phylo_brownian_null_16taxa,119,method_proof,edge_gate_closed_global,16,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,mp_spike_above_bbp_continuous,114,method_proof,edge_gate_closed_global,2,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,gauss_clear_medium_continuous,13,continuous_gaussian_examples,edge_gate_closed_global,4,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,edge_gate_closed_global,3,0,0,0,1,1.0,1.0,,,,still_edge_blocked_or_no_replay_trace
selected_node_adaptive_law_replay/v1,strict_selected_law_required,Strict selected conditional law required,requires_exact_selected_node_p_value,cont_lowrank_pggn_shrinkage,117,method_proof,sibling_gate_closed_after_edge_open,4,7,0,0,1,1.0,1.0,0.003834165669095904,0.0958541417273976,,unsupported_missing_exact_selected_node_p_value
