schema_version,scenario,n_left,n_right,sampling_variance_scale,branch_length_sum,mean_branch_length,branch_time_multiplier,projected_components,degrees_of_freedom,wald_statistic,chi_square_tail_p_value,covariance_spectrum,condition_note
selected_node_sibling_null_law/v1,balanced_short_branch_same_signal,80,80,0.025,0.2,0.5,1.2,2.02073,1,4.083333333333332,0.04330814281079204,"1,0.7,0.5",Same contrast and fixed k=1; balanced size and short branch leave the largest W.
selected_node_sibling_null_law/v1,imbalanced_size_same_signal,20,160,0.05625,0.2,0.5,1.2,1.34715,1,1.8148148148148142,0.1779317252682508,"1,0.7,0.5",Same contrast but larger 1/n_A+1/n_B; W drops because the null variance is wider.
selected_node_sibling_null_law/v1,long_nnls_branch_same_signal,80,80,0.025,2.0,0.5,3.0,1.27802,1,1.6333333333333326,0.20124262095772036,"1,0.7,0.5",Same contrast but longer conditioned branch time; W drops because branch-time noise absorbs contrast.
selected_node_sibling_null_law/v1,signal_aligned_with_selected_eigenvector,80,80,0.025,0.2,0.5,1.2,"2.8,0",1,7.839999999999999,0.005110260660855869,"4,1,0.5",A spiked stable eigensystem keeps aligned contrast inside the accepted one-dimensional subspace.
selected_node_sibling_null_law/v1,signal_orthogonal_to_selected_eigenvector,80,80,0.025,0.2,0.5,1.2,"0,2.8",1,0.0,1.0,"4,1,0.5",The same norm is invisible at k=1 when topology/projection select the wrong direction.
selected_node_sibling_null_law/v1,multiplicity_arbitrary_first_vector,80,80,0.025,0.2,0.5,1.2,"2,0,0",1,4.0,0.045500263896358445,"1,1,1,0.2",A k=1 cut inside a tied eigenspace is not orientation-invariant.
selected_node_sibling_null_law/v1,multiplicity_rotated_first_vector,80,80,0.025,0.2,0.5,1.2,"1.41421,1.41421,0",1,2.0000000000000004,0.15729920705028105,"1,1,1,0.2",A rotation inside the same tied eigenspace changes k=1 W without changing the invariant signal norm.
selected_node_sibling_null_law/v1,multiplicity_full_projector,80,80,0.025,0.2,0.5,1.2,"1.41421,1.41421,0",3,4.000000000000001,0.2614641299491102,"1,1,1,0.2",Testing the whole tied projector restores orientation invariance but changes degrees of freedom.
selected_node_sibling_null_law/v1,adaptive_energy_fraction_k2,80,80,0.025,0.2,0.5,1.2,"2,1.5,0.2",2,6.25,0.04393693362340742,"2,1.2,0.4",An energy-fraction rule that accepts k=2 changes both W and the tail df; K must be conditioned on.
selected_node_sibling_null_law/v1,same_mass_fixed_k3,80,80,0.025,0.2,0.5,1.2,"2,1.5,0.2",3,6.29,0.09832265062374589,"2,1.2,0.4",The same projected mass can become less significant when the accepted open dimension includes an extra null coordinate.
