node,kind,f1,f2,f3
C1,leaf,1,1.1,5
C2,leaf,1.2,0.9,4.8
C3,leaf,0.9,1,5.1
C4,leaf,1.1,1.2,4.9
C5,leaf,1,0.8,5.2
C6,leaf,1.3,1.1,4.7
C7,leaf,0.8,1,5
C8,leaf,1.1,0.9,5.1
C9,leaf,1,1.2,5
C10,leaf,0.9,1,5.2
C11,leaf,1.2,0.8,4.9
C12,leaf,1.1,1.1,4.8
C13,leaf,8.8,9.1,1
C14,leaf,9.2,8.9,1.1
C15,leaf,9,9.2,0.9
C16,leaf,8.9,8.8,1.2
C1-C2,internal,1.1,1,4.9
C3-C4,internal,1,1.1,5
C5-C6,internal,1.15,0.95,4.95
C7-C8,internal,0.95,0.95,5.05
C9-C10,internal,0.95,1.1,5.1
C11-C12,internal,1.15,0.95,4.85
C13-C14,internal,9,9,1.05
C15-C16,internal,8.95,9,1.05
Root,internal,3.03125,3.00625,3.99375
C1-C8,internal,1.05,1,4.975
C9-C16,internal,5.0125,5.0125,3.0125
C1-C4,internal,1.05,1.05,4.95
C5-C8,internal,1.05,0.95,5
C9-C12,internal,1.05,1.025,4.975
C13-C16,internal,8.975,9,1.05
