cell,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
C1,0.000,0.539,0.412,0.374,0.583,0.480,0.480,0.490,0.316,0.557,0.436,0.400,13.664,13.804,13.944,13.460
C2,0.539,0.000,0.469,0.412,0.520,0.374,0.566,0.458,0.458,0.583,0.283,0.332,13.692,13.836,13.980,13.486
C3,0.412,0.469,0.000,0.458,0.265,0.663,0.374,0.361,0.300,0.200,0.510,0.480,13.801,13.951,14.091,13.598
C4,0.374,0.412,0.458,0.000,0.632,0.332,0.624,0.424,0.200,0.624,0.480,0.141,13.601,13.752,13.887,13.401
C5,0.583,0.520,0.265,0.632,0.000,0.781,0.539,0.346,0.510,0.265,0.539,0.632,13.865,14.009,14.156,13.657
C6,0.480,0.374,0.663,0.332,0.781,0.000,0.735,0.592,0.480,0.812,0.400,0.265,13.494,13.635,13.776,13.290
C7,0.480,0.566,0.374,0.624,0.539,0.735,0.000,0.686,0.520,0.400,0.548,0.624,13.893,14.037,14.181,13.689
C8,0.490,0.458,0.361,0.424,0.346,0.592,0.686,0.000,0.374,0.500,0.480,0.424,13.749,13.896,14.036,13.544
C9,0.316,0.458,0.300,0.200,0.510,0.480,0.520,0.374,0.000,0.458,0.520,0.283,13.628,13.780,13.915,13.428
C10,0.557,0.583,0.200,0.624,0.265,0.812,0.400,0.500,0.458,0.000,0.632,0.656,13.804,13.953,14.097,13.599
C11,0.436,0.283,0.510,0.480,0.539,0.400,0.548,0.480,0.520,0.632,0.000,0.412,13.784,13.917,14.066,13.575
C12,0.400,0.332,0.480,0.141,0.632,0.265,0.624,0.424,0.283,0.656,0.412,0.000,13.631,13.781,13.917,13.431
C13,13.664,13.692,13.801,13.601,13.865,13.494,13.893,13.749,13.628,13.804,13.784,13.631,0.000,0.686,0.480,0.412
C14,13.804,13.836,13.951,13.752,14.009,13.635,14.037,13.896,13.780,13.953,13.917,13.781,0.686,0.000,0.510,0.529
C15,13.944,13.980,14.091,13.887,14.156,13.776,14.181,14.036,13.915,14.097,14.066,13.917,0.480,0.510,0.000,0.663
C16,13.460,13.486,13.598,13.401,13.657,13.290,13.689,13.544,13.428,13.599,13.575,13.431,0.412,0.529,0.663,0.000
