parent,child,distance
Root,C1-C8,3.4444
Root,C9-C16,3.4444
C1-C8,C1-C4,0.0637
C1-C8,C5-C8,0.0637
C9-C16,C9-C12,6.8814
C9-C16,C13-C16,6.8814
C1-C4,C1-C2,0.1118
C1-C4,C3-C4,0.1118
C5-C8,C5-C6,0.1173
C5-C8,C7-C8,0.1173
C9-C12,C9-C10,0.2236
C9-C12,C11-C12,0.2236
C13-C16,C13-C14,0.0433
C13-C16,C15-C16,0.0433
C1-C2,C1,0.2693
C1-C2,C2,0.2693
C3-C4,C3,0.2291
C3-C4,C4,0.2291
C5-C6,C5,0.3905
C5-C6,C6,0.3905
C7-C8,C7,0.3428
C7-C8,C8,0.3428
C9-C10,C9,0.2291
C9-C10,C10,0.2291
C11-C12,C11,0.2062
C11-C12,C12,0.2062
C13-C14,C13,0.3428
C13-C14,C14,0.3428
C15-C16,C15,0.3317
C15-C16,C16,0.3317
