schema_version,case_id,test_case,case_category,ok_tree_cells,min_found_clusters,max_found_clusters,median_found_clusters,max_largest_cluster_fraction,median_total_branch_length,max_total_branch_length,finite_cluster_path_rows,skipped_tree_cells,pairwise_comparisons,median_rooted_internal_rf_relative,max_rooted_internal_rf_relative,median_rooted_weighted_split_l1,max_rooted_weighted_split_l1,median_leaf_path_rmse,max_leaf_path_rmse,min_predicted_label_ari_between_topologies,median_predicted_label_ari_between_topologies,brancharchitect_interpolation_ok_pairs,brancharchitect_interpolation_skipped_leaf_limit_pairs
brancharchitect_tree_comparison/v1,gauss_clear_medium_continuous,13,continuous_gaussian_examples,7,1,1,1.0,1.0,58.0623130501486,58.89906161112967,0,1,21,0.0,0.9827586206896552,0.0,2.493750030906315,0.0,0.0175195177842037,1.0,1.0,21,0
brancharchitect_tree_comparison/v1,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,7,1,1,1.0,1.0,44.091847681340354,44.10771617791099,0,1,21,0.0,0.9767441860465116,0.0,1.506639756780456,0.0,0.0005077527750508,1.0,1.0,21,0
brancharchitect_tree_comparison/v1,dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,7,1,1,1.0,1.0,121.43428863140328,121.84080066450952,0,1,21,0.0,0.9936708860759492,0.0,4.410814784566565,0.0,0.0063288625775939,1.0,1.0,0,21
brancharchitect_tree_comparison/v1,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,7,1,1,1.0,1.0,145.77143711754962,145.77143711754962,0,1,21,0.0,0.9936708860759492,0.0,2.9067060074132236,0.0,0.0039296238188191,1.0,1.0,0,21
brancharchitect_tree_comparison/v1,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,7,1,1,1.0,1.0,174.46348372900275,174.56362469708583,0,1,21,0.0,0.99438202247191,0.0,2.4940319490779657,0.0,0.0023598987827507,1.0,1.0,0,21
brancharchitect_tree_comparison/v1,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,7,1,1,1.0,1.0,156.42283978439613,156.6557628416238,0,1,21,0.0,0.9937106918238994,0.0,3.1924585772668572,0.0,0.0019512585159139,1.0,1.0,0,21
brancharchitect_tree_comparison/v1,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,7,1,1,1.0,1.0,161.9197570236886,162.2405365289648,0,1,21,0.0,0.9939024390243902,0.0,2.1379548930697276,0.0,0.0026706402197992,1.0,1.0,0,21
brancharchitect_tree_comparison/v1,sbm_moderate,60,sbm_graphs,8,1,1,1.0,1.0,103.54628342920614,106.40419298699824,0,0,28,0.4491525423728814,0.7796610169491526,11.560127714256712,20.74769327536533,0.031636525513719246,0.0493026084088486,1.0,1.0,28,0
brancharchitect_tree_comparison/v1,sbm_hard,61,sbm_graphs,8,1,1,1.0,1.0,106.01532995584232,107.90656420087572,0,0,28,0.5042372881355932,0.7372881355932204,11.728781720809389,16.9538121328193,0.02661554584730525,0.0404455067932034,1.0,1.0,28,0
brancharchitect_tree_comparison/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,7,1,1,1.0,1.0,520.1413634610103,625.3101062400731,0,1,21,0.7092731829573935,0.7982456140350878,328.8514246985942,431.105638444808,0.0488177136853572,0.0616196182695771,1.0,1.0,0,21
brancharchitect_tree_comparison/v1,overlap_extreme_4c,89,overlapping_binary_heavy,8,1,1,1.0,1.0,372.8744660176178,441.58160963910075,0,0,28,0.5535117056856187,0.7642140468227425,183.3012500434358,281.618598694326,0.04759623452721165,0.0605975630084773,1.0,1.0,0,28
brancharchitect_tree_comparison/v1,mp_spike_above_bbp_continuous,114,method_proof,7,1,1,1.0,1.0,119.44571190065938,119.56662020702828,0,1,21,0.0,0.9915254237288136,0.0,1.4666961242062877,0.0,0.001712071421925,1.0,1.0,21,0
brancharchitect_tree_comparison/v1,cont_lowrank_pggn_shrinkage,117,method_proof,7,1,1,1.0,1.0,79.9061464691616,79.9061464691616,0,1,21,0.0,0.9871794871794872,0.0,1.1253296272880808,0.0,2.276799083487085e-05,1.0,1.0,21,0
brancharchitect_tree_comparison/v1,phylo_brownian_null_16taxa,119,method_proof,7,1,1,1.0,1.0,126.80191962130804,126.8333878930187,0,1,21,0.0,0.9936708860759492,0.0,4.95559599787068,0.0,0.0021396825790773,1.0,1.0,0,21
