schema_version,case_id,test_case,case_category,tree_inference,run_id,n_leaves,n_edges,branch_length_missing_count,newick
brancharchitect_tree_comparison/v1,gauss_clear_medium_continuous,13,continuous_gaussian_examples,average,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,60,118,0,"(S59:0.451055425127,(S58:0.918380074343,(S57:0.793350993581,(S56:0.751840103142,(S55:0.952090176363,(S54:1.02585936315,(S53:1.02393797706,(S52:1.05082002314,(S51:0.959053341471,(S50:0.890389234355,(S49:0.950203614258,(S48:0.817879806168,(S47:1.05484937953,(S46:0.807732316753,(S45:0.94237937706,(S44:0.89972457624,(S43:0.840592033649,(S42:1.09218584883,(S41:1.01329070993,(S40:0.999166964282,(S39:0.953840068051,(S38:0.839845540796,(S37:1.10389965621,(S36:1.04493831544,(S35:1.07765412896,(S34:0.915155403276,(S33:1.05952291492,(S32:1.07638695347,(S31:0.843975470561,(S30:1.06462695393,(S29:1.06754445306,(S28:1.08060906268,(S27:0.910645526613,(S26:0.796888855616,(S25:0.919233578112,(S24:0.974227923381,(S23:0.809559675844,(S22:0.822109406063,(S21:1.11242548829,(S20:1.00260241201,(S19:0.87590763531,(S18:0.958570258594,(S17:0.957426635412,(S16:1.06739396005,(S15:1.08380524436,(S14:0.891231436755,(S13:1.07463082584,(S12:0.979105837251,(S11:1.11554220882,(S10:1.0519491944,(S9:1.0429614711,(S8:0.940940217268,(S7:1.0562316987,(S6:0.895727489132,(S5:0.937518602546,(S4:0.999564837131,(S3:0.885905815157,(S2:0.939491469681,(S0:0.93712739018,S1:0.83990424659):0.0379345507616):0.0512661093311):0.0118108820747):0.00729509968071):0.00786210372229):0.00415158406333):0.00374127980008):0.00367252966989):0.00369857009023):0.0159007528901):0.0057087271437):0.00463160022598):0.022057928345):0.0020879328544):0.00113450994536):0.0137766154658):0.003546545892):0.0159388495176):0.00221533344775):0.00662904076586):0.00485809959052):0.000250590224042):3.32924787381e-05):2.83887340167e-05):0.000320884216801):7.77062596263e-06):2.55236508357e-08):5.75382710891e-08):4.60950557634e-06):3.47119605856e-06):5.87086831872e-15):3.95190395331e-07):3.07588186297e-05):1.91838709397e-05):6.1082812494e-05):9.97723897027e-05):0.0012358105405):0.000164534923231):0.000167190762148):0.000641568077997):0.00329634322436):0.00386691304382):0.00055967572144):0.000598188321042):0.00224006057811):0.000488631268923):0.00043728389833):0.00038701520503):0.000580190508588):0.00109254319984):0.00472373219425):0.00350738038091):0.00314656940324):0.0105963040983):0.0404900053638):0.0476005275963):0.0132486282969):0.451055425127);"
brancharchitect_tree_comparison/v1,gauss_clear_medium_continuous,13,continuous_gaussian_examples,centroid,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,60,118,0,"((S0:1.05863905101,S1:0.96206460204):0.00571532956727,(S2:1.03354090144,(S3:0.925733851473,(S4:1.02823502059,(S5:0.959580035987,(S6:0.909633973718,(S7:1.0663636948,(S8:0.948144933431,(S9:1.04652148869,(S10:1.05227353964,(S11:1.12246833262,(S12:0.984580058331,(S13:1.07696080693,(S14:0.890293571845,(S15:1.07955287944,(S16:1.06229500778,(S17:0.956620815845,(S18:0.95635264587,(S19:0.882121478195,(S20:1.00655977844,(S21:1.11483770907,(S22:0.82367499338,(S23:0.810721533701,(S24:0.974986367559,(S25:0.919914602902,(S26:0.797540668645,(S27:0.911316778021,(S28:1.08124506221,(S29:1.06814902128,(S30:1.06523255288,(S31:0.844596199942,(S32:1.07704572218,(S33:1.06023914528,(S34:0.915816166404,(S35:1.07840763397,(S36:1.0456994791,(S37:1.10485931248,(S38:0.840857320465,(S39:0.955345668776,(S40:1.00085409606,(S41:1.01531039568,(S42:1.09533322877,(S43:0.844834569207,(S44:0.904435345626,(S45:0.94844222092,(S46:0.814824700875,(S47:1.06228026339,(S48:0.825844949338,(S49:0.958687476826,(S50:0.899406589546,(S51:0.969420908999,(S52:1.06460323954,(S53:1.04178292323,(S54:1.04639081078,(S55:0.983906805383,(S56:0.818358896262,(S57:0.907899362279,(S58:1.05275869999,S59:1.02017917107):0.00878976860748):0.000773928547929):0.00215395238881):3.459234036e-05):1.27144237144e-05):1.10670015307e-05):1.93118911436e-05):1.23330353725e-06):4.04365012973e-07):9.38836738579e-08):2.66175714194e-07):5.00674040621e-07):7.29590426303e-06):7.20259533453e-08):1.27366432452e-06):0.000386114118703):0.00041515055314):1.99151557833e-06):2.91345323123e-08):2.74448949878e-09):2.41028873029e-06):3.09131477118e-09):4.597209298e-10):1.47548261565e-12):5.39793103556e-12):2.41782768682e-25):4.10498849052e-51):7.89046203028e-17):1.72087888293e-16):6.83150861118e-24):2.27442414087e-29):9.44040360972e-15):2.47387240264e-08):7.43706929067e-12):6.27046775098e-13):9.30986128753e-08):0.000248879689903):0.000826872197729):1.8501375561e-06):0.0352583259723):0.000569020515193):0.0213637861453):4.05066912465e-06):5.85749789442e-07):0.0137078375585):0.000225037958452):0.00305570947853):0.0250614931833):1.52746380352e-06):1.42263133236e-05):4.55913028136e-06):5.81586659932e-06):2.64233689753e-05):7.08354271261e-07):6.48586081754e-05):2.85305682264e-08):0.00571532956727);"
brancharchitect_tree_comparison/v1,gauss_clear_medium_continuous,13,continuous_gaussian_examples,complete,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,60,118,0,"(S59:0.451055425127,(S58:0.918380074343,(S57:0.793350993581,(S56:0.751840103142,(S55:0.952090176363,(S54:1.02585936315,(S53:1.02393797706,(S52:1.05082002314,(S51:0.959053341471,(S50:0.890389234355,(S49:0.950203614258,(S48:0.817879806168,(S47:1.05484937953,(S46:0.807732316753,(S45:0.94237937706,(S44:0.89972457624,(S43:0.840592033649,(S42:1.09218584883,(S41:1.01329070993,(S40:0.999166964282,(S39:0.953840068051,(S38:0.839845540796,(S37:1.10389965621,(S36:1.04493831544,(S35:1.07765412896,(S34:0.915155403276,(S33:1.05952291492,(S32:1.07638695347,(S31:0.843975470561,(S30:1.06462695393,(S29:1.06754445306,(S28:1.08060906268,(S27:0.910645526613,(S26:0.796888855616,(S25:0.919233578112,(S24:0.974227923381,(S23:0.809559675844,(S22:0.822109406063,(S21:1.11242548829,(S20:1.00260241201,(S19:0.87590763531,(S18:0.958570258594,(S17:0.957426635412,(S16:1.06739396005,(S15:1.08380524436,(S14:0.891231436755,(S13:1.07463082584,(S12:0.979105837251,(S11:1.11554220882,(S10:1.0519491944,(S9:1.0429614711,(S8:0.940940217268,(S7:1.0562316987,(S6:0.895727489132,(S5:0.937518602546,(S4:0.999564837131,(S3:0.885905815157,(S2:0.939491469681,(S0:0.93712739018,S1:0.83990424659):0.0379345507616):0.0512661093311):0.0118108820747):0.00729509968071):0.00786210372229):0.00415158406333):0.00374127980008):0.00367252966989):0.00369857009023):0.0159007528901):0.0057087271437):0.00463160022598):0.022057928345):0.0020879328544):0.00113450994536):0.0137766154658):0.003546545892):0.0159388495176):0.00221533344775):0.00662904076586):0.00485809959052):0.000250590224042):3.32924787381e-05):2.83887340167e-05):0.000320884216801):7.77062596263e-06):2.55236508357e-08):5.75382710891e-08):4.60950557634e-06):3.47119605856e-06):5.87086831872e-15):3.95190395331e-07):3.07588186297e-05):1.91838709397e-05):6.1082812494e-05):9.97723897027e-05):0.0012358105405):0.000164534923231):0.000167190762148):0.000641568077997):0.00329634322436):0.00386691304382):0.00055967572144):0.000598188321042):0.00224006057811):0.000488631268923):0.00043728389833):0.00038701520503):0.000580190508588):0.00109254319984):0.00472373219425):0.00350738038091):0.00314656940324):0.0105963040983):0.0404900053638):0.0476005275963):0.0132486282969):0.451055425127);"
brancharchitect_tree_comparison/v1,gauss_clear_medium_continuous,13,continuous_gaussian_examples,median,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,60,118,0,"((S0:1.05863905101,S1:0.96206460204):0.00571532956727,(S2:1.03354090144,(S3:0.925733851473,(S4:1.02823502059,(S5:0.959580035987,(S6:0.909633973718,(S7:1.0663636948,(S8:0.948144933431,(S9:1.04652148869,(S10:1.05227353964,(S11:1.12246833262,(S12:0.984580058331,(S13:1.07696080693,(S14:0.890293571845,(S15:1.07955287944,(S16:1.06229500778,(S17:0.956620815845,(S18:0.95635264587,(S19:0.882121478195,(S20:1.00655977844,(S21:1.11483770907,(S22:0.82367499338,(S23:0.810721533701,(S24:0.974986367559,(S25:0.919914602902,(S26:0.797540668645,(S27:0.911316778021,(S28:1.08124506221,(S29:1.06814902128,(S30:1.06523255288,(S31:0.844596199942,(S32:1.07704572218,(S33:1.06023914528,(S34:0.915816166404,(S35:1.07840763397,(S36:1.0456994791,(S37:1.10485931248,(S38:0.840857320465,(S39:0.955345668776,(S40:1.00085409606,(S41:1.01531039568,(S42:1.09533322877,(S43:0.844834569207,(S44:0.904435345626,(S45:0.94844222092,(S46:0.814824700875,(S47:1.06228026339,(S48:0.825844949338,(S49:0.958687476826,(S50:0.899406589546,(S51:0.969420908999,(S52:1.06460323954,(S53:1.04178292323,(S54:1.04639081078,(S55:0.983906805383,(S56:0.818358896262,(S57:0.907899362279,(S58:1.05275869999,S59:1.02017917107):0.00878976860748):0.000773928547929):0.00215395238881):3.459234036e-05):1.27144237144e-05):1.10670015307e-05):1.93118911436e-05):1.23330353725e-06):4.04365012973e-07):9.38836738579e-08):2.66175714194e-07):5.00674040621e-07):7.29590426303e-06):7.20259533453e-08):1.27366432452e-06):0.000386114118703):0.00041515055314):1.99151557833e-06):2.91345323123e-08):2.74448949878e-09):2.41028873029e-06):3.09131477118e-09):4.597209298e-10):1.47548261565e-12):5.39793103556e-12):2.41782768682e-25):4.10498849052e-51):7.89046203028e-17):1.72087888293e-16):6.83150861118e-24):2.27442414087e-29):9.44040360972e-15):2.47387240264e-08):7.43706929067e-12):6.27046775098e-13):9.30986128753e-08):0.000248879689903):0.000826872197729):1.8501375561e-06):0.0352583259723):0.000569020515193):0.0213637861453):4.05066912465e-06):5.85749789442e-07):0.0137078375585):0.000225037958452):0.00305570947853):0.0250614931833):1.52746380352e-06):1.42263133236e-05):4.55913028136e-06):5.81586659932e-06):2.64233689753e-05):7.08354271261e-07):6.48586081754e-05):2.85305682264e-08):0.00571532956727);"
brancharchitect_tree_comparison/v1,gauss_clear_medium_continuous,13,continuous_gaussian_examples,single,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,60,118,0,"(S59:0.451055425127,(S58:0.918380074343,(S57:0.793350993581,(S56:0.751840103142,(S55:0.952090176363,(S54:1.02585936315,(S53:1.02393797706,(S52:1.05082002314,(S51:0.959053341471,(S50:0.890389234355,(S49:0.950203614258,(S48:0.817879806168,(S47:1.05484937953,(S46:0.807732316753,(S45:0.94237937706,(S44:0.89972457624,(S43:0.840592033649,(S42:1.09218584883,(S41:1.01329070993,(S40:0.999166964282,(S39:0.953840068051,(S38:0.839845540796,(S37:1.10389965621,(S36:1.04493831544,(S35:1.07765412896,(S34:0.915155403276,(S33:1.05952291492,(S32:1.07638695347,(S31:0.843975470561,(S30:1.06462695393,(S29:1.06754445306,(S28:1.08060906268,(S27:0.910645526613,(S26:0.796888855616,(S25:0.919233578112,(S24:0.974227923381,(S23:0.809559675844,(S22:0.822109406063,(S21:1.11242548829,(S20:1.00260241201,(S19:0.87590763531,(S18:0.958570258594,(S17:0.957426635412,(S16:1.06739396005,(S15:1.08380524436,(S14:0.891231436755,(S13:1.07463082584,(S12:0.979105837251,(S11:1.11554220882,(S10:1.0519491944,(S9:1.0429614711,(S8:0.940940217268,(S7:1.0562316987,(S6:0.895727489132,(S5:0.937518602546,(S4:0.999564837131,(S3:0.885905815157,(S2:0.939491469681,(S0:0.93712739018,S1:0.83990424659):0.0379345507616):0.0512661093311):0.0118108820747):0.00729509968071):0.00786210372229):0.00415158406333):0.00374127980008):0.00367252966989):0.00369857009023):0.0159007528901):0.0057087271437):0.00463160022598):0.022057928345):0.0020879328544):0.00113450994536):0.0137766154658):0.003546545892):0.0159388495176):0.00221533344775):0.00662904076586):0.00485809959052):0.000250590224042):3.32924787381e-05):2.83887340167e-05):0.000320884216801):7.77062596263e-06):2.55236508357e-08):5.75382710891e-08):4.60950557634e-06):3.47119605856e-06):5.87086831872e-15):3.95190395331e-07):3.07588186297e-05):1.91838709397e-05):6.1082812494e-05):9.97723897027e-05):0.0012358105405):0.000164534923231):0.000167190762148):0.000641568077997):0.00329634322436):0.00386691304382):0.00055967572144):0.000598188321042):0.00224006057811):0.000488631268923):0.00043728389833):0.00038701520503):0.000580190508588):0.00109254319984):0.00472373219425):0.00350738038091):0.00314656940324):0.0105963040983):0.0404900053638):0.0476005275963):0.0132486282969):0.451055425127);"
brancharchitect_tree_comparison/v1,gauss_clear_medium_continuous,13,continuous_gaussian_examples,ward,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,60,118,0,"(S59:0.451055425127,(S58:0.918380074343,(S57:0.793350993581,(S56:0.751840103142,(S55:0.952090176363,(S54:1.02585936315,(S53:1.02393797706,(S52:1.05082002314,(S51:0.959053341471,(S50:0.890389234355,(S49:0.950203614258,(S48:0.817879806168,(S47:1.05484937953,(S46:0.807732316753,(S45:0.94237937706,(S44:0.89972457624,(S43:0.840592033649,(S42:1.09218584883,(S41:1.01329070993,(S40:0.999166964282,(S39:0.953840068051,(S38:0.839845540796,(S37:1.10389965621,(S36:1.04493831544,(S35:1.07765412896,(S34:0.915155403276,(S33:1.05952291492,(S32:1.07638695347,(S31:0.843975470561,(S30:1.06462695393,(S29:1.06754445306,(S28:1.08060906268,(S27:0.910645526613,(S26:0.796888855616,(S25:0.919233578112,(S24:0.974227923381,(S23:0.809559675844,(S22:0.822109406063,(S21:1.11242548829,(S20:1.00260241201,(S19:0.87590763531,(S18:0.958570258594,(S17:0.957426635412,(S16:1.06739396005,(S15:1.08380524436,(S14:0.891231436755,(S13:1.07463082584,(S12:0.979105837251,(S11:1.11554220882,(S10:1.0519491944,(S9:1.0429614711,(S8:0.940940217268,(S7:1.0562316987,(S6:0.895727489132,(S5:0.937518602546,(S4:0.999564837131,(S3:0.885905815157,(S2:0.939491469681,(S0:0.93712739018,S1:0.83990424659):0.0379345507616):0.0512661093311):0.0118108820747):0.00729509968071):0.00786210372229):0.00415158406333):0.00374127980008):0.00367252966989):0.00369857009023):0.0159007528901):0.0057087271437):0.00463160022598):0.022057928345):0.0020879328544):0.00113450994536):0.0137766154658):0.003546545892):0.0159388495176):0.00221533344775):0.00662904076586):0.00485809959052):0.000250590224042):3.32924787381e-05):2.83887340167e-05):0.000320884216801):7.77062596263e-06):2.55236508357e-08):5.75382710891e-08):4.60950557634e-06):3.47119605856e-06):5.87086831872e-15):3.95190395331e-07):3.07588186297e-05):1.91838709397e-05):6.1082812494e-05):9.97723897027e-05):0.0012358105405):0.000164534923231):0.000167190762148):0.000641568077997):0.00329634322436):0.00386691304382):0.00055967572144):0.000598188321042):0.00224006057811):0.000488631268923):0.00043728389833):0.00038701520503):0.000580190508588):0.00109254319984):0.00472373219425):0.00350738038091):0.00314656940324):0.0105963040983):0.0404900053638):0.0476005275963):0.0132486282969):0.451055425127);"
brancharchitect_tree_comparison/v1,gauss_clear_medium_continuous,13,continuous_gaussian_examples,weighted,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,60,118,0,"(S59:0.451055425127,(S58:0.918380074343,(S57:0.793350993581,(S56:0.751840103142,(S55:0.952090176363,(S54:1.02585936315,(S53:1.02393797706,(S52:1.05082002314,(S51:0.959053341471,(S50:0.890389234355,(S49:0.950203614258,(S48:0.817879806168,(S47:1.05484937953,(S46:0.807732316753,(S45:0.94237937706,(S44:0.89972457624,(S43:0.840592033649,(S42:1.09218584883,(S41:1.01329070993,(S40:0.999166964282,(S39:0.953840068051,(S38:0.839845540796,(S37:1.10389965621,(S36:1.04493831544,(S35:1.07765412896,(S34:0.915155403276,(S33:1.05952291492,(S32:1.07638695347,(S31:0.843975470561,(S30:1.06462695393,(S29:1.06754445306,(S28:1.08060906268,(S27:0.910645526613,(S26:0.796888855616,(S25:0.919233578112,(S24:0.974227923381,(S23:0.809559675844,(S22:0.822109406063,(S21:1.11242548829,(S20:1.00260241201,(S19:0.87590763531,(S18:0.958570258594,(S17:0.957426635412,(S16:1.06739396005,(S15:1.08380524436,(S14:0.891231436755,(S13:1.07463082584,(S12:0.979105837251,(S11:1.11554220882,(S10:1.0519491944,(S9:1.0429614711,(S8:0.940940217268,(S7:1.0562316987,(S6:0.895727489132,(S5:0.937518602546,(S4:0.999564837131,(S3:0.885905815157,(S2:0.939491469681,(S0:0.93712739018,S1:0.83990424659):0.0379345507616):0.0512661093311):0.0118108820747):0.00729509968071):0.00786210372229):0.00415158406333):0.00374127980008):0.00367252966989):0.00369857009023):0.0159007528901):0.0057087271437):0.00463160022598):0.022057928345):0.0020879328544):0.00113450994536):0.0137766154658):0.003546545892):0.0159388495176):0.00221533344775):0.00662904076586):0.00485809959052):0.000250590224042):3.32924787381e-05):2.83887340167e-05):0.000320884216801):7.77062596263e-06):2.55236508357e-08):5.75382710891e-08):4.60950557634e-06):3.47119605856e-06):5.87086831872e-15):3.95190395331e-07):3.07588186297e-05):1.91838709397e-05):6.1082812494e-05):9.97723897027e-05):0.0012358105405):0.000164534923231):0.000167190762148):0.000641568077997):0.00329634322436):0.00386691304382):0.00055967572144):0.000598188321042):0.00224006057811):0.000488631268923):0.00043728389833):0.00038701520503):0.000580190508588):0.00109254319984):0.00472373219425):0.00350738038091):0.00314656940324):0.0105963040983):0.0404900053638):0.0476005275963):0.0132486282969):0.451055425127);"
brancharchitect_tree_comparison/v1,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,average,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,45,88,0,"(S44:0.608677870861,(S43:0.973534334206,(S42:1.06965570693,(S41:1.02119285259,(S40:1.00557542813,(S39:1.11863510564,(S38:1.10150614332,(S37:1.18383987294,(S36:0.675406593624,(S35:1.09721325187,(S34:1.06956849484,(S33:1.02382088207,(S32:1.01830642063,(S31:0.75984208207,(S30:1.25023654438,(S29:0.653686025693,(S28:1.09039412377,(S27:0.726781080767,(S26:0.680551736044,(S25:1.06350283912,(S24:1.10686397254,(S23:1.34829374962,(S22:1.3226482271,(S21:1.24054937224,(S20:0.737005576096,(S19:0.92182804777,(S18:0.626170056193,(S17:0.743811825533,(S16:0.654519286664,(S15:0.706972599625,(S14:0.703756220211,(S13:0.663691247105,(S12:1.06755545389,(S11:1.21192552613,(S10:1.01042665494,(S9:1.12063614609,(S8:1.29190508707,(S7:0.752102121857,(S6:0.714118702998,(S5:1.09559411084,(S4:1.12299279687,(S3:0.549060446629,(S2:1.13508971228,(S0:1.29787421658,S1:1.00907869581):0.00311595261569):0.00535388176274):9.09108996142e-07):1.10718517525e-05):7.48845597681e-09):1.94484256541e-06):1.13871704588e-06):4.57826737888e-06):7.80398727019e-08):3.10489527654e-06):1.82983547653e-08):3.75306593351e-06):3.889694883e-08):8.20010381855e-10):6.39280975434e-10):1.89330869264e-08):8.04030361398e-07):0.001093835454):2.34118723618e-07):0.000203962302237):0.000341853134544):1.95462269318e-08):1.3217920898e-13):4.39430085555e-35):4.30343074018e-14):5.51221483358e-14):1.51648626241e-06):1.09192858329e-07):0.000267054858001):1.51854866974e-06):0.0700013832094):0.000143478870281):0.00416328222099):3.12983960359e-06):1.71594753139e-06):0.0200363679031):0.0234785678116):0.000113619741678):0.000472678289738):8.63843510132e-05):0.00553490440534):0.00232964981534):0.608677870861);"
brancharchitect_tree_comparison/v1,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,centroid,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,45,88,0,"((S0:1.30113331889,S1:1.01233779801):0.000975637487469,(S2:1.1372916976,(S3:0.549295382126,(S4:1.12323249591,(S5:1.09582504659,(S6:0.714356684581,(S7:0.752338611495,(S8:1.29214069911,(S9:1.12087112023,(S10:1.01066157243,(S11:1.21215877542,(S12:1.06778869168,(S13:0.663923013942,(S14:0.703987968437,(S15:0.707204347555,(S16:0.654751034323,(S17:0.744043567413,(S18:0.626401660093,(S19:0.922017941052,(S20:0.737195437457,(S21:1.24073409243,(S22:1.32283019132,(S23:1.34847571459,(S24:1.10704593604,(S25:1.0636848024,(S26:0.680733698647,(S27:0.726963043409,(S28:1.09057654044,(S29:0.653868486908,(S30:1.25045539725,(S31:0.760061731332,(S32:1.0179155254,(S33:1.0234634125,(S34:1.0698229755,(S35:1.09751676141,(S36:0.675457859231,(S37:1.18445915016,(S38:1.10141408909,(S39:1.11856469624,(S40:1.00569315146,(S41:1.02128892957,(S42:1.07142903537,(S43:0.976061052864,S44:1.21956184147):0.00186146388598):0.00384060561931):9.19703028877e-05):0.000316542908669):9.41574230223e-05):0.0241185067644):0.0198402190834):5.55541692716e-08):2.30147669638e-07):0.00315271139161):8.89669462247e-05):0.0708521839303):4.34090844675e-08):0.00015820012756):1.4395450684e-09):7.71523398893e-08):1.36668399314e-21):2.50989530959e-17):1.18533110372e-39):8.78255700958e-21):3.08495944403e-10):0.000218398370085):0.000126022425717):7.33401346853e-09):0.000830340913709):1.53751865277e-08):3.04359902816e-10):1.64183240521e-12):2.14953256583e-12):7.05471346171e-10):1.12088528504e-07):1.04425640048e-10):1.73510615296e-07):7.80508609198e-10):6.76914725034e-07):5.05068907839e-08):1.15152982791e-07):2.11536647931e-07):4.97558531164e-07):6.08525658272e-09):0.00313735749655):0.000975637487469);"
brancharchitect_tree_comparison/v1,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,complete,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,45,88,0,"(S44:0.608677870861,(S43:0.973534334206,(S42:1.06965570693,(S41:1.02119285259,(S40:1.00557542813,(S39:1.11863510564,(S38:1.10150614332,(S37:1.18383987294,(S36:0.675406593624,(S35:1.09721325187,(S34:1.06956849484,(S33:1.02382088207,(S32:1.01830642063,(S31:0.75984208207,(S30:1.25023654438,(S29:0.653686025693,(S28:1.09039412377,(S27:0.726781080767,(S26:0.680551736044,(S25:1.06350283912,(S24:1.10686397254,(S23:1.34829374962,(S22:1.3226482271,(S21:1.24054937224,(S20:0.737005576096,(S19:0.92182804777,(S18:0.626170056193,(S17:0.743811825533,(S16:0.654519286664,(S15:0.706972599625,(S14:0.703756220211,(S13:0.663691247105,(S12:1.06755545389,(S11:1.21192552613,(S10:1.01042665494,(S9:1.12063614609,(S8:1.29190508707,(S7:0.752102121857,(S6:0.714118702998,(S5:1.09559411084,(S4:1.12299279687,(S3:0.549060446629,(S2:1.13508971228,(S0:1.29787421658,S1:1.00907869581):0.00311595261569):0.00535388176274):9.09108996142e-07):1.10718517525e-05):7.48845597681e-09):1.94484256541e-06):1.13871704588e-06):4.57826737888e-06):7.80398727019e-08):3.10489527654e-06):1.82983547653e-08):3.75306593351e-06):3.889694883e-08):8.20010381855e-10):6.39280975434e-10):1.89330869264e-08):8.04030361398e-07):0.001093835454):2.34118723618e-07):0.000203962302237):0.000341853134544):1.95462269318e-08):1.3217920898e-13):4.39430085555e-35):4.30343074018e-14):5.51221483358e-14):1.51648626241e-06):1.09192858329e-07):0.000267054858001):1.51854866974e-06):0.0700013832094):0.000143478870281):0.00416328222099):3.12983960359e-06):1.71594753139e-06):0.0200363679031):0.0234785678116):0.000113619741678):0.000472678289738):8.63843510132e-05):0.00553490440534):0.00232964981534):0.608677870861);"
