case_id,fallback_method,status,found_clusters,ari,nmi,macro_f1,skip_reason,source
gauss_clear_medium_continuous,average,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
gauss_moderate_3c_continuous,average,ok,1,0.0,0.0,0.1666666666666666,,adaptive_graphtools_nnls_topology_cell
dim_consolidated_4c_24f_continuous,average,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
dim_consolidated_4c_72f_continuous,average,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
dim_diffuse_6c_136f_continuous,average,ok,1,0.0,0.0,0.0476190476190476,,adaptive_graphtools_nnls_topology_cell
gauss_single_outlier_4c_continuous,average,ok,1,0.0,0.0,0.0796019900497512,,adaptive_graphtools_nnls_topology_cell
gauss_outlier_cluster_4c_continuous,average,ok,1,0.0,0.0,0.0776699029126213,,adaptive_graphtools_nnls_topology_cell
sbm_moderate,average,ok,1,0.0,0.0,0.196078431372549,,adaptive_graphtools_nnls_topology_cell
sbm_hard,average,ok,1,0.0,0.0,0.1666666666666666,,adaptive_graphtools_nnls_topology_cell
overlap_heavy_8c_large_feat,average,ok,1,0.0,0.0,0.0277777777777777,,adaptive_graphtools_nnls_topology_cell
overlap_extreme_4c,average,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
mp_spike_above_bbp_continuous,average,ok,1,0.0,0.0,0.3333333333333333,,adaptive_graphtools_nnls_topology_cell
cont_lowrank_pggn_shrinkage,average,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
phylo_brownian_null_16taxa,average,ok,1,0.0,0.0,0.0073529411764705,,adaptive_graphtools_nnls_topology_cell
gauss_clear_medium_continuous,weighted,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
gauss_moderate_3c_continuous,weighted,ok,1,0.0,0.0,0.1666666666666666,,adaptive_graphtools_nnls_topology_cell
dim_consolidated_4c_24f_continuous,weighted,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
dim_consolidated_4c_72f_continuous,weighted,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
dim_diffuse_6c_136f_continuous,weighted,ok,1,0.0,0.0,0.0476190476190476,,adaptive_graphtools_nnls_topology_cell
gauss_single_outlier_4c_continuous,weighted,ok,1,0.0,0.0,0.0796019900497512,,adaptive_graphtools_nnls_topology_cell
gauss_outlier_cluster_4c_continuous,weighted,ok,1,0.0,0.0,0.0776699029126213,,adaptive_graphtools_nnls_topology_cell
sbm_moderate,weighted,ok,1,0.0,0.0,0.196078431372549,,adaptive_graphtools_nnls_topology_cell
sbm_hard,weighted,ok,1,0.0,0.0,0.1666666666666666,,adaptive_graphtools_nnls_topology_cell
overlap_heavy_8c_large_feat,weighted,ok,1,0.0,0.0,0.0277777777777777,,adaptive_graphtools_nnls_topology_cell
overlap_extreme_4c,weighted,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
mp_spike_above_bbp_continuous,weighted,ok,1,0.0,0.0,0.3333333333333333,,adaptive_graphtools_nnls_topology_cell
cont_lowrank_pggn_shrinkage,weighted,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
phylo_brownian_null_16taxa,weighted,ok,1,0.0,0.0,0.0073529411764705,,adaptive_graphtools_nnls_topology_cell
gauss_clear_medium_continuous,ward,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
gauss_moderate_3c_continuous,ward,ok,1,0.0,0.0,0.1666666666666666,,adaptive_graphtools_nnls_topology_cell
dim_consolidated_4c_24f_continuous,ward,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
dim_consolidated_4c_72f_continuous,ward,ok,1,0.0,0.0,0.1,,adaptive_graphtools_nnls_topology_cell
dim_diffuse_6c_136f_continuous,ward,ok,1,0.0,0.0,0.0476190476190476,,adaptive_graphtools_nnls_topology_cell
gauss_single_outlier_4c_continuous,ward,ok,1,0.0,0.0,0.0796019900497512,,adaptive_graphtools_nnls_topology_cell
