case_id,test_case,case_category,true_clusters,samples,features,ok_cells,skip_cells,root_edge_open_cells,root_edge_closed_cells,root_sibling_open_cells,root_sibling_skipped_cells,found_clusters_max,ari_max,nmi_max,macro_f1_max,root_min_edge_bh,root_median_edge_bh,root_min_sibling_corrected,root_median_sibling_corrected,root_min_sparse,root_min_dense,all_node_min_edge_bh,all_node_edge_significant_total,all_node_edge_significant_max_cell,all_node_sibling_bh_different_total,all_node_min_sparse,all_node_min_dense,full_edge_trace_rows,full_edge_continue_nodes,full_edge_max_depth,full_edge_sibling_gate_open_nodes,full_edge_sibling_corrected_sig_nodes,full_edge_min_sibling_corrected,skipped_topologies,skip_reasons,loss_bucket,loss_interpretation
cont_lowrank_pggn_shrinkage,117,method_proof,4,80,2000,7,1,5,2,0,2,1,0.0,0.0,0.1,8.828289184319983e-16,8.828289184319983e-16,0.3268286082538727,0.3268286082538727,0.132661963344034,0.01075170684615,4.6086153318100066e-70,65,13,0,0.0159845775146006,0.008524119717614,77,35,7,0,0,0.0819282189061434,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,sibling_gate_closed_after_edge_open,"At least one topology opens edge traversal, but no node has active sibling-divergence support; live traversal returns root boundary."
dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,4,160,24,7,1,0,7,0,7,1,0.0,0.0,0.1,0.0807087970718598,0.8375045126629709,,,0.2265460166606106,0.4543179257759401,0.0807087970718598,0,0,0,3.682527389093285e-06,0.0001166734684735,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.
dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,4,160,72,7,1,0,7,0,7,1,0.0,0.0,0.1,0.1736620608744417,0.5156611651102827,,,0.3232799834594276,0.1208222680669622,0.1736620608744417,0,0,0,0.0002077656993309,0.0688148667162932,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.
dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,6,180,136,7,1,0,7,0,7,1,0.0,0.0,0.0476190476190476,0.0119395792603464,0.8603524635114308,,,0.3798962084369377,0.3432575235870966,0.0119395792603464,0,0,0,0.0056106866893772,0.1423995899724559,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.
gauss_clear_medium_continuous,13,continuous_gaussian_examples,4,60,40,7,1,0,7,0,7,1,0.0,0.0,0.1,0.4211575721516045,0.5320956729358675,,,0.2631284435699474,0.1600215136362699,0.4211575721516045,0,0,0,0.0061537923571821,0.1600215136362699,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.
gauss_moderate_3c_continuous,14,continuous_gaussian_examples,3,45,30,7,1,0,7,0,7,1,0.0,0.0,0.1666666666666666,0.621264137217943,0.621264137217943,,,0.5311938363092268,0.3014702793254922,0.621264137217943,0,0,0,0.0657711149307724,0.2053506135054185,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.
gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,5,166,40,7,1,0,7,0,7,1,0.0,0.0,0.0776699029126213,0.637371390388745,0.637371390388745,,,0.5958123545433612,0.7573753436964146,0.637371390388745,0,0,0,0.0111426883934212,0.0023121340238149,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.
gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,5,161,40,7,1,0,7,0,7,1,0.0,0.0,0.0796019900497512,0.4555071735271706,0.4555071735271706,,,0.2757756843754561,0.098506961667433,0.4555071735271706,0,0,0,2.152877868778157e-08,9.221295113012972e-05,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.
mp_spike_above_bbp_continuous,114,method_proof,2,120,300,7,1,0,7,0,7,1,0.0,0.0,0.3333333333333333,0.5678578445064908,0.5678578445064908,,,0.9999999985664888,1.0,0.5678578445064908,0,0,0,0.0354917467511944,1.0,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.
overlap_extreme_4c,89,overlapping_binary_heavy,4,600,150,8,0,4,4,0,4,1,0.0,0.0,0.1,1.221601024801763e-13,0.07404710753158428,0.6057506751557509,0.7209992861760005,8.780472430735494e-05,1.0288232908318928e-25,2.746259026437474e-52,631,491,0,4.299107538574389e-06,3.569157551660465e-33,642,317,13,0,0,0.1941247067925768,,,sibling_gate_closed_after_edge_open,"At least one topology opens edge traversal, but no node has active sibling-divergence support; live traversal returns root boundary."
overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,8,800,500,7,1,5,2,0,2,1,0.0,0.0,0.0277777777777777,1.090544719699791e-37,7.288940843103321e-08,0.3421088071951228,0.937936835042918,0.0483122420221867,9.227885226571737e-16,3.2116337994609882e-167,3930,1537,0,0.0005737148129617,6.59625916938957e-46,3947,1970,31,0,0,0.0994726829369209,ward,ward: Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found ,sibling_gate_closed_after_edge_open,"At least one topology opens edge traversal, but no node has active sibling-divergence support; live traversal returns root boundary."
