test_case,case_id,case_category,true_clusters,samples,features,cells,ok_cells,skip_cells,found_clusters_min,found_clusters_max,ari_mean,ari_max,min_root_edge_bh_min,min_root_edge_bh_median,left_root_edge_bh_median,right_root_edge_bh_median,sparse_root_p_median,dense_root_p_median,root_boundary_cells,edge_closed_cells,sibling_skipped_cells,loss_site
13,gauss_clear_medium_continuous,continuous_gaussian_examples,4,60,40,8,7,1,0,1,0.0,0.0,0.42115757215160454,0.5320956729358675,0.5320956729358675,0.5320956729358675,0.644125255381484,0.6314216984843795,7,7,7,root edge gate closes before sibling split
14,gauss_moderate_3c_continuous,continuous_gaussian_examples,3,45,30,8,7,1,0,1,0.0,0.0,0.621264137217943,0.621264137217943,0.621264137217943,0.621264137217943,0.6315967650793155,0.3448454121945471,7,7,7,root edge gate closes before sibling split
23,dim_consolidated_4c_24f_continuous,continuous_dimensional_gaussian_examples,4,160,24,8,7,1,0,1,0.0,0.0,0.08070879707185981,0.8375045126629709,0.8375045126629709,0.8375045126629709,0.6566565049503695,0.45431792577594016,7,7,7,root edge gate closes before sibling split
24,dim_consolidated_4c_72f_continuous,continuous_dimensional_gaussian_examples,4,160,72,8,7,1,0,1,0.0,0.0,0.17366206087444175,0.5156611651102827,0.5156611651102827,0.5156611651102827,0.3277623531822604,0.8120078060610278,7,7,7,root edge gate closes before sibling split
25,dim_diffuse_6c_136f_continuous,continuous_dimensional_gaussian_examples,6,180,136,8,7,1,0,1,0.0,0.0,0.011939579260346483,0.8603524635114308,0.8603524635114308,0.8603524635114308,0.4771076159900952,0.47239622508336593,7,7,7,root edge gate closes before sibling split
29,gauss_single_outlier_4c_continuous,continuous_gaussian_outlier_examples,5,161,40,8,7,1,0,1,0.0,0.0,0.45550717352717063,0.45550717352717063,0.45550717352717063,0.45550717352717063,0.27577568437545613,0.6389701898535322,7,7,7,root edge gate closes before sibling split
30,gauss_outlier_cluster_4c_continuous,continuous_gaussian_outlier_examples,5,166,40,8,7,1,0,1,0.0,0.0,0.637371390388745,0.637371390388745,0.637371390388745,0.637371390388745,0.9220510193096842,0.8090685903305013,7,7,7,root edge gate closes before sibling split
60,sbm_moderate,sbm_graphs,3,120,120,8,8,0,1,1,0.0,0.0,1.2104189347265943e-10,0.0843964392753444,0.0843964392753444,0.0843964392753444,9.857790716370278e-11,1.1032213934817566e-05,8,5,5,mixed/inspect
61,sbm_hard,sbm_graphs,3,120,120,8,8,0,1,1,0.0,0.0,4.846458589075412e-09,0.02655739407553972,0.02655739407553972,0.02655739407553972,1.2667124646043326e-09,0.0006744191205147481,8,5,5,mixed/inspect
88,overlap_heavy_8c_large_feat,overlapping_binary_heavy,8,800,500,8,7,1,0,1,0.0,0.0,1.090544719699791e-37,7.288940843103321e-08,7.288940843103321e-08,7.288940843103321e-08,0.25684507887859426,2.564620304265152e-12,7,2,2,mixed/inspect
89,overlap_extreme_4c,overlapping_binary_heavy,4,600,150,8,8,0,1,1,0.0,0.0,1.2216010248017628e-13,0.07404710753158429,0.07404710753158429,0.07404710753158429,0.1296989793105131,2.5234323717083136e-10,8,4,4,mixed/inspect
114,mp_spike_above_bbp_continuous,method_proof,2,120,300,8,7,1,0,1,0.0,0.0,0.5678578445064908,0.5678578445064908,0.5678578445064908,0.5678578445064908,0.9999999993487747,1.0,7,7,7,root edge gate closes before sibling split
117,cont_lowrank_pggn_shrinkage,method_proof,4,80,2000,8,7,1,0,1,0.0,0.0,8.828289184319983e-16,8.828289184319983e-16,8.828289184319983e-16,8.828289184319983e-16,0.13266196334403405,0.010751706846150039,7,2,2,mixed/inspect
119,phylo_brownian_null_16taxa,method_proof,16,160,100,8,7,1,0,1,0.0,0.0,0.033454990372507536,0.033454990372507536,0.033454990372507536,0.033454990372507536,0.4695892144054346,0.2840680937603081,7,7,7,root edge gate closes before sibling split
