case_id,test_case,tree_inference,run_id,status,found_clusters,ari,nmi,labels_length,skip_reason
sbm_moderate,60,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,1.0,0.0,0.0,120.0,
sbm_moderate,60,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,1.0,0.0,0.0,120.0,
sbm_moderate,60,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,1.0,0.0,0.0,120.0,
sbm_moderate,60,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,1.0,0.0,0.0,120.0,
sbm_moderate,60,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,1.0,0.0,0.0,120.0,
sbm_moderate,60,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,1.0,0.0,0.0,120.0,
sbm_moderate,60,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,ok,1.0,0.0,0.0,120.0,
sbm_moderate,60,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,ok,1.0,0.0,0.0,120.0,
sbm_hard,61,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,1.0,0.0,0.0,120.0,
sbm_hard,61,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,1.0,0.0,0.0,120.0,
sbm_hard,61,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,ok,1.0,0.0,0.0,120.0,
sbm_hard,61,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,ok,1.0,0.0,0.0,120.0,
sbm_hard,61,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,ok,1.0,0.0,0.0,120.0,
sbm_hard,61,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,ok,1.0,0.0,0.0,120.0,
sbm_hard,61,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,ok,1.0,0.0,0.0,120.0,
sbm_hard,61,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,ok,1.0,0.0,0.0,120.0,
overlap_heavy_8c_large_feat,88,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,ok,1.0,0.0,0.0,800.0,
overlap_heavy_8c_large_feat,88,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,ok,1.0,0.0,0.0,800.0,
