case_id,test_case,tree_inference,run_id,live_nodes_visited,live_internal_tuples,live_split_count,live_pass_through_count,live_boundary_count,live_passthrough_candidate_count,live_passthrough_support_blocked_count,full_edge_nodes_visited,full_edge_internal_tuples,full_edge_continue_count,full_edge_stop_count,full_edge_leaf_stop_count,full_edge_non_binary_stop_count,full_edge_closed_stop_count,full_edge_passthrough_candidate_count,full_edge_passthrough_support_blocked_count,full_edge_missing_branch_length_count
sbm_moderate,60,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
sbm_moderate,60,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,1,1,0,0,1,0,0,7,7,3,4,0,0,4,0,0,0
sbm_moderate,60,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
sbm_moderate,60,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
sbm_moderate,60,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
sbm_moderate,60,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
sbm_moderate,60,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,1,1,0,0,1,0,0,13,12,6,7,1,0,6,0,0,0
sbm_moderate,60,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1,1,0,0,1,0,0,13,10,6,7,3,0,4,0,0,0
sbm_hard,61,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,0,1,0,0,3,3,1,2,0,0,2,0,0,0
sbm_hard,61,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
sbm_hard,61,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
sbm_hard,61,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,1,0,0,3,3,1,2,0,0,2,0,0,0
sbm_hard,61,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,1,0,0,3,3,1,2,0,0,2,0,0,0
sbm_hard,61,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
sbm_hard,61,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
sbm_hard,61,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
overlap_heavy_8c_large_feat,88,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,0,1,0,0,171,88,85,86,83,0,3,0,0,0
overlap_heavy_8c_large_feat,88,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,1,1,0,0,1,0,0,707,356,353,354,351,0,3,0,0,0
overlap_heavy_8c_large_feat,88,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,1,0,0,1543,778,771,772,765,0,7,0,0,0
overlap_heavy_8c_large_feat,88,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,1,0,0,7,4,3,4,3,0,1,0,0,0
overlap_heavy_8c_large_feat,88,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
overlap_heavy_8c_large_feat,88,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
overlap_heavy_8c_large_feat,88,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1,1,0,0,1,0,0,1517,760,758,759,757,0,2,0,0,0
overlap_extreme_4c,89,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
overlap_extreme_4c,89,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,1,1,0,0,1,0,0,11,6,5,6,5,0,1,0,0,0
overlap_extreme_4c,89,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
overlap_extreme_4c,89,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
overlap_extreme_4c,89,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
overlap_extreme_4c,89,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,1,0,0,21,11,10,11,10,0,1,0,0,0
overlap_extreme_4c,89,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,1,1,0,0,1,0,0,495,251,247,248,244,0,4,0,0,0
overlap_extreme_4c,89,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1,1,0,0,1,0,0,111,56,55,56,55,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
cont_lowrank_pggn_shrinkage,117,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,1,1,0,0,1,0,0,15,8,7,8,7,0,1,0,0,0
