schema_version,policy_id,literature_family,implementation_status,case_id,test_case,case_category,loss_bucket,true_clusters,ok_cells_expected,trace_cells,split_cells,opened_nodes_total,pass_through_nodes_total,max_cluster_count,median_cluster_count,min_largest_cluster_fraction,max_local_alpha,min_rejected_p_value,rescue_status
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,cont_lowrank_pggn_shrinkage,117,method_proof,sibling_gate_closed_after_edge_open,4,7,7,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,edge_gate_closed_global,6,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,gauss_clear_medium_continuous,13,continuous_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,edge_gate_closed_global,3,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,edge_gate_closed_global,5,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,edge_gate_closed_global,5,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,mp_spike_above_bbp_continuous,114,method_proof,edge_gate_closed_global,2,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_extreme_4c,89,overlapping_binary_heavy,sibling_gate_closed_after_edge_open,4,8,8,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,sibling_gate_closed_after_edge_open,8,7,7,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,phylo_brownian_null_16taxa,119,method_proof,edge_gate_closed_global,16,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,sbm_hard,61,sbm_graphs,sibling_gate_closed_after_edge_open,3,8,8,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,current_traversal_gate,current TBS traversal baseline,native_current,sbm_moderate,60,sbm_graphs,sibling_gate_closed_after_edge_open,3,8,8,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,cont_lowrank_pggn_shrinkage,117,method_proof,sibling_gate_closed_after_edge_open,4,7,7,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,edge_gate_closed_global,6,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,gauss_clear_medium_continuous,13,continuous_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,edge_gate_closed_global,3,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,edge_gate_closed_global,5,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,edge_gate_closed_global,5,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,mp_spike_above_bbp_continuous,114,method_proof,edge_gate_closed_global,2,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,overlap_extreme_4c,89,overlapping_binary_heavy,sibling_gate_closed_after_edge_open,4,8,8,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,sibling_gate_closed_after_edge_open,8,7,7,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,phylo_brownian_null_16taxa,119,method_proof,edge_gate_closed_global,16,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,sbm_hard,61,sbm_graphs,sibling_gate_closed_after_edge_open,3,8,8,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,yekutieli_hierarchical_fdr_bh,hierarchical FDR,executable_analogue,sbm_moderate,60,sbm_graphs,sibling_gate_closed_after_edge_open,3,8,8,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,cont_lowrank_pggn_shrinkage,117,method_proof,sibling_gate_closed_after_edge_open,4,7,7,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,edge_gate_closed_global,6,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,gauss_clear_medium_continuous,13,continuous_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,edge_gate_closed_global,3,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,edge_gate_closed_global,5,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,edge_gate_closed_global,5,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,mp_spike_above_bbp_continuous,114,method_proof,edge_gate_closed_global,2,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,overlap_extreme_4c,89,overlapping_binary_heavy,sibling_gate_closed_after_edge_open,4,8,8,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,sibling_gate_closed_after_edge_open,8,7,7,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,phylo_brownian_null_16taxa,119,method_proof,edge_gate_closed_global,16,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,sbm_hard,61,sbm_graphs,sibling_gate_closed_after_edge_open,3,8,8,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,sbm_moderate,60,sbm_graphs,sibling_gate_closed_after_edge_open,3,8,8,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,cont_lowrank_pggn_shrinkage,117,method_proof,sibling_gate_closed_after_edge_open,4,7,7,0,0,0,1,1.0,1.0,0.01,,no_split_under_policy
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,edge_gate_closed_global,4,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,edge_gate_closed_global,6,7,0,0,0,0,1,1.0,1.0,,,still_edge_blocked_or_no_replay_trace
