diagnosis_schema_version,case_id,test_case,case_category,true_clusters,samples,features,ok_cells,skip_cells,root_edge_open_cells_x,root_edge_closed_cells,root_sibling_open_cells_x,root_sibling_skipped_cells,found_clusters_max,ari_max,nmi_max,macro_f1_max,root_min_edge_bh,root_median_edge_bh,root_min_sibling_corrected,root_median_sibling_corrected,root_min_sparse,root_min_dense,all_node_min_edge_bh,all_node_edge_significant_total,all_node_edge_significant_max_cell,all_node_sibling_bh_different_total,all_node_min_sparse,all_node_min_dense,full_edge_trace_rows,full_edge_continue_nodes,full_edge_max_depth,full_edge_sibling_gate_open_nodes,full_edge_sibling_corrected_sig_nodes,full_edge_min_sibling_corrected,skipped_topologies,skip_reasons,loss_bucket,loss_interpretation,ok_tree_cells,successful_topologies,tree_found_clusters_min,tree_found_clusters_max,median_total_branch_length,total_branch_length_min,total_branch_length_max,median_mean_branch_length,median_max_branch_length,skipped_tree_cells,skipped_topologies_tree_comparison,tree_comparison_skip_reasons,pairwise_comparisons,median_rooted_internal_rf_relative,max_rooted_internal_rf_relative,median_rooted_weighted_split_l1,max_rooted_weighted_split_l1,median_leaf_path_rmse,max_leaf_path_rmse,min_predicted_label_ari_between_topologies,root_edge_open_cells_y,root_sibling_open_cells_y,root_edge_bh_min,root_edge_bh_median,root_edge_bh_max,root_active_sibling_corrected_min,root_active_sibling_corrected_median,root_sparse_p_min,root_dense_p_min,root_fixed_coordinate_bh_min,root_fixed_global_p_min,root_branch_length_min,root_branch_length_max,root_branch_length_median,visited_full_edge_nodes,full_edge_open_nodes,full_active_sibling_finite,full_min_active_sibling_corrected,full_min_sparse_p_value,full_min_dense_p_value,full_min_fixed_coordinate_bh_p_value,full_min_fixed_global_p_value,full_min_branch_length_sum,full_median_branch_length_sum,best_sweep_sibling_alpha,best_sweep_ari,best_sweep_found_clusters,best_sweep_min_largest_cluster_fraction,adaptive_proxy_split_cells,adaptive_proxy_max_cluster_count,adaptive_proxy_min_largest_cluster_fraction,adaptive_proxy_max_local_alpha,adaptive_proxy_min_rejected_p_value,adaptive_proxy_rescue_status,unstable_subtree_count,max_unstable_subtree_smaller_side_leaf_count,median_unstable_subtree_smaller_side_leaf_count,unstable_subtree_contrast_types,large_unstable_subtree_count,top_unstable_subtree_id,top_unstable_subtree_smaller_side_leaf_count,top_unstable_subtree_smaller_side_fraction,top_unstable_subtree_supporting_methods,top_unstable_subtree_absent_methods,top_unstable_subtree_contrast_type,top_unstable_subtree_leaf_preview,top_unstable_subtree_complement_preview,root_branch_length_ratio,root_edge_p_value_ratio,minimum_diagnostic_sibling_p_value,active_vs_diagnostic_p_value_ratio,topology_difference_driver,null_hypothesis_change,development_action
tree_topology_difference_diagnosis/v1,dim_diffuse_6c_136f_continuous,25,continuous_dimensional_gaussian_examples,6,180,136,7,1,0,7,0,7,1,0.0,0.0,0.0476190476190476,0.0119395792603464,0.8603524635114308,,,0.3798962084369377,0.3432575235870966,0.0119395792603464,0,0,0,0.0056106866893772,0.1423995899724559,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.,7,"average,centroid,complete,median,single,ward,weighted",1,1,174.46348372900275,174.46348372900275,174.56362469708583,0.4873281668407898,1.5007395385614533,1,neighbor_joining,MAD rooting requires positive distances between leaf pairs.,21,0.0,0.99438202247191,0.0,2.4940319490779657,0.0,0.0023598987827507,1.0,0,0,0.0119395792603464,0.8603524635114308,0.8603524635114308,,,0.3798962084369377,0.3432575235870966,0.3798962084369377,0.3432575235870966,0.1742652914137972,0.268877099660921,0.268877099660921,,,,,,,,,,,,,,,0,1,1.0,,,still_edge_blocked_or_no_replay_trace,354,90,46.0,"nonmonotone_specific_subtree,stable_core_subtree_missing_in_nonmonotone",326,f007ca309567c8a2,90,0.5,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+78)","S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,...(+78)",1.5429182568688662,72.05885942470553,0.3432575235870966,,nonmonotone_linkage_topology_instability,selected_tree_edge_null_first; sibling_null_is_not_reached_until edge_support_is_calibrated_for_selected_topology_and_nnls_time,"Estimate an edge null over the full selected pipeline (adaptive KNN diffusion, topology method, NNLS branch lengths, selected root)."
tree_topology_difference_diagnosis/v1,gauss_outlier_cluster_4c_continuous,30,continuous_gaussian_outlier_examples,5,166,40,7,1,0,7,0,7,1,0.0,0.0,0.0776699029126213,0.637371390388745,0.637371390388745,,,0.5958123545433612,0.7573753436964146,0.637371390388745,0,0,0,0.0111426883934212,0.0023121340238149,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.,7,"average,centroid,complete,median,single,ward,weighted",1,1,161.9197570236886,161.9197570236886,162.2405365289648,0.4906659303748139,1.2966576183127612,1,neighbor_joining,MAD rooting requires positive distances between leaf pairs.,21,0.0,0.9939024390243902,0.0,2.1379548930697276,0.0,0.0026706402197992,1.0,0,0,0.637371390388745,0.637371390388745,0.9746359024261408,,,0.5958123545433612,0.7573753436964146,0.5958123545433612,0.7573753436964146,0.0297630429772579,0.3360094164430761,0.3360094164430761,,,,,,,,,,,,,,,0,1,1.0,,,still_edge_blocked_or_no_replay_trace,326,83,42.0,"nonmonotone_specific_subtree,stable_core_subtree_missing_in_nonmonotone",298,854e1e1b5a6a6f78,83,0.5,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+71)","S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,...(+71)",11.289484637031995,1.5291491226672282,0.5958123545433612,,nonmonotone_or_selected_root_branch_time_instability,selected_tree_edge_null_first; sibling_null_is_not_reached_until edge_support_is_calibrated_for_selected_topology_and_nnls_time,"Estimate an edge null over the full selected pipeline (adaptive KNN diffusion, topology method, NNLS branch lengths, selected root)."
tree_topology_difference_diagnosis/v1,gauss_single_outlier_4c_continuous,29,continuous_gaussian_outlier_examples,5,161,40,7,1,0,7,0,7,1,0.0,0.0,0.0796019900497512,0.4555071735271706,0.4555071735271706,,,0.2757756843754561,0.098506961667433,0.4555071735271706,0,0,0,2.152877868778157e-08,9.221295113012972e-05,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.,7,"average,centroid,complete,median,single,ward,weighted",1,1,156.42283978439613,156.42283978439613,156.6557628416238,0.4888213743262379,1.2489815180208776,1,neighbor_joining,MAD rooting requires positive distances between leaf pairs.,21,0.0,0.9937106918238994,0.0,3.1924585772668572,0.0,0.0019512585159139,1.0,0,0,0.4555071735271706,0.4555071735271706,0.6284216332068348,,,0.2757756843754561,0.098506961667433,0.2757756843754561,0.098506961667433,0.0710307303508764,0.0727568663289626,0.0710307303508764,,,,,,,,,,,,,,,0,1,1.0,,,still_edge_blocked_or_no_replay_trace,316,80,41.0,"nonmonotone_specific_subtree,stable_core_subtree_missing_in_nonmonotone",288,ff4f077a1f967ba7,80,0.4968944099378882,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+69)","S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,...(+68)",1.0243012562247278,1.379608642254127,0.098506961667433,,nonmonotone_linkage_topology_instability,selected_tree_edge_null_first; sibling_null_is_not_reached_until edge_support_is_calibrated_for_selected_topology_and_nnls_time,"Estimate an edge null over the full selected pipeline (adaptive KNN diffusion, topology method, NNLS branch lengths, selected root)."
tree_topology_difference_diagnosis/v1,dim_consolidated_4c_72f_continuous,24,continuous_dimensional_gaussian_examples,4,160,72,7,1,0,7,0,7,1,0.0,0.0,0.1,0.1736620608744417,0.5156611651102827,,,0.3232799834594276,0.1208222680669622,0.1736620608744417,0,0,0,0.0002077656993309,0.0688148667162932,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.,7,"average,centroid,complete,median,single,ward,weighted",1,1,145.77143711754962,145.238350994396,145.77143711754962,0.4584007456526717,2.0987893075904336,1,neighbor_joining,MAD rooting requires positive distances between leaf pairs.,21,0.0,0.9936708860759492,0.0,2.9067060074132236,0.0,0.0039296238188191,1.0,0,0,0.1736620608744417,0.5156611651102827,0.5156611651102827,,,0.3232799834594276,0.1208222680669622,0.3232799834594276,0.1208222680669622,0.058968158800328,0.2715303518714276,0.2715303518714276,,,,,,,,,,,,,,,0,1,1.0,,,still_edge_blocked_or_no_replay_trace,314,80,41.0,"nonmonotone_specific_subtree,stable_core_subtree_missing_in_nonmonotone",290,b8743864dd990057,80,0.5,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+68)","S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,...(+68)",4.604694421456436,2.969336897844991,0.1208222680669622,,nonmonotone_linkage_topology_instability,selected_tree_edge_null_first; sibling_null_is_not_reached_until edge_support_is_calibrated_for_selected_topology_and_nnls_time,"Estimate an edge null over the full selected pipeline (adaptive KNN diffusion, topology method, NNLS branch lengths, selected root)."
tree_topology_difference_diagnosis/v1,dim_consolidated_4c_24f_continuous,23,continuous_dimensional_gaussian_examples,4,160,24,7,1,0,7,0,7,1,0.0,0.0,0.1,0.0807087970718598,0.8375045126629709,,,0.2265460166606106,0.4543179257759401,0.0807087970718598,0,0,0,3.682527389093285e-06,0.0001166734684735,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.,7,"average,centroid,complete,median,single,ward,weighted",1,1,121.43428863140328,121.43428863140328,121.84080066450952,0.3818688321742242,1.571206421619943,1,neighbor_joining,MAD rooting requires positive distances between leaf pairs.,21,0.0,0.9936708860759492,0.0,4.410814784566565,0.0,0.0063288625775939,1.0,0,0,0.0807087970718598,0.8375045126629709,0.8375045126629709,,,0.2265460166606106,0.4543179257759401,0.2265460166606106,0.4543179257759401,0.0621226223235126,0.177049482535088,0.177049482535088,,,,,,,,,,,,,,,0,1,1.0,,,still_edge_blocked_or_no_replay_trace,314,80,41.0,"nonmonotone_specific_subtree,stable_core_subtree_missing_in_nonmonotone",290,0d45213af3711e1b,80,0.5,"centroid,median","average,complete,single,ward,weighted",nonmonotone_specific_subtree,"S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,...(+68)","S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+68)",2.850000143475545,10.376867739922965,0.2265460166606106,,nonmonotone_linkage_topology_instability,selected_tree_edge_null_first; sibling_null_is_not_reached_until edge_support_is_calibrated_for_selected_topology_and_nnls_time,"Estimate an edge null over the full selected pipeline (adaptive KNN diffusion, topology method, NNLS branch lengths, selected root)."
tree_topology_difference_diagnosis/v1,phylo_brownian_null_16taxa,119,method_proof,16,160,100,7,1,0,7,0,7,1,0.0,0.0,0.0073529411764705,0.0334549903725075,0.0334549903725075,,,0.181897749647603,0.081796443586528,0.0334549903725075,0,0,0,0.000138336561183,0.0024353015004124,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.,7,"average,centroid,complete,median,single,ward,weighted",1,1,126.80191962130804,126.80191962130804,126.8333878930187,0.3987481749097737,1.3390751124807825,1,neighbor_joining,MAD rooting requires positive distances between leaf pairs.,21,0.0,0.9936708860759492,0.0,4.95559599787068,0.0,0.0021396825790773,1.0,0,0,0.0334549903725075,0.0334549903725075,0.6845384905545917,,,0.181897749647603,0.081796443586528,0.181897749647603,0.081796443586528,0.0285288980642341,0.0590116597468371,0.0590116597468371,,,,,,,,,,,,,,,0,1,1.0,,,still_edge_blocked_or_no_replay_trace,314,80,41.0,"nonmonotone_specific_subtree,stable_core_subtree_missing_in_nonmonotone",290,377e189c1eefd63c,80,0.5,"centroid,median","average,complete,single,ward,weighted",nonmonotone_specific_subtree,"T10_S100,T10_S101,T10_S102,T10_S103,T10_S104,T10_S105,T10_S106,T10_S107,T10_S108,T10_S109,T11_S110,T11_S111,...(+68)","T0_S0,T0_S1,T0_S2,T0_S3,T0_S4,T0_S5,T0_S6,T0_S7,T0_S8,T0_S9,T1_S10,T1_S11,...(+68)",2.068487174442198,20.461476238149775,0.081796443586528,,nonmonotone_linkage_topology_instability,selected_tree_edge_null_first; sibling_null_is_not_reached_until edge_support_is_calibrated_for_selected_topology_and_nnls_time,"Estimate an edge null over the full selected pipeline (adaptive KNN diffusion, topology method, NNLS branch lengths, selected root)."
tree_topology_difference_diagnosis/v1,mp_spike_above_bbp_continuous,114,method_proof,2,120,300,7,1,0,7,0,7,1,0.0,0.0,0.3333333333333333,0.5678578445064908,0.5678578445064908,,,0.9999999985664888,1.0,0.5678578445064908,0,0,0,0.0354917467511944,1.0,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.,7,"average,centroid,complete,median,single,ward,weighted",1,1,119.44571190065938,119.44571190065938,119.56662020702828,0.5018727390784007,1.249155693131286,1,neighbor_joining,MAD rooting requires positive distances between leaf pairs.,21,0.0,0.9915254237288136,0.0,1.4666961242062877,0.0,0.001712071421925,1.0,0,0,0.5678578445064908,0.5678578445064908,0.6570123098155631,,,0.9999999985664888,1.0,0.9999999985664888,1.0,0.0442345138398327,0.4599832878750382,0.4599832878750382,,,,,,,,,,,,,,,0,1,1.0,,,still_edge_blocked_or_no_replay_trace,234,60,31.0,"nonmonotone_specific_subtree,stable_core_subtree_missing_in_nonmonotone",218,d9209dcbb49bacff,60,0.5,"centroid,median","average,complete,single,ward,weighted",nonmonotone_specific_subtree,"S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,...(+48)","S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+48)",10.39874179561635,1.157001380136879,0.9999999985664888,,nonmonotone_or_selected_root_branch_time_instability,selected_tree_edge_null_first; sibling_null_is_not_reached_until edge_support_is_calibrated_for_selected_topology_and_nnls_time,"Estimate an edge null over the full selected pipeline (adaptive KNN diffusion, topology method, NNLS branch lengths, selected root)."
tree_topology_difference_diagnosis/v1,gauss_clear_medium_continuous,13,continuous_gaussian_examples,4,60,40,7,1,0,7,0,7,1,0.0,0.0,0.1,0.4211575721516045,0.5320956729358675,,,0.2631284435699474,0.1600215136362699,0.4211575721516045,0,0,0,0.0061537923571821,0.1600215136362699,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.,7,"average,centroid,complete,median,single,ward,weighted",1,1,58.0623130501486,58.0623130501486,58.89906161112967,0.4920535004249882,1.1155422088234896,1,neighbor_joining,MAD rooting requires positive distances between leaf pairs.,21,0.0,0.9827586206896552,0.0,2.493750030906315,0.0,0.0175195177842037,1.0,0,0,0.4211575721516045,0.5320956729358675,0.5320956729358675,,,0.2631284435699474,0.1600215136362699,0.2631284435699474,0.1600215136362699,0.0057153295672716,0.4510554251272612,0.4510554251272612,,,,,,,,,,,,,,,0,1,1.0,,,still_edge_blocked_or_no_replay_trace,114,30,16.0,"nonmonotone_specific_subtree,stable_core_subtree_missing_in_nonmonotone",110,7c27d802fd49ec0f,30,0.5,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+18)","S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,...(+18)",78.92028269204208,1.2634123380888151,0.1600215136362699,,nonmonotone_or_selected_root_branch_time_instability,selected_tree_edge_null_first; sibling_null_is_not_reached_until edge_support_is_calibrated_for_selected_topology_and_nnls_time,"Estimate an edge null over the full selected pipeline (adaptive KNN diffusion, topology method, NNLS branch lengths, selected root)."
tree_topology_difference_diagnosis/v1,gauss_moderate_3c_continuous,14,continuous_gaussian_examples,3,45,30,7,1,0,7,0,7,1,0.0,0.0,0.1666666666666666,0.621264137217943,0.621264137217943,,,0.5311938363092268,0.3014702793254922,0.621264137217943,0,0,0,0.0657711149307724,0.2053506135054185,0,0,0,0,0,,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,edge_gate_closed_global,No corrected child-parent edge test crosses edge alpha; split prerequisites close at root in every ok topology.,7,"average,centroid,complete,median,single,ward,weighted",1,1,44.091847681340354,44.091847681340354,44.10771617791099,0.5010437236515949,1.348293749621311,1,neighbor_joining,MAD rooting requires positive distances between leaf pairs.,21,0.0,0.9767441860465116,0.0,1.506639756780456,0.0,0.0005077527750508,1.0,0,0,0.621264137217943,0.621264137217943,0.6341516154139265,,,0.5311938363092268,0.3014702793254922,0.5311938363092268,0.3014702793254922,0.000975637487469,0.6086778708608883,0.6086778708608883,,,,,,,,,,,,,,,0,1,1.0,,,still_edge_blocked_or_no_replay_trace,84,22,12.0,"nonmonotone_specific_subtree,stable_core_subtree_missing_in_nonmonotone",80,59e3a685dae94c50,22,0.4888888888888889,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+10)","S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,...(+11)",623.8770841410791,1.0207439596524825,0.3014702793254922,,nonmonotone_or_selected_root_branch_time_instability,selected_tree_edge_null_first; sibling_null_is_not_reached_until edge_support_is_calibrated_for_selected_topology_and_nnls_time,"Estimate an edge null over the full selected pipeline (adaptive KNN diffusion, topology method, NNLS branch lengths, selected root)."
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,4,80,2000,7,1,5,2,0,2,1,0.0,0.0,0.1,8.828289184319983e-16,8.828289184319983e-16,0.3268286082538727,0.3268286082538727,0.132661963344034,0.01075170684615,4.6086153318100066e-70,65,13,0,0.0159845775146006,0.008524119717614,77,35,7,0,0,0.0819282189061434,neighbor_joining,neighbor_joining: MAD rooting requires positive distances between leaf pairs.,sibling_gate_closed_after_edge_open,"At least one topology opens edge traversal, but no node has active sibling-divergence support; live traversal returns root boundary.",7,"average,centroid,complete,median,single,ward,weighted",1,1,79.9061464691616,79.90601523925889,79.9061464691616,0.5057351042352,1.0763626956537116,1,neighbor_joining,MAD rooting requires positive distances between leaf pairs.,21,0.0,0.9871794871794872,0.0,1.1253296272880808,0.0,2.276799083487085e-05,1.0,5,0,8.828289184319983e-16,8.828289184319983e-16,0.0077012999969118,0.3268286082538727,0.3268286082538727,0.132661963344034,0.01075170684615,0.132661963344034,0.01075170684615,4.689705859453883e-06,0.534531831802612,0.534531831802612,7.0,5.0,5.0,0.3268286082538727,0.132661963344034,0.01075170684615,0.132661963344034,0.01075170684615,9.379411718907766e-06,1.069063663605224,0.1,0.0006551541523124,3.0,0.975,0,1,1.0,0.04,,no_split_under_policy,154,40,21.0,"nonmonotone_specific_subtree,stable_core_subtree_missing_in_nonmonotone",146,712d1766ff9aa177,40,0.5,"centroid,median","average,complete,single,ward,weighted",nonmonotone_specific_subtree,"S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,...(+28)","S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+28)",113979.82044546783,8723434219384.385,0.01075170684615,30.397834774569247,nonmonotone_or_selected_root_branch_time_instability,active_sibling_support_weak; require selected_hierarchy null calibration before any adaptive alpha opening,"Keep fail-closed until active sibling p-values, diagnostic p-values, and cluster-structure guards agree under a selected-hierarchy null."
