diagnosis_schema_version,case_id,test_case,case_category,rooted_subtree_id,subtree_leaf_count,complement_leaf_count,smaller_side_leaf_count,smaller_side_fraction,support_count,method_count,support_fraction,is_unstable,supporting_methods,absent_methods,contrast_type,median_supporting_branch_length,min_supporting_branch_length,max_supporting_branch_length,subtree_leaf_preview,complement_leaf_preview
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,712d1766ff9aa177,40,40,40,0.5,2,7,0.2857142857142857,True,"centroid,median","average,complete,single,ward,weighted",nonmonotone_specific_subtree,1.83109149564e-06,1.83109149564e-06,1.83109149564e-06,"S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,...(+28)","S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+28)"
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,ac2cde22f4ce1634,40,40,40,0.5,5,7,0.7142857142857143,True,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,4.17292587042e-10,4.17292587042e-10,4.17292587042e-10,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+28)","S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,...(+28)"
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,ff18cac6c164f863,41,39,39,0.4875,2,7,0.2857142857142857,True,"centroid,median","average,complete,single,ward,weighted",nonmonotone_specific_subtree,1.32613015721e-07,1.32613015721e-07,1.32613015721e-07,"S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,...(+29)","S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+27)"
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,7563d7d382a2d348,39,41,39,0.4875,2,7,0.2857142857142857,True,"centroid,median","average,complete,single,ward,weighted",nonmonotone_specific_subtree,5.18412682989e-05,5.18412682989e-05,5.18412682989e-05,"S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,...(+27)","S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+29)"
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,817ebcb2cbd3fcaa,41,39,39,0.4875,5,7,0.7142857142857143,True,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,1.66707727198e-06,1.66707727198e-06,1.66707727198e-06,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+29)","S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,...(+27)"
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,fd6c281f1eef4490,39,41,39,0.4875,5,7,0.7142857142857143,True,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,1.12559860127e-08,1.12559860127e-08,1.12559860127e-08,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+27)","S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,...(+29)"
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,69d26b5d4dac4a52,42,38,38,0.475,2,7,0.2857142857142857,True,"centroid,median","average,complete,single,ward,weighted",nonmonotone_specific_subtree,8.59283375543e-08,8.59283375543e-08,8.59283375543e-08,"S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,...(+30)","S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+26)"
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,9bd457221e5c7652,38,42,38,0.475,2,7,0.2857142857142857,True,"centroid,median","average,complete,single,ward,weighted",nonmonotone_specific_subtree,0.00071179305485,0.00071179305485,0.00071179305485,"S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,...(+26)","S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+30)"
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,00f411f8b275fb4b,42,38,38,0.475,5,7,0.7142857142857143,True,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,0.000801814580755,0.000801814580755,0.000801814580755,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+30)","S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,...(+26)"
tree_topology_difference_diagnosis/v1,cont_lowrank_pggn_shrinkage,117,method_proof,3c4dd644953079ae,38,42,38,0.475,5,7,0.7142857142857143,True,"average,complete,single,ward,weighted","centroid,median",stable_core_subtree_missing_in_nonmonotone,5.51179625982e-09,5.51179625982e-09,5.51179625982e-09,"S0,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,...(+26)","S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,...(+30)"
