path,result_kind,dataset_slug,expected_prefix,prefix_matches,preferred_base,under_preferred_base,has_pipeline_manifest,has_connected_manifest,has_subspaces,has_rankings,has_method_pdfs
results/analyses/allgo_new_interactome_current_adaptive_diffusion_subspace_tree_20260618_175237,current_adaptive_diffusion_subspace_tree,allgo_new_interactome,allgo_new_interactome_current_adaptive_diffusion_subspace_tree_,True,results/analyses,True,False,True,True,True,True
raw/assets/benchmark-results/julia_allGO_new_current_adaptive_diffusion_subspace_tree_20260618_163039,current_adaptive_diffusion_subspace_tree,julia_allgo_new,julia_allgo_new_current_adaptive_diffusion_subspace_tree_,False,results/analyses,False,False,False,True,True,False
results/analyses/julia_allGO_new_current_adaptive_diffusion_subspace_tree_20260618_163811,current_adaptive_diffusion_subspace_tree,julia_allgo_new,julia_allgo_new_current_adaptive_diffusion_subspace_tree_,False,results/analyses,True,False,True,True,True,True
raw/assets/benchmark-results/julia_allGO_new_feature_matrix_quality_20260618,feature_matrix_quality,julia_allgo_new,julia_allgo_new_feature_matrix_quality_,False,raw/assets/benchmark-results,True,False,False,False,False,False
results/analyses/allgo_new_interactome_go_annotation_pipeline_dryrun_20260619,go_annotation_pipeline,allgo_new_interactome,allgo_new_interactome_go_annotation_pipeline_,True,results/analyses,True,True,False,False,False,False
results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_145252,go_annotation_pipeline,aml_michel_reactome_msigdb,aml_michel_reactome_msigdb_go_annotation_pipeline_,True,results/analyses,True,True,False,False,False,True
results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556,go_annotation_pipeline,aml_michel_reactome_msigdb,aml_michel_reactome_msigdb_go_annotation_pipeline_,True,results/analyses,True,False,False,False,False,False
results/analyses/gocc_iker_go_annotation_pipeline_20260619_144917,go_annotation_pipeline,gocc_iker,gocc_iker_go_annotation_pipeline_,True,results/analyses,True,True,False,False,False,True
results/analyses/julia_allGO_new_go_annotation_pipeline_dryrun_20260619,go_annotation_pipeline,julia_allgo_new,julia_allgo_new_go_annotation_pipeline_,False,results/analyses,True,True,False,False,False,False
raw/assets/benchmark-results/julia_allGO_new_go_ic_tree_plots_20260618,go_ic_tree_plots,julia_allgo_new,julia_allgo_new_go_ic_tree_plots_,False,raw/assets/benchmark-results,True,False,False,False,False,True
raw/assets/benchmark-results/julia_allGO_new_method_version_tree_matrix_20260618,method_version_tree_matrix,julia_allgo_new,julia_allgo_new_method_version_tree_matrix_,False,raw/assets/benchmark-results,True,False,False,False,False,False
raw/assets/benchmark-results/julia_allGO_new_method_version_tree_matrix_core_20260618,method_version_tree_matrix,julia_allgo_new,julia_allgo_new_method_version_tree_matrix_,False,raw/assets/benchmark-results,True,False,False,False,False,False
raw/assets/benchmark-results/julia_allGO_new_method_version_tree_matrix_current_whole_20260618,method_version_tree_matrix,julia_allgo_new,julia_allgo_new_method_version_tree_matrix_,False,raw/assets/benchmark-results,True,False,False,False,False,False
raw/assets/benchmark-results/julia_allGO_new_method_version_tree_matrix_selected_plus_current_20260618,method_version_tree_matrix,julia_allgo_new,julia_allgo_new_method_version_tree_matrix_,False,raw/assets/benchmark-results,True,False,False,False,False,True
raw/assets/benchmark-results/julia_allGO_new_method_version_tree_matrix_tfidf_selected_20260618,method_version_tree_matrix,julia_allgo_new,julia_allgo_new_method_version_tree_matrix_,False,raw/assets/benchmark-results,True,False,False,False,False,False
raw/assets/benchmark-results/julia_allGO_new_c2ef_validate_cosine_subspace_split_legacy_20260618,unclassified,julia_allgo_new,julia_allgo_new_unclassified_,False,raw/assets/benchmark-results,True,False,False,False,False,False
