duplicate_group_id,n_members,members
170,15,Regulation of Apoptosis;Diseases of Hemostasis;Defective Factor IX Causes Hemophilia B;Ubiquitin-dependent Degradation of Cyclin D;NOTCH2 Activation and Transmission of Signal to the Nucleus;Intrinsic Pathway of Fibrin Clot Formation;Glycogen Metabolism;Asymmetric Localization of PCP Proteins;Defects of Contact Activation System (CAS) and Kallikrein Kinin System (KKS);AUF1 (hnRNP D0) Binds and Destabilizes mRNA;Defective Factor VIII Causes Hemophilia A;Glycogen Breakdown (Glycogenolysis);Regulation of Activated PAK-2p34 by Proteasome Mediated Degradation;PCP CE Pathway;Hedgehog Ligand Biogenesis
16,14,IGF1R Signaling Cascade;Downstream Signaling of Activated FGFR1;Downstream Signaling of Activated FGFR2;Signaling by FGFR4 in Disease;Insulin Receptor Signalling Cascade;Downstream Signaling of Activated FGFR3;IRS-mediated Signalling;DAP12 Signaling;Signaling by Erythropoietin;IRS-related Events Triggered by IGF1R;Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R);Signaling by EGFR;Signaling by PDGF;Downstream Signaling of Activated FGFR4
93,14,"ADP Signalling Through P2Y Purinoceptor 1;Presynaptic Function of Kainate Receptors;G Beta Gamma Signalling Through PLC Beta;G Beta Gamma Signalling Through CDC42;Thromboxane Signalling Through TP Receptor;Activation of G Protein Gated Potassium Channels;Prostacyclin Signalling Through Prostacyclin Receptor;Adrenaline,noradrenaline Inhibits Insulin Secretion;G-protein Activation;Activation of Kainate Receptors Upon Glutamate Binding;ADP Signalling Through P2Y Purinoceptor 12;G Protein Gated Potassium Channels;Inhibition of Voltage Gated Ca2+ Channels via Gbeta Gamma Subunits;G Beta Gamma Signalling Through BTK"
91,11,Elevation of Cytosolic Ca2+ Levels;Role of Second Messengers in Netrin-1 Signaling;Lysine Catabolism;PLC Beta Mediated Events;TRP Channels;Insertion of Tail-Anchored Proteins Into the Endoplasmic Reticulum Membrane;Effects of PIP2 Hydrolysis;Cardiac Conduction;Ion Channel Transport;Platelet Calcium Homeostasis;Glyoxylate Metabolism and Glycine Degradation
120,11,PKA-mediated Phosphorylation of CREB;Ca-dependent Events;CaM Pathway;Calmodulin Induced Events;PKA Activation in Glucagon Signalling;Pyrimidine Catabolism;ADORA2B Mediated Anti-Inflammatory Cytokines Production;PKA Activation;GPER1 Signaling;Vasopressin Regulates Renal Water Homeostasis via Aquaporins;Nucleotide Catabolism
152,10,"Serotonin Neurotransmitter Release Cycle;Alpha-oxidation of Phytanate;Norepinephrine Neurotransmitter Release Cycle;Caspase Activation via Dependence Receptors in the Absence of Ligand;Neurotransmitter Release Cycle;CRMPs in Sema3A Signaling;Glutamate Neurotransmitter Release Cycle;Acetylcholine Neurotransmitter Release Cycle;GABA Synthesis, Release, Reuptake and Degradation;Dopamine Neurotransmitter Release Cycle"
542,10,Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors;Acetylcholine Binding and Downstream Events;Nef Mediated Downregulation of MHC Class I Complex Cell Surface Expression;Presynaptic Nicotinic Acetylcholine Receptors;Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell;Postsynaptic Nicotinic Acetylcholine Receptors;Tachykinin Receptors Bind Tachykinins;Endosomal Vacuolar Pathway;Highly Calcium Permeable Nicotinic Acetylcholine Receptors;Highly Sodium Permeable Postsynaptic Acetylcholine Nicotinic Receptors
124,9,LDL Clearance;Plasma Lipoprotein Clearance;Scavenging by Class B Receptors;Chylomicron Clearance;Plasma Lipoprotein Remodeling;TBC RABGAPs;Histidine Catabolism;HDL Remodeling;Chylomicron Remodeling
42,8,VLDLR Internalisation and Degradation;Glycogen Synthesis;Myoclonic Epilepsy of Lafora;Glycogen Storage Diseases;Maturation of Protein E 9694493;Maturation of Protein E 9683683;Modulation by Mtb of Host Immune System;Prevention of Phagosomal-Lysosomal Fusion
626,8,Selenocysteine Synthesis;SRP-dependent Cotranslational Protein Targeting to Membrane;Nonsense Mediated Decay (NMD) Enhanced by the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) Independent of the Exon Junction Complex (EJC);Eukaryotic Translation Termination;Nonsense-Mediated Decay (NMD);Selenoamino Acid Metabolism;Viral mRNA Translation
