metric,value
go_term_entropy_bits_mean,0.3601029394214712
go_term_entropy_bits_median,0.32744491915447627
go_term_entropy_bits_p25,0.14144054254182067
go_term_entropy_bits_p75,0.5482251174503202
go_term_entropy_bits_p95,0.7950402793845223
go_term_entropy_bits_max,0.999871756640849
go_terms_entropy_le_0_05,0.0
go_terms_entropy_le_0_10,191.0
go_terms_entropy_le_0_20,527.0
go_terms_entropy_ge_0_50,496.0
go_terms_entropy_ge_0_80,82.0
total_go_marginal_entropy_bits,599.5713941367495
mean_go_marginal_entropy_bits_per_term,0.3601029394214712
matrix_density_entropy_bits_per_cell,0.4176352836510223
gene_row_entropy_bits_mean,0.38036424677099007
gene_row_entropy_bits_median,0.3713910556514417
gene_row_entropy_bits_p95,0.7452229367773219
gene_row_entropy_bits_max,0.8742040512572522
annotation_entry_entropy_across_genes_bits,6.827105876816791
annotation_entry_effective_genes,113.54385953512643
annotation_entry_entropy_across_go_terms_bits,10.09326088419848
annotation_entry_effective_go_terms,1092.3813582859964
