min_support,max_prevalence,max_support,kept_terms,removed_terms,kept_term_fraction,row_zero_count_after_filter,row_active_terms_median_after_filter,row_active_terms_p05_after_filter,row_active_terms_p95_after_filter,density_after_filter
1,1.0,150,1665,0,1.0,0,119.0,17.45,352.9499999999998,0.08444044044044044
1,0.75,112,1665,0,1.0,0,119.0,17.45,352.9499999999998,0.08444044044044044
1,0.5,75,1656,9,0.9945945945945946,0,112.5,16.0,345.7499999999999,0.08190418679549115
1,0.25,37,1593,72,0.9567567567567568,0,89.0,12.0,317.64999999999964,0.07195647625026157
2,1.0,150,1474,191,0.8852852852852853,0,117.5,17.45,352.39999999999986,0.09451831750339212
2,0.75,112,1474,191,0.8852852852852853,0,117.5,17.45,352.39999999999986,0.09451831750339212
2,0.5,75,1465,200,0.8798798798798799,0,112.5,16.0,344.7499999999999,0.09171331058020478
2,0.25,37,1402,263,0.842042042042042,0,89.0,12.0,315.99999999999966,0.08085116500237756
3,1.0,150,1330,335,0.7987987987987988,0,115.0,14.8,350.49999999999983,0.10330827067669172
3,0.75,112,1330,335,0.7987987987987988,0,115.0,14.8,350.49999999999983,0.10330827067669172
3,0.5,75,1321,344,0.7933933933933934,0,109.5,13.8,343.2999999999999,0.10025738077214232
3,0.25,37,1258,407,0.7555555555555555,0,87.0,10.350000000000001,311.99999999999966,0.08857975622681505
5,1.0,150,1138,527,0.6834834834834835,0,109.5,10.9,338.49999999999983,0.11687756297598126
5,0.75,112,1138,527,0.6834834834834835,0,109.5,10.9,338.49999999999983,0.11687756297598126
5,0.5,75,1129,536,0.6780780780780781,0,106.0,10.45,332.04999999999984,0.11341600236197225
5,0.25,37,1066,599,0.6402402402402403,1,83.5,8.0,303.39999999999986,0.10041275797373359
10,1.0,150,795,870,0.4774774774774775,1,95.5,9.350000000000001,305.39999999999986,0.14766457023060797
10,0.75,112,795,870,0.4774774774774775,1,95.5,9.350000000000001,305.39999999999986,0.14766457023060797
10,0.5,75,786,879,0.4720720720720721,1,91.0,8.9,296.39999999999986,0.14304495335029685
10,0.25,37,723,942,0.43423423423423424,2,69.0,5.45,267.54999999999995,0.12645458736745044
20,1.0,150,387,1278,0.23243243243243245,2,73.5,6.0,166.84999999999988,0.20406546080964685
20,0.75,112,387,1278,0.23243243243243245,2,73.5,6.0,166.84999999999988,0.20406546080964685
20,0.5,75,378,1287,0.22702702702702704,2,68.0,4.9,159.64999999999995,0.19580246913580246
20,0.25,37,315,1350,0.1891891891891892,4,46.0,3.0,140.54999999999998,0.16827513227513227
50,1.0,150,39,1626,0.023423423423423424,6,17.0,1.0,34.0,0.42735042735042733
50,0.75,112,39,1626,0.023423423423423424,6,17.0,1.0,34.0,0.42735042735042733
50,0.5,75,30,1635,0.018018018018018018,10,11.0,0.0,25.0,0.39022222222222225
50,0.25,37,0,1665,0.0,150,0.0,0.0,0.0,0.0
