gene,axis_1,axis_2,active_terms
SRSF2,0.7204214719963004,0.33280211275861676,21
RARA,8.350634776246745,4.775278057371185,212
SMC3,5.682232274978937,4.427771245683112,166
DEK,5.279855676150865,3.7211749491263606,145
TET2,2.9161217886120054,1.5043738526444912,66
PML,14.745842202346978,5.861988175685332,457
TP53,5.131546595501571,2.2328141021481582,117
SMC1A,7.283845997760636,4.85432844410907,225
FLT3,9.595070569174654,-11.425924824030632,285
RUNX1,9.105623928783267,5.612530619300466,247
IDH1,1.84648046322388,1.1321816308108261,79
SF3B1,3.038767339286857,1.8457444777309164,123
WT1,0.40333580667360136,0.1448348666584179,8
NRAS,7.924615683457601,-9.301608826288494,255
KMT2A,7.770897347139345,5.656505118605338,200
BCL2,4.209557182103782,0.7698911589033093,146
IDH2,0.16910600511616122,0.0891671640121313,19
EZH2,4.481272784897636,3.209982402624526,94
ZRSR2,0.35190705807624956,0.1571409061904348,21
RAD21,3.9261354348906257,3.259812611716807,119
KRAS,9.869754757729881,-9.265231065495161,325
DNMT3A,7.1311837628816575,4.765501716755666,180
ASXL1,4.312868736263229,2.3361487760301523,88
U2AF1,1.1763372833136887,0.46758242192778765,41
GATA2,1.0107344023677955,0.47788655474017444,36
CEBPA,12.093264854161365,7.55784188386262,348
NUP214,3.3554688170878317,2.069331444851937,130
KIT,10.93586072089776,-12.545429599968132,346
PTPN11,10.640364801441638,-11.883705642553497,317
STAG2,3.452778534338356,2.4798118555118354,116
MECOM,6.914697548476727,4.90372711595613,194
NPM1,2.0748407074549164,0.7329270137002344,75
WAPL,3.330508696889248,2.737845088252297,101
SMC1B,4.688518773660964,3.880956249552414,133
CDCA5,2.921189417042111,2.210835573071494,103
SGO1,4.926127197265859,1.142520426519645,141
REC8,4.512763219404489,2.8488356742707057,135
MXD4,1.7854225168269346,1.3912301686973665,45
STAG3,5.683295232984559,4.429134266898165,167
NIPBL,4.02873108011818,3.608037710628327,124
SPI1,9.979010898335662,5.73196156834589,279
GPR31,9.67440469443773,-9.401108249866695,325
STAG1,1.4068434266533316,1.0440480864100086,57
NXF2,3.2740112477359022,2.0085671484430216,119
CARNMT1,0.27863030511135245,0.25497956716614084,29
ELF4,8.583614644820402,4.7463116995713515,231
KRTAP10-3,0.08437706464363759,-0.007953314999273793,3
AIRE,3.073508595770886,2.2384594904131863,105
ZNF513,2.7119059844576348,2.063788794368476,57
SLA,9.474803422565541,-8.365137957721828,276
ZRSR1,1.0395969475166142,0.1275070599147785,61
SRRM1,1.4918157044778912,0.5116607590721717,72
ANKRD11,4.425674749093789,3.6237013017610424,119
CIRSR,0.13154848860879462,0.1227625062583671,11
ZNF207,11.970808717674906,7.208264305881415,357
U2AF1L4,0.5604043117343738,0.43215359194104935,19
USP37,8.577144143909628,5.739272115131986,270
FMO3,4.629692354802112,-6.277876184532604,159
ADAR,3.4391869324636355,2.244900081162658,121
SH2B3,9.22217591761275,-11.022871568229467,275
SSU72,1.837472137309913,1.405931286533338,48
SOCS1,11.913607796096361,-11.194509529228474,380
PAF1,4.408652795300981,2.6047273939537536,104
USP13,5.089310571443208,2.47558205630352,149
TEC,12.272605161964627,-11.31980882342217,381
RGPD2,2.175588407086948,1.070179786620594,105
WAPAL,3.1578700444074217,2.601512974754611,97
KAT6A,4.910862816698832,3.479202364483265,109
HLF,4.272637578244223,1.644045730207496,111
HRK,3.350682136251623,0.17013037916772353,115
BNIPL,4.618954449808093,1.1093985762931755,158
GRB10,11.196031525325047,-10.360903574835117,328
MED1,6.999935086644523,4.99318308027552,226
NUP93,3.0169876920453063,1.8071799605973695,106
PDS5B,1.5544013554819536,1.3505909618000542,59
CBL,14.890687420178525,-11.806580417281635,490
OVCA2,10.047158293236103,-10.952876064175921,303
PDS5A,2.5468678524454638,2.0762861961760866,87
RBM15,3.1723624621232003,2.375286130628286,104
TFEC,0.969756234478909,-0.040100340680683494,46
C19ORF43,2.547410516593306,1.576026044536454,94
ZFPM1,1.5397805774239024,0.812163965907039,47
RADIL,6.945963619067778,-8.75662582327991,203
HIST1H3A,4.298375069077923,3.680815524486109,122
ZRSR2P1,0.4017385929146451,0.3217784423563066,19
PIK3CG,8.779762351914224,-11.036160447194158,266
IRX4,3.9105553544427227,3.1250189707358054,106
CITED1,5.955333211483392,2.6964377661644097,142
GPATCH11,0.477638105001488,0.10515930968504476,23
PPP4R3A,1.0038055719205985,0.1307368422576872,39
SUV39H1,3.354683436339377,2.6475007072941037,67
KITLG,5.243293165995938,-6.4343610140583225,147
PECAM1,3.911967125261137,-4.888550648688133,125
HIST1H4A,4.445820945188904,3.886681693804118,160
AVEN,4.141597597482323,0.33583936360174,141
MAU2,1.900801972048563,1.680858443798685,64
PAWR,1.242963329463631,-0.8424469869536911,58
MATK,9.274330341656654,-11.524478034558086,278
RGL2,4.8850567374223735,-6.666936672212422,146
CDK1,15.486546329255916,2.4457595786609643,472
BCOR,5.751523126707191,4.323052185639399,123
CELA1,0.12656306718230306,0.04365360898150243,5
CSN1S1,0.018351222270475847,-0.017715345691623502,8
CBX7,4.482596219770926,3.3026882933133046,91
ZBTB5,2.84238016886798,2.264059951645617,60
PCGF5,4.107166700223667,3.1588879992966854,81
HAO2,0.04174265665505943,0.020853764461860703,6
KDM2B,6.4765727111751525,4.813796349146981,156
ZBTB7A,9.957478780120782,5.824923843835498,279
PCGF1,4.889861158409685,3.2415123615128465,109
PCGF3,3.3098000053954193,2.468736646047491,64
L3MBTL1,4.052591375103377,3.2677233311035114,105
CARD8,2.1677967223132124,1.7312785543419709,47
NACC1,1.3866161366524634,1.1340315449440057,35
PCGF2,6.469495543064724,2.5456198682974334,173
HSPA12A,1.0403998424246501,0.09583935901932074,51
MLLT1,2.337823579270359,1.835202612234036,53
ERP44,0.6254248454677522,0.11639860452701083,24
NFIC,4.744978016412172,3.4971816314669972,122
SNAPC4,0.47434199525026527,0.36702944385197833,18
MLLT3,0.9031820969304212,0.659634488858927,24
QPRT,2.4631027278480184,2.066722869834191,63
KPNA4,4.2198727387586485,2.8773046308363694,134
NFIA,6.604767207483118,4.818530088042395,181
CBX4,6.397629860081042,4.192304036754383,153
NFIX,7.441400021948719,5.393033076722418,186
SHARPIN,1.9793912871657096,-0.04800800997881978,86
RING1,6.2201291985830585,3.2286011689694516,153
C6ORF141,0.47109924111128143,0.35763377501481075,17
YAF2,7.421913805016332,3.8794479103360016,223
PPP4R1L,2.965592647753412,2.1550894392191453,112
RNF2,10.300381643221531,6.6882398427880725,286
BCL6,5.557599125722171,3.176490201739443,133
NAA10,0.13066017134741892,-0.11529388013181745,5
DCAF7,5.8646823731142295,3.030357004551319,159
RYBP,9.483960520056701,4.248124067864879,326
CBX8,2.5656759228157364,1.831581304725135,53
PIP,4.197063299419913,1.6771675146405187,137
NCAPH2,0.5543603075266798,0.4101600925596607,22
B4GALT2,2.9431487749771623,1.5978260781363598,126
SP1,13.607084798542049,7.570608142721511,403
CTBP1,8.124100198455064,5.694587875769418,193
CDC16,2.495718845097277,1.6462116289977884,77
CBX3,7.494719868669674,5.8043279862061015,176
BRAF,12.275959845575503,-6.601562558227774,364
CCDC96,1.0997240407603854,0.5043859528646171,39
CBX6,1.609911384265376,1.150340630392495,34
SKP1,6.297439829222383,3.14717141048642,190
S100P,1.1378789509575375,0.5832591979738638,46
USP7,3.0449125327418103,2.223857213108331,58
