go_term,go_id,column,support,prevalence,entropy_bits
Gene Expression (Transcription),,Gene Expression (Transcription),93,0.62,0.9580420222262995
Cellular Responses to Stimuli,,Cellular Responses to Stimuli,85,0.5666666666666667,0.9871377743721863
RNA Polymerase II Transcription,,RNA Polymerase II Transcription,85,0.5666666666666667,0.9871377743721863
SUMO E3 Ligases SUMOylate Target Proteins,,SUMO E3 Ligases SUMOylate Target Proteins,84,0.56,0.9895875212220556
SUMOylation,,SUMOylation,84,0.56,0.9895875212220556
Cellular Responses to Stress,,Cellular Responses to Stress,81,0.54,0.9953784388202257
Cell Cycle,,Cell Cycle,78,0.52,0.9988455359952018
Generic Transcription Pathway,,Generic Transcription Pathway,78,0.52,0.9988455359952018
Post-translational Protein Modification,,Post-translational Protein Modification,76,0.5066666666666667,0.999871756640849
"Cell Cycle, Mitotic",,"Cell Cycle, Mitotic",73,0.4866666666666667,0.9994869809508898
PIP3 Activates AKT Signaling,,PIP3 Activates AKT Signaling,71,0.47333333333333333,0.9979471932237238
Intracellular Signaling by Second Messengers,,Intracellular Signaling by Second Messengers,70,0.4666666666666667,0.9967916319816366
ESR-mediated Signaling,,ESR-mediated Signaling,70,0.4666666666666667,0.9967916319816366
Transcriptional Regulation by TP53,,Transcriptional Regulation by TP53,69,0.46,0.9953784388202257
Signaling by Nuclear Receptors,,Signaling by Nuclear Receptors,67,0.44666666666666666,0.9917770334127776
Regulation of TP53 Activity,,Regulation of TP53 Activity,66,0.44,0.9895875212220556
E2F Targets,,E2F Targets,65,0.43333333333333335,0.9871377743721863
SUMOylation of DNA Damage Response and Repair Proteins,,SUMOylation of DNA Damage Response and Repair Proteins,65,0.43333333333333335,0.9871377743721863
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers,,Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers,65,0.43333333333333335,0.9871377743721863
G2-M Checkpoint,,G2-M Checkpoint,62,0.41333333333333333,0.9782176659354247
Developmental Biology,,Developmental Biology,59,0.3933333333333333,0.9669170093596808
Estrogen-dependent Gene Expression,,Estrogen-dependent Gene Expression,59,0.3933333333333333,0.9669170093596808
Epigenetic Regulation of Gene Expression,,Epigenetic Regulation of Gene Expression,57,0.38,0.9580420222262995
PTEN Regulation,,PTEN Regulation,56,0.37333333333333335,0.9531971725430559
Regulation of PTEN Gene Transcription,,Regulation of PTEN Gene Transcription,55,0.36666666666666664,0.9480782435939055
M Phase,,M Phase,55,0.36666666666666664,0.9480782435939055
Transcriptional Regulation by RUNX1,,Transcriptional Regulation by RUNX1,54,0.36,0.9426831892554922
Infectious Disease,,Infectious Disease,53,0.35333333333333333,0.9370098252692078
S Phase,,S Phase,53,0.35333333333333333,0.9370098252692078
Signaling by ALK,,Signaling by ALK,53,0.35333333333333333,0.9370098252692078
Viral Infection Pathways,,Viral Infection Pathways,53,0.35333333333333333,0.9370098252692078
Chromatin Modifying Enzymes,,Chromatin Modifying Enzymes,52,0.3466666666666667,0.931055823385033
Chromatin Organization,,Chromatin Organization,52,0.3466666666666667,0.931055823385033
Deubiquitination,,Deubiquitination,51,0.34,0.9248187049730301
Transcriptional Regulation by E2F6,,Transcriptional Regulation by E2F6,51,0.34,0.9248187049730301
SARS-CoV Infections,,SARS-CoV Infections,50,0.3333333333333333,0.9182958340544896
Mitotic Prometaphase,,Mitotic Prometaphase,50,0.3333333333333333,0.9182958340544896
SUMOylation of Chromatin Organization Proteins,,SUMOylation of Chromatin Organization Proteins,50,0.3333333333333333,0.9182958340544896
SUMOylation of Transcription Cofactors,,SUMOylation of Transcription Cofactors,50,0.3333333333333333,0.9182958340544896
Cellular Senescence,,Cellular Senescence,49,0.32666666666666666,0.9114844096987045
Cytokine Signaling in Immune System,,Cytokine Signaling in Immune System,48,0.32,0.9043814577244939
Mitotic Anaphase,,Mitotic Anaphase,48,0.32,0.9043814577244939
Cell Cycle Checkpoints,,Cell Cycle Checkpoints,48,0.32,0.9043814577244939
Myc Targets V1,,Myc Targets V1,48,0.32,0.9043814577244939
Mitotic Metaphase and Anaphase,,Mitotic Metaphase and Anaphase,47,0.31333333333333335,0.8969838216377446
Transcriptional Activity of SMAD2 SMAD3 SMAD4 Heterotrimer,,Transcriptional Activity of SMAD2 SMAD3 SMAD4 Heterotrimer,47,0.31333333333333335,0.8969838216377446
Mitotic G1 Phase and G1 S Transition,,Mitotic G1 Phase and G1 S Transition,47,0.31333333333333335,0.8969838216377446
G1 S Transition,,G1 S Transition,46,0.30666666666666664,0.8892881527272397
Signaling by ALK in Cancer,,Signaling by ALK in Cancer,43,0.2866666666666667,0.8643763438484613
Transcriptional Regulation by the AP-2 (TFAP2) Family of Transcription Factors,,Transcriptional Regulation by the AP-2 (TFAP2) Family of Transcription Factors,43,0.2866666666666667,0.8643763438484613
Signaling by ALK Fusions and Activated Point Mutants,,Signaling by ALK Fusions and Activated Point Mutants,43,0.2866666666666667,0.8643763438484613
RUNX1 Interacts With Co-Factors Whose Precise Effect on RUNX1 Targets Is Not Known,,RUNX1 Interacts With Co-Factors Whose Precise Effect on RUNX1 Targets Is Not Known,43,0.2866666666666667,0.8643763438484613
Separation of Sister Chromatids,,Separation of Sister Chromatids,43,0.2866666666666667,0.8643763438484613
Resolution of Sister Chromatid Cohesion,,Resolution of Sister Chromatid Cohesion,42,0.28,0.8554508105601306
NOTCH1 Intracellular Domain Regulates Transcription,,NOTCH1 Intracellular Domain Regulates Transcription,42,0.28,0.8554508105601306
DNA Double-Strand Break Repair,,DNA Double-Strand Break Repair,41,0.2733333333333333,0.8462071998957049
Regulation of TP53 Activity Through Phosphorylation,,Regulation of TP53 Activity Through Phosphorylation,41,0.2733333333333333,0.8462071998957049
Oxidative Stress Induced Senescence,,Oxidative Stress Induced Senescence,40,0.26666666666666666,0.8366407419411672
Regulation of TP53 Activity Through Acetylation,,Regulation of TP53 Activity Through Acetylation,40,0.26666666666666666,0.8366407419411672
SMAD2 SMAD3 SMAD4 Heterotrimer Regulates Transcription,,SMAD2 SMAD3 SMAD4 Heterotrimer Regulates Transcription,40,0.26666666666666666,0.8366407419411672
Signaling by TGF-beta Receptor Complex,,Signaling by TGF-beta Receptor Complex,40,0.26666666666666666,0.8366407419411672
Metabolism of RNA,,Metabolism of RNA,40,0.26666666666666666,0.8366407419411672
Signaling by WNT,,Signaling by WNT,40,0.26666666666666666,0.8366407419411672
Apoptosis,,Apoptosis,39,0.26,0.8267463724926178
G2 M DNA Damage Checkpoint,,G2 M DNA Damage Checkpoint,39,0.26,0.8267463724926178
Signaling by TGFB Family Members,,Signaling by TGFB Family Members,39,0.26,0.8267463724926178
Signaling by NOTCH1,,Signaling by NOTCH1,39,0.26,0.8267463724926178
Signaling by NOTCH,,Signaling by NOTCH,38,0.25333333333333335,0.8165187119538282
Processing of Capped Intron-Containing Pre-mRNA,,Processing of Capped Intron-Containing Pre-mRNA,38,0.25333333333333335,0.8165187119538282
G0 and Early G1,,G0 and Early G1,38,0.25333333333333335,0.8165187119538282
SUMOylation of DNA Methylation Proteins,,SUMOylation of DNA Methylation Proteins,38,0.25333333333333335,0.8165187119538282
TCF Dependent Signaling in Response to WNT,,TCF Dependent Signaling in Response to WNT,38,0.25333333333333335,0.8165187119538282
STAT3 Nuclear Events Downstream of ALK Signaling,,STAT3 Nuclear Events Downstream of ALK Signaling,37,0.24666666666666667,0.805952041954632
Constitutive Signaling by NOTCH1 PEST Domain Mutants,,Constitutive Signaling by NOTCH1 PEST Domain Mutants,37,0.24666666666666667,0.805952041954632
Signaling by NOTCH1 in Cancer,,Signaling by NOTCH1 in Cancer,37,0.24666666666666667,0.805952041954632
Interferon Signaling,,Interferon Signaling,37,0.24666666666666667,0.805952041954632
KEAP1-NFE2L2 Pathway,,KEAP1-NFE2L2 Pathway,37,0.24666666666666667,0.805952041954632
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,37,0.24666666666666667,0.805952041954632
Signaling by NOTCH1 PEST Domain Mutants in Cancer,,Signaling by NOTCH1 PEST Domain Mutants in Cancer,37,0.24666666666666667,0.805952041954632
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,37,0.24666666666666667,0.805952041954632
Cellular Response to Chemical Stress,,Cellular Response to Chemical Stress,37,0.24666666666666667,0.805952041954632
DNA Repair,,DNA Repair,37,0.24666666666666667,0.805952041954632
Antiviral Mechanism by IFN-stimulated Genes,,Antiviral Mechanism by IFN-stimulated Genes,36,0.24,0.7950402793845223
Transcriptional Regulation by RUNX2,,Transcriptional Regulation by RUNX2,36,0.24,0.7950402793845223
Activation of Anterior HOX Genes in Hindbrain Development During Early Embryogenesis,,Activation of Anterior HOX Genes in Hindbrain Development During Early Embryogenesis,36,0.24,0.7950402793845223
Activation of HOX Genes During Differentiation,,Activation of HOX Genes During Differentiation,36,0.24,0.7950402793845223
Signaling by Receptor Tyrosine Kinases,,Signaling by Receptor Tyrosine Kinases,35,0.23333333333333334,0.7837769474847012
FOXO-mediated Transcription,,FOXO-mediated Transcription,35,0.23333333333333334,0.7837769474847012
Degradation of Beta-Catenin by the Destruction Complex,,Degradation of Beta-Catenin by the Destruction Complex,35,0.23333333333333334,0.7837769474847012
G2 M Checkpoints,,G2 M Checkpoints,35,0.23333333333333334,0.7837769474847012
Nuclear Events Stimulated by ALK Signaling in Cancer,,Nuclear Events Stimulated by ALK Signaling in Cancer,35,0.23333333333333334,0.7837769474847012
Circadian Clock,,Circadian Clock,34,0.22666666666666666,0.7721551435804814
Cellular Response to Heat Stress,,Cellular Response to Heat Stress,34,0.22666666666666666,0.7721551435804814
HDACs Deacetylate Histones,,HDACs Deacetylate Histones,34,0.22666666666666666,0.7721551435804814
Downregulation of SMAD2 3 SMAD4 Transcriptional Activity,,Downregulation of SMAD2 3 SMAD4 Transcriptional Activity,34,0.22666666666666666,0.7721551435804814
Regulation of NFE2L2 Gene Expression,,Regulation of NFE2L2 Gene Expression,34,0.22666666666666666,0.7721551435804814
Oncogene Induced Senescence,,Oncogene Induced Senescence,33,0.22,0.7601675029619657
Positive Epigenetic Regulation of rRNA Expression,,Positive Epigenetic Regulation of rRNA Expression,33,0.22,0.7601675029619657
Transcriptional Regulation of Brown and Beige Adipocyte Differentiation by EBF2,,Transcriptional Regulation of Brown and Beige Adipocyte Differentiation by EBF2,33,0.22,0.7601675029619657
Transcriptional Regulation of Brown and Beige Adipocyte Differentiation,,Transcriptional Regulation of Brown and Beige Adipocyte Differentiation,33,0.22,0.7601675029619657
Epigenetic Regulation by WDR5-containing Histone Modifying Complexes,,Epigenetic Regulation by WDR5-containing Histone Modifying Complexes,33,0.22,0.7601675029619657
Regulation of TP53 Expression and Degradation,,Regulation of TP53 Expression and Degradation,33,0.22,0.7601675029619657
Nucleotide Excision Repair,,Nucleotide Excision Repair,33,0.22,0.7601675029619657
PI3K/AKT/mTOR  Signaling,,PI3K/AKT/mTOR  Signaling,33,0.22,0.7601675029619657
Regulation of TP53 Degradation,,Regulation of TP53 Degradation,33,0.22,0.7601675029619657
Adaptive Immune System,,Adaptive Immune System,33,0.22,0.7601675029619657
Regulation of MECP2 Expression and Activity,,Regulation of MECP2 Expression and Activity,33,0.22,0.7601675029619657
Ub-specific Processing Proteases,,Ub-specific Processing Proteases,33,0.22,0.7601675029619657
