metric,value
input_path,/Users/berksakalli/Downloads/feature_matrix_AML_michel_reactome_msigdb.tsv
n_genes,150
n_go_terms,1665
binary_values_only,True
missing_values,0
density,0.08444044044044044
total_active_entries,21089
zero_gene_rows,0
zero_go_term_columns,0
duplicate_gene_pattern_groups,0
duplicate_go_term_pattern_groups,203
terms_support_eq_1,191
terms_support_le_2,335
terms_support_le_5,598
terms_support_ge_50pct,9
terms_support_ge_75pct,0
gene_active_terms_mean,140.59333333333333
gene_active_terms_median,119.0
go_term_support_mean,12.666066066066065
go_term_support_median,9.0
go_term_entropy_bits_mean,0.3601029394214712
go_term_entropy_bits_median,0.32744491915447627
go_terms_entropy_le_0_10,191
go_terms_entropy_ge_0_80,82
matrix_density_entropy_bits_per_cell,0.4176352836510223
total_go_marginal_entropy_bits,599.5713941367495
svd_components_for_50pct_variance,7
svd_components_for_80pct_variance,40
gene_cosine_min,0.0
gene_cosine_p01,0.0
gene_cosine_p05,0.0
gene_cosine_p25,0.03877425607487184
gene_cosine_p50,0.10418469979213942
gene_cosine_p75,0.22189061560739176
gene_cosine_p95,0.4775119559797698
gene_cosine_p99,0.6703533440656556
gene_cosine_max,0.9970014925003421
gene_jaccard_similarity_min,0.0
gene_jaccard_similarity_p01,0.0
gene_jaccard_similarity_p05,0.0
gene_jaccard_similarity_p25,0.01475470506917459
gene_jaccard_similarity_p50,0.046875
gene_jaccard_similarity_p75,0.11250000000000004
gene_jaccard_similarity_p95,0.29874608150470205
gene_jaccard_similarity_p99,0.5015291449068946
gene_jaccard_similarity_max,0.9940119760479041
