left,right,cosine_similarity
SMC3,STAG3,0.9970014925003421
KRAS,GPR31,0.9907692307692338
NUP214,NXF2,0.9165574556400329
SOCS1,TEC,0.8777931363165133
PTPN11,OVCA2,0.867963244650125
KIT,PTPN11,0.8545131590614267
ZRSR2,ZRSR2P1,0.85106449634699
FLT3,KIT,0.8502581078797219
HRK,AVEN,0.8402824657597798
FMO3,RGL2,0.8335443861283438
KIT,SH2B3,0.8331606056759046
FLT3,SH2B3,0.8322755647199952
FLT3,PTPN11,0.8317406885051035
SH2B3,MATK,0.8282219523500186
RAD21,SMC1B,0.8266735420537773
NXF2,NUP93,0.819146186991041
KIT,TEC,0.8180049129962784
PTPN11,MATK,0.8151984343661696
KIT,MATK,0.8125312882837475
KIT,OVCA2,0.8029971138363744
PTPN11,SH2B3,0.8026983458038109
NUP214,NUP93,0.800761611342784
AIRE,NUP93,0.7962174728997994
FLT3,MATK,0.7957986358922993
PIK3CG,MATK,0.7943109231227332
FLT3,OVCA2,0.7928886056176533
FLT3,TEC,0.7920554552412131
PTPN11,TEC,0.791298923462067
SH2B3,TEC,0.7847022210734348
FLT3,SOCS1,0.783980891846962
PTPN11,PIK3CG,0.7782837982660865
PTPN11,SOCS1,0.7779332508550987
NFIA,NFIX,0.7684636922238154
KIT,CBL,0.7674515953217973
KIT,SOCS1,0.7666814370521086
RADIL,PIK3CG,0.7660042249780161
NRAS,RADIL,0.7603752879836775
OVCA2,MATK,0.7580170401013591
RAD21,NIPBL,0.757361987960716
RAD21,WAPL,0.7570837503047169
FLT3,SLA,0.7523249834696448
STAG2,CDCA5,0.7501813194503207
SH2B3,SOCS1,0.748612752116593
KIT,PIK3CG,0.7482504547947366
OVCA2,PIK3CG,0.7467474158106763
FLT3,CBL,0.7439167303420332
TEC,MATK,0.7435847599870692
TEC,CBL,0.7429241987559817
PTPN11,CBL,0.7383551660631681
SPI1,ZBTB7A,0.7383512544802878
SH2B3,OVCA2,0.7378905394737264
RADIL,RGL2,0.737699134807805
GRB10,MATK,0.7351799504691741
PTPN11,GRB10,0.734990613943617
SOCS1,CBL,0.7346312928350285
FLT3,PIK3CG,0.7336486473008168
KIT,GRB10,0.7331991992900415
TEC,OVCA2,0.7328507641104833
SH2B3,PIK3CG,0.7320791279800725
GRB10,CBL,0.7308574166445915
NRAS,GPR31,0.729470148006469
WAPAL,PDS5A,0.7293387850622907
ZRSR2,GPATCH11,0.728025208309264
RUNX1,NFIX,0.7278127336150597
WAPL,WAPAL,0.7274211805764306
FLT3,GRB10,0.7260952949902194
NRAS,KRAS,0.7259964806350097
WAPL,PDS5A,0.7254184540926578
C6ORF141,NCAPH2,0.7239227659930267
SMC3,SMC1B,0.7201184087997414
SH2B3,GRB10,0.7192013308689923
SH2B3,CBL,0.7191832101738148
CBL,MATK,0.7180016395710149
SMC1B,STAG3,0.7179591283503118
SOCS1,MATK,0.7168721765637446
SOCS1,OVCA2,0.7161321329835814
RADIL,MATK,0.715613466310136
SLA,SH2B3,0.7150646985110152
GRB10,PIK3CG,0.7143395816841998
NFIC,NFIA,0.7133237146309545
CBX7,PCGF1,0.7128930874178223
CBX7,PCGF5,0.710504167111523
ZRSR1,SRRM1,0.7091966773330626
CCDC96,S100P,0.7082882469748284
WAPL,SMC1B,0.7075014674962474
STAG2,PDS5A,0.7067563640079914
HRK,BNIPL,0.7047679430882507
NFIC,NFIX,0.7036707160623855
PTPN11,SLA,0.7032004869769084
NFIX,CTBP1,0.7019667062416003
SRSF2,U2AF1L4,0.7008766440504623
SMC3,RAD21,0.6972660999749983
RAD21,STAG3,0.6951753423449648
ZBTB7A,SP1,0.6948663748412791
BCL2,HRK,0.6945718234047362
NRAS,RGL2,0.6944776605898035
GRB10,OVCA2,0.6915096698097546
NXF2,AIRE,0.6888467201936656
RAD21,WAPAL,0.6887670646205957
WAPL,NIPBL,0.6880487270408232
CBL,OVCA2,0.6877435398960023
NRAS,PIK3CG,0.6872933192876493
YAF2,RYBP,0.6861364589163015
KIT,SLA,0.6860302570682559
SMC1B,NIPBL,0.6852452110539513
FMO3,RADIL,0.6846341059972929
PCGF5,PCGF3,0.680555555555555
TEC,GRB10,0.6789094159066597
STAG2,WAPAL,0.6787621782045367
RUNX1,CTBP1,0.6778515356400219
SLA,MATK,0.6750946519363719
RAD21,STAG2,0.6723952177775936
KRAS,RADIL,0.6696359289776765
GPR31,RADIL,0.6696359289776765
SF3B1,ZRSR1,0.6695924071677029
PML,SP1,0.6687615160484497
NRAS,MATK,0.6685401802686664
RAD21,PDS5A,0.6683066855450205
STAG2,SMC1B,0.6682258579640193
SLA,OVCA2,0.6673927026592525
RARA,RUNX1,0.664243297444763
RGPD2,NUP93,0.6635145607498328
NFIA,CTBP1,0.6634431940459368
SMC3,NIPBL,0.662153560541698
