left,right,cosine_similarity
Chromatin Modifying Enzymes,Chromatin Organization,1.0000000000000009
Signaling by ALK in Cancer,Signaling by ALK Fusions and Activated Point Mutants,1.0000000000000007
Downstream Signaling of Activated FGFR1,IRS-mediated Signalling,1.0000000000000004
Signaling by PDGF,Downstream Signaling of Activated FGFR4,1.0000000000000004
Signaling by FGFR4 in Disease,Insulin Receptor Signalling Cascade,1.0000000000000004
Signaling by FGFR4 in Disease,Downstream Signaling of Activated FGFR3,1.0000000000000004
Signaling by FGFR4 in Disease,IRS-mediated Signalling,1.0000000000000004
Downstream Signaling of Activated FGFR2,Insulin Receptor Signalling Cascade,1.0000000000000004
Signaling by FGFR4 in Disease,DAP12 Signaling,1.0000000000000004
Insulin Receptor Signalling Cascade,IRS-mediated Signalling,1.0000000000000004
Signaling by FGFR4 in Disease,Signaling by Erythropoietin,1.0000000000000004
Downstream Signaling of Activated FGFR3,Downstream Signaling of Activated FGFR4,1.0000000000000004
IRS-mediated Signalling,Downstream Signaling of Activated FGFR4,1.0000000000000004
Downstream Signaling of Activated FGFR2,Downstream Signaling of Activated FGFR3,1.0000000000000004
Signaling by Erythropoietin,Signaling by PDGF,1.0000000000000004
IGF1R Signaling Cascade,Signaling by FGFR4 in Disease,1.0000000000000004
Signaling by FGFR4 in Disease,IRS-related Events Triggered by IGF1R,1.0000000000000004
IRS-mediated Signalling,Signaling by PDGF,1.0000000000000004
Downstream Signaling of Activated FGFR2,Downstream Signaling of Activated FGFR4,1.0000000000000004
Downstream Signaling of Activated FGFR2,IRS-mediated Signalling,1.0000000000000004
Insulin Receptor Signalling Cascade,Downstream Signaling of Activated FGFR3,1.0000000000000004
IGF1R Signaling Cascade,Insulin Receptor Signalling Cascade,1.0000000000000004
DAP12 Signaling,Downstream Signaling of Activated FGFR4,1.0000000000000004
IGF1R Signaling Cascade,Downstream Signaling of Activated FGFR3,1.0000000000000004
Downstream Signaling of Activated FGFR1,Downstream Signaling of Activated FGFR2,1.0000000000000004
Downstream Signaling of Activated FGFR1,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),1.0000000000000004
IGF1R Signaling Cascade,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),1.0000000000000004
IRS-related Events Triggered by IGF1R,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),1.0000000000000004
Signaling by Erythropoietin,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),1.0000000000000004
Downstream Signaling of Activated FGFR1,Signaling by EGFR,1.0000000000000004
IGF1R Signaling Cascade,IRS-related Events Triggered by IGF1R,1.0000000000000004
