run_id,method_version,tree_geometry,weighting,block_id,block_name,block_type,block_start,block_end,subspace_dimensions,block_energy_fraction,segmentation_bic,common_mode_isolated,subspace_dir
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,current,adaptive_diffusion_cosine_subspace,binary,0,adaptive_common_mode_01,common_mode,1,1,1,0.20322993642603207,-557.6921437384553,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/binary/adaptive_common_mode_01
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,current,adaptive_diffusion_cosine_subspace,binary,1,adaptive_modes_02_05,adaptive_decay_regime,2,5,4,0.24974581658715356,-557.6921437384553,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/binary/adaptive_modes_02_05
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,current,adaptive_diffusion_cosine_subspace,binary,2,adaptive_modes_06_09,adaptive_decay_regime,6,9,4,0.10156085063579827,-557.6921437384553,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/binary/adaptive_modes_06_09
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_10_21,current,adaptive_diffusion_cosine_subspace,binary,3,adaptive_modes_10_21,adaptive_decay_regime,10,21,12,0.15432489571119953,-557.6921437384553,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/binary/adaptive_modes_10_21
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,current,adaptive_diffusion_cosine_subspace,binary,4,adaptive_modes_22_51,adaptive_decay_regime,22,51,30,0.19533280016298551,-557.6921437384553,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/binary/adaptive_modes_22_51
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,current,adaptive_diffusion_cosine_subspace,binary,5,adaptive_modes_52_80,adaptive_decay_regime,52,80,29,0.09580570047683101,-557.6921437384553,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/binary/adaptive_modes_52_80
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_common_mode_01,current,adaptive_diffusion_cosine_subspace,tfidf,0,adaptive_common_mode_01,common_mode,1,1,1,0.14603701829495314,-569.9512357721026,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/tfidf/adaptive_common_mode_01
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,current,adaptive_diffusion_cosine_subspace,tfidf,1,adaptive_modes_02_05,adaptive_decay_regime,2,5,4,0.22694609631535242,-569.9512357721026,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/tfidf/adaptive_modes_02_05
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,current,adaptive_diffusion_cosine_subspace,tfidf,2,adaptive_modes_06_10,adaptive_decay_regime,6,10,5,0.12184368159781396,-569.9512357721026,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/tfidf/adaptive_modes_06_10
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,current,adaptive_diffusion_cosine_subspace,tfidf,3,adaptive_modes_11_21,adaptive_decay_regime,11,21,11,0.14917341666713313,-569.9512357721026,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/tfidf/adaptive_modes_11_21
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,current,adaptive_diffusion_cosine_subspace,tfidf,4,adaptive_modes_22_62,adaptive_decay_regime,22,62,41,0.2851955432321912,-569.9512357721026,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/tfidf/adaptive_modes_22_62
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,current,adaptive_diffusion_cosine_subspace,tfidf,5,adaptive_modes_63_80,adaptive_decay_regime,63,80,18,0.07080424389255628,-569.9512357721026,True,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/subspaces/tfidf/adaptive_modes_63_80
