cluster_id,cluster_size
0,6
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,1
14,1
15,1
16,2
17,1
18,1
19,1
20,1
21,1
22,1
23,2
24,3
25,2
26,3
27,1
28,1
29,1
30,2
31,3
32,1
33,1
34,1
35,2
36,1
37,2
38,1
39,1
40,3
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,2
58,2
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,2
67,1
68,1
69,1
70,2
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,2
79,1
80,1
81,2
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,2
94,1
95,1
96,2
97,3
98,1
99,1
100,2
101,4
102,2
103,3
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
