gene,mode_01
SRSF2,-0.2424440576827374
RARA,-0.6092553484656708
SMC3,-0.5879263760904196
DEK,-0.5512139213313528
TET2,-0.43413466656763317
PML,-0.6705130008585384
TP53,-0.49173905298840587
SMC1A,-0.6120259516428959
FLT3,-0.2677565842246195
RUNX1,-0.6158091871210772
IDH1,-0.2473922725183265
SF3B1,-0.37234238089439786
WT1,-0.18219551095084444
NRAS,-0.24335513632101993
KMT2A,-0.6365435913868314
BCL2,-0.3061596613555308
IDH2,-0.038889343391211334
EZH2,-0.6119064129201998
ZRSR2,-0.13936820414736426
RAD21,-0.500256023789979
KRAS,-0.3228873082285483
DNMT3A,-0.6159358230997983
ASXL1,-0.5384946840188692
U2AF1,-0.2226724138784673
GATA2,-0.19834204538818453
CEBPA,-0.7113804738421721
NUP214,-0.3892545145381111
KIT,-0.29282615955201463
PTPN11,-0.3069809839394787
STAG2,-0.43778196803708974
MECOM,-0.6273475763904002
NPM1,-0.289521341021948
WAPL,-0.4682833479738805
SMC1B,-0.5506242693472302
CDCA5,-0.3994819916734463
SGO1,-0.43352493186407154
REC8,-0.44962049095222845
MXD4,-0.39622981858822687
STAG3,-0.5862900524781786
NIPBL,-0.51961274504216
SPI1,-0.6299716009393536
GPR31,-0.30727742258995033
STAG1,-0.2845319496215361
NXF2,-0.3984613207181296
CARNMT1,-0.10482875643022424
ELF4,-0.593806648560034
KRTAP10-3,-0.04675203841159318
AIRE,-0.421475892800341
ZNF513,-0.4766313302126202
SLA,-0.33797248028734844
ZRSR1,-0.17646808112131682
SRRM1,-0.25399023138538157
ANKRD11,-0.5346723547908169
CIRSR,-0.09732356114605095
ZNF207,-0.7072729574424096
U2AF1L4,-0.22306569791706327
USP37,-0.593078818755121
FMO3,-0.15849786720286274
ADAR,-0.41918062976307385
SH2B3,-0.2652740745444731
SSU72,-0.4002522878322418
SOCS1,-0.32327144916735984
PAF1,-0.5308438558617377
USP13,-0.46174191083762833
TEC,-0.3453187666051421
RGPD2,-0.2824406486590037
WAPAL,-0.44057522949843386
KAT6A,-0.5548770165264602
HLF,-0.4176234452909156
HRK,-0.26080198668477944
BNIPL,-0.3416924137506201
GRB10,-0.3541969647854614
MED1,-0.5257816738478898
NUP93,-0.40874367939674366
PDS5B,-0.3074626815255864
CBL,-0.39986236995857555
OVCA2,-0.2938854880943667
PDS5A,-0.39326134890429154
RBM15,-0.4476339908689507
TFEC,-0.13091512606201425
C19ORF43,-0.33279212911264777
ZFPM1,-0.24990954858363426
RADIL,-0.23163693702060925
HIST1H3A,-0.527954718464052
ZRSR2P1,-0.18045611523151228
PIK3CG,-0.24792315143125332
IRX4,-0.44423358509452776
CITED1,-0.545102897543652
GPATCH11,-0.14918091169459025
PPP4R3A,-0.17365013627244924
SUV39H1,-0.5352823571800005
KITLG,-0.20117785465376187
PECAM1,-0.16579667236867848
HIST1H4A,-0.49519737390822305
AVEN,-0.31895659654279024
MAU2,-0.367421045303625
PAWR,-0.11106123745339033
MATK,-0.2559741128520751
RGL2,-0.16912735526588554
CDK1,-0.6596828797293934
BCOR,-0.6414920536631435
CELA1,-0.05280536512458655
CSN1S1,-0.005857954210647633
CBX7,-0.5889553730416401
ZBTB5,-0.464703424187758
PCGF5,-0.5939406338270523
HAO2,-0.015397956093717394
KDM2B,-0.613272421884086
ZBTB7A,-0.6181284731861447
PCGF1,-0.5660392303638249
PCGF3,-0.5433899517798024
L3MBTL1,-0.5054894351479864
CARD8,-0.39693267605083066
NACC1,-0.30547024207091544
PCGF2,-0.5170364362034001
HSPA12A,-0.14357615626460057
MLLT1,-0.43541174683124295
ERP44,-0.13669952517509165
NFIC,-0.4963199783314479
SNAPC4,-0.15469549034177493
MLLT3,-0.2595615245294817
QPRT,-0.3908827040900888
KPNA4,-0.47177253795391216
NFIA,-0.5599505060220429
CBX4,-0.6136054705353693
NFIX,-0.6172077944325854
SHARPIN,-0.16134095485943806
RING1,-0.5565708011743886
C6ORF141,-0.1637311470531161
YAF2,-0.5274897244144393
PPP4R1L,-0.334301887193403
RNF2,-0.6705862390498388
BCL6,-0.5135022827903004
NAA10,-0.035396047620331904
DCAF7,-0.5434781077539852
RYBP,-0.5387525176380639
CBX8,-0.47623662203963385
PIP,-0.3722574254641813
NCAPH2,-0.1697882463533117
B4GALT2,-0.30687970607044535
SP1,-0.6896519034912746
CTBP1,-0.6588814227344816
CDC16,-0.35305629114158693
CBX3,-0.6940976559906848
BRAF,-0.4446790609094855
CCDC96,-0.23182247547165755
CBX6,-0.3941795368601697
SKP1,-0.4664083401017845
S100P,-0.225588720768262
USP7,-0.5219543962942138
