left,right,distance,count
2.0,38.0,0.00018247225356544635,2.0
32.0,77.0,0.00043997826354217517,2.0
20.0,41.0,0.0004998425940238841,2.0
8.0,28.0,0.0008030983041323219,2.0
66.0,151.0,0.0012884781650740374,3.0
18.0,84.0,0.0018577351642175917,2.0
27.0,85.0,0.0023188383258636275,2.0
19.0,34.0,0.002404071391996224,2.0
91.0,152.0,0.0024245132815613234,3.0
0.0,88.0,0.0025133213146986593,2.0
13.0,71.0,0.00291188679950723,2.0
59.0,82.0,0.0029939049732186055,2.0
57.0,61.0,0.003133555999430613,2.0
51.0,55.0,0.0033262436809895716,2.0
40.0,132.0,0.0034733521614997345,2.0
43.0,65.0,0.0039496164455557325,2.0
95.0,157.0,0.003966929424969876,3.0
138.0,148.0,0.004033240396948625,2.0
16.0,106.0,0.004251729075115786,2.0
98.0,158.0,0.004252398962687735,4.0
127.0,140.0,0.0042872462111303794,2.0
47.0,73.0,0.004916378288739552,2.0
3.0,17.0,0.005039290810311134,2.0
107.0,123.0,0.005186399922105017,2.0
153.0,161.0,0.005298328707311089,4.0
76.0,160.0,0.0059793388744082115,3.0
49.0,162.0,0.00612139181227843,3.0
69.0,70.0,0.0061732364493303285,2.0
50.0,159.0,0.006541433234544933,3.0
33.0,166.0,0.006775204000697068,4.0
108.0,164.0,0.007384075465825703,3.0
7.0,74.0,0.00768685997341244,2.0
35.0,128.0,0.007836983677288998,2.0
145.0,167.0,0.007896832535793975,3.0
39.0,154.0,0.007910554941473188,4.0
29.0,179.0,0.008605609753002067,5.0
9.0,100.0,0.008917927300859808,2.0
142.0,183.0,0.009047823150926523,4.0
75.0,92.0,0.009083180773895793,2.0
156.0,174.0,0.009181942014073017,6.0
26.0,171.0,0.009211891262743589,3.0
169.0,175.0,0.009283933478851055,7.0
155.0,178.0,0.009509226722013509,5.0
137.0,139.0,0.009593461051774395,2.0
102.0,168.0,0.009845344116071037,3.0
90.0,116.0,0.009928383542571508,2.0
53.0,163.0,0.010085843252762018,3.0
64.0,189.0,0.010239817543630035,7.0
125.0,173.0,0.01036997937431825,3.0
58.0,78.0,0.010406939940188946,2.0
14.0,105.0,0.01082214181045403,2.0
15.0,177.0,0.012045567055691908,3.0
181.0,199.0,0.012465487392285993,4.0
23.0,122.0,0.012777427459909554,2.0
5.0,129.0,0.012812312635501942,2.0
96.0,133.0,0.013109121773805438,2.0
10.0,187.0,0.013514680834745843,5.0
4.0,48.0,0.01360901720312414,2.0
46.0,119.0,0.014031807196719516,2.0
103.0,186.0,0.014314818161128381,3.0
182.0,193.0,0.014553670065246212,4.0
36.0,56.0,0.01458325078004759,2.0
97.0,176.0,0.01464148733049756,4.0
120.0,146.0,0.014833918416341756,2.0
104.0,118.0,0.014915002976757864,2.0
144.0,188.0,0.015296676147015105,3.0
141.0,209.0,0.015724570729611555,4.0
165.0,190.0,0.015741022691538594,5.0
184.0,185.0,0.01577416542512558,9.0
194.0,205.0,0.016016401669611064,5.0
113.0,195.0,0.01623065869671054,3.0
22.0,121.0,0.01624539706876237,2.0
135.0,204.0,0.01685166376978308,3.0
200.0,214.0,0.016891439156151038,4.0
79.0,101.0,0.017304688366510383,2.0
197.0,212.0,0.017351273151644718,11.0
150.0,202.0,0.01735860180342261,6.0
45.0,131.0,0.017405602277068895,2.0
63.0,211.0,0.017870371968232168,3.0
67.0,124.0,0.018356789229504573,2.0
87.0,224.0,0.019182220112333462,3.0
44.0,196.0,0.01944507554005682,4.0
1.0,109.0,0.019724774992551486,2.0
12.0,172.0,0.02004520163657958,3.0
117.0,219.0,0.020277849125582344,6.0
94.0,201.0,0.02035114780891697,4.0
198.0,216.0,0.021126775552871374,7.0
21.0,220.0,0.02122087882513173,4.0
25.0,81.0,0.02217586400862668,2.0
62.0,213.0,0.023633997883836484,3.0
206.0,210.0,0.02463767572364247,9.0
218.0,226.0,0.024716442961706234,15.0
191.0,225.0,0.024718139944579828,18.0
136.0,207.0,0.024879831109526858,3.0
54.0,111.0,0.025028838843509583,2.0
110.0,229.0,0.02531927324036224,3.0
72.0,221.0,0.025787074399463032,3.0
86.0,223.0,0.02603066302738769,5.0
114.0,222.0,0.02701057576538647,4.0
126.0,235.0,0.028518402101906457,5.0
37.0,42.0,0.028657207588370037,2.0
115.0,230.0,0.02909870329110233,4.0
147.0,249.0,0.02936137685068903,6.0
203.0,217.0,0.0299258540328044,7.0
236.0,247.0,0.030355173791769503,12.0
24.0,52.0,0.030510815521415584,2.0
192.0,231.0,0.03151887342349358,9.0
233.0,239.0,0.0316063547229744,6.0
228.0,240.0,0.03249013654829366,12.0
234.0,251.0,0.03255390233562043,10.0
149.0,238.0,0.033696291684229676,3.0
180.0,232.0,0.03418639404114578,5.0
243.0,246.0,0.03548994284222798,6.0
227.0,248.0,0.03729566654254186,6.0
31.0,80.0,0.03787217134387408,2.0
99.0,258.0,0.038297222891479174,13.0
255.0,260.0,0.04007245144545431,5.0
245.0,254.0,0.040114573355302156,15.0
6.0,252.0,0.043575233378562624,7.0
215.0,242.0,0.04450307434760962,21.0
30.0,257.0,0.044711255187625455,7.0
93.0,241.0,0.04655553873929457,16.0
208.0,259.0,0.047080990484455534,12.0
83.0,250.0,0.04754807338153844,3.0
11.0,253.0,0.04808621787640982,8.0
68.0,112.0,0.05295699126266514,2.0
143.0,262.0,0.05849216491404971,7.0
264.0,274.0,0.05945637351234255,10.0
170.0,275.0,0.061415409808106364,4.0
130.0,134.0,0.061704484970405094,2.0
266.0,270.0,0.061813165760092305,12.0
256.0,277.0,0.06359085627359862,19.0
237.0,267.0,0.06663580018256574,19.0
244.0,279.0,0.0696253201902869,4.0
261.0,282.0,0.07213645849476427,24.0
276.0,280.0,0.07401038830843047,19.0
263.0,278.0,0.07861197119339854,10.0
60.0,273.0,0.08019848244185773,4.0
272.0,283.0,0.09268036433314358,16.0
268.0,286.0,0.10602343293499428,17.0
89.0,288.0,0.11997117012684358,17.0
271.0,287.0,0.12264462396069825,20.0
284.0,285.0,0.144415245683996,43.0
289.0,290.0,0.14655323350454266,34.0
265.0,293.0,0.16624685097414482,47.0
292.0,294.0,0.19790769638055652,90.0
281.0,295.0,0.24315014204161586,109.0
291.0,296.0,0.2518080227910411,129.0
269.0,297.0,0.2620570386650601,150.0
