axis,axis_name,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
6,mode_06,O2 CO2 Exchange in Erythrocytes,,O2 CO2 Exchange in Erythrocytes,1,0.006666666666666667,0.05777796017013378,0.0021889283764813636,0.0021889283764813636,positive,1302
6,mode_06,Aryl Hydrocarbon Receptor Signalling,,Aryl Hydrocarbon Receptor Signalling,3,0.02,0.14144054254182067,-0.0004136872250648209,0.0004136872250648209,negative,1555
6,mode_06,SHC-mediated Cascade FGFR3,,SHC-mediated Cascade FGFR3,15,0.1,0.4689955935892812,-0.00015633467779918952,0.00015633467779918952,negative,1624
6,mode_06,Miro GTPase Cycle,,Miro GTPase Cycle,2,0.013333333333333334,0.10215803640865039,0.010712776967357245,0.010712776967357245,positive,637
6,mode_06,ERKs Are Inactivated,,ERKs Are Inactivated,9,0.06,0.32744491915447627,-0.010523126034122823,0.010523126034122823,negative,647
6,mode_06,Signal Amplification,,Signal Amplification,2,0.013333333333333334,0.10215803640865039,-0.005886479770213275,0.005886479770213275,negative,916
6,mode_06,IRAK4 Deficiency (TLR2 4),,IRAK4 Deficiency (TLR2 4),4,0.02666666666666667,0.17738945318599736,-0.008741076854621797,0.008741076854621797,negative,749
6,mode_06,Activation of Gene Expression by SREBF (SREBP),,Activation of Gene Expression by SREBF (SREBP),14,0.09333333333333334,0.4474992550368635,0.04477750192407223,0.04477750192407223,positive,138
6,mode_06,MITF-M-dependent Gene Expression,,MITF-M-dependent Gene Expression,19,0.12666666666666668,0.5482251174503202,0.02060230746210694,0.02060230746210694,positive,374
6,mode_06,Mitotic Metaphase and Anaphase,,Mitotic Metaphase and Anaphase,47,0.31333333333333335,0.8969838216377446,0.07169367887909307,0.07169367887909307,positive,39
6,mode_06,Elastic Fibre Formation,,Elastic Fibre Formation,3,0.02,0.14144054254182067,-0.0019288213821484997,0.0019288213821484997,negative,1329
6,mode_06,CTNNB1 S45 Mutants Aren'T Phosphorylated,,CTNNB1 S45 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,0.010064012164162868,0.010064012164162868,positive,664
6,mode_06,RHO GTPase Effectors,,RHO GTPase Effectors,30,0.2,0.7219280948873623,0.05043352362582881,0.05043352362582881,positive,116
6,mode_06,Processing of SMDT1,,Processing of SMDT1,1,0.006666666666666667,0.05777796017013378,-0.002577925023397529,0.002577925023397529,negative,1256
6,mode_06,Interleukin-1 Signaling,,Interleukin-1 Signaling,19,0.12666666666666668,0.5482251174503202,-0.030551371444109843,0.030551371444109843,negative,256
6,mode_06,IGF1R Signaling Cascade,,IGF1R Signaling Cascade,21,0.14,0.584238811642856,0.002704476916689984,0.002704476916689984,positive,1217
