gene,cluster_id,cluster_size
SRSF2,32,1
RARA,18,1
SMC3,127,2
DEK,72,1
TET2,90,1
PML,7,1
TP53,51,1
SMC1A,47,1
FLT3,115,1
RUNX1,19,1
IDH1,103,1
SF3B1,49,1
WT1,144,1
NRAS,79,1
KMT2A,121,1
BCL2,50,1
IDH2,130,1
EZH2,92,1
ZRSR2,30,1
RAD21,40,1
KRAS,78,2
DNMT3A,140,1
ASXL1,141,1
U2AF1,23,1
GATA2,129,1
CEBPA,8,1
NUP214,2,1
KIT,113,1
PTPN11,110,1
STAG2,45,1
MECOM,5,1
NPM1,81,1
WAPL,46,1
SMC1B,24,1
CDCA5,41,1
SGO1,123,1
REC8,68,1
MXD4,107,1
STAG3,127,2
NIPBL,42,1
SPI1,11,1
GPR31,78,2
STAG1,108,1
NXF2,3,1
CARNMT1,34,1
ELF4,70,1
KRTAP10-3,131,1
AIRE,1,1
ZNF513,87,1
SLA,122,1
ZRSR1,27,1
SRRM1,28,1
ANKRD11,20,1
CIRSR,35,1
ZNF207,128,1
U2AF1L4,33,1
USP37,65,1
FMO3,145,1
ADAR,38,1
SH2B3,116,1
SSU72,106,1
SOCS1,36,1
PAF1,93,1
USP13,56,1
TEC,118,1
RGPD2,0,1
WAPAL,39,1
KAT6A,125,1
HLF,142,1
HRK,52,1
BNIPL,53,1
GRB10,138,1
MED1,17,1
NUP93,4,1
PDS5B,117,1
CBL,119,1
OVCA2,114,1
PDS5A,44,1
RBM15,25,1
TFEC,77,1
C19ORF43,126,1
ZFPM1,109,1
RADIL,146,1
HIST1H3A,83,1
ZRSR2P1,31,1
PIK3CG,139,1
IRX4,13,1
CITED1,66,1
GPATCH11,29,1
PPP4R3A,102,1
SUV39H1,91,1
KITLG,111,1
PECAM1,135,1
HIST1H4A,124,1
AVEN,54,1
MAU2,37,1
PAWR,137,1
MATK,112,1
RGL2,147,1
CDK1,26,1
BCOR,105,1
CELA1,101,1
CSN1S1,134,1
CBX7,62,1
ZBTB5,120,1
PCGF5,73,1
HAO2,143,1
KDM2B,67,1
ZBTB7A,10,1
PCGF1,63,1
PCGF3,74,1
L3MBTL1,60,1
CARD8,69,1
NACC1,132,1
PCGF2,64,1
HSPA12A,80,1
MLLT1,88,1
ERP44,82,1
NFIC,21,1
SNAPC4,104,1
MLLT3,86,1
QPRT,22,1
KPNA4,6,1
NFIA,14,1
CBX4,89,1
NFIX,15,1
SHARPIN,43,1
RING1,61,1
C6ORF141,97,1
YAF2,58,1
PPP4R1L,94,1
RNF2,57,1
BCL6,12,1
NAA10,133,1
DCAF7,76,1
RYBP,59,1
CBX8,75,1
PIP,55,1
NCAPH2,99,1
B4GALT2,96,1
SP1,9,1
CTBP1,16,1
CDC16,95,1
CBX3,136,1
BRAF,48,1
CCDC96,98,1
CBX6,84,1
SKP1,71,1
S100P,100,1
USP7,85,1
