run_id,cluster_id,cluster_size,mean_within_tfidf_cosine
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,0,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,1,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,2,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,3,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,4,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,5,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,6,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,7,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,8,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,9,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,10,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,11,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,12,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,13,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,14,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,15,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,16,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,17,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,18,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,19,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,20,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,21,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,22,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,23,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,24,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,25,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,26,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,27,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,28,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,29,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,30,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,31,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,32,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,33,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,34,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,35,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,36,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,37,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,38,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,39,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,40,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,41,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,42,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,43,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,44,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,45,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,46,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,47,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,48,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,49,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,50,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,51,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,52,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,53,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,54,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,55,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,56,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,57,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,58,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,59,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,60,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,61,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,62,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,63,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,64,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,65,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,66,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,67,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,68,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,69,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,70,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,71,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,72,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,73,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,74,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,75,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,76,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,77,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,78,2,0.9897179652757888
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,79,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,80,1,
