axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
10,mode_10,top_positive,Viral Infection Pathways,,Viral Infection Pathways,53,0.35333333333333333,0.9370098252692078,0.14626825809221622,0.14626825809221622,positive,3
10,mode_10,top_positive,Infectious Disease,,Infectious Disease,53,0.35333333333333333,0.9370098252692078,0.12420342057550206,0.12420342057550206,positive,4
10,mode_10,top_positive,Cellular Responses to Stimuli,,Cellular Responses to Stimuli,85,0.5666666666666667,0.9871377743721863,0.10273319540519418,0.10273319540519418,positive,11
10,mode_10,top_positive,SARS-CoV Infections,,SARS-CoV Infections,50,0.3333333333333333,0.9182958340544896,0.10022443178902664,0.10022443178902664,positive,14
10,mode_10,top_positive,Nucleotide Excision Repair,,Nucleotide Excision Repair,33,0.22,0.7601675029619657,0.09652065677997149,0.09652065677997149,positive,17
10,mode_10,top_positive,Global Genome Nucleotide Excision Repair (GG-NER),,Global Genome Nucleotide Excision Repair (GG-NER),28,0.18666666666666668,0.6944460704939805,0.08113051428911838,0.08113051428911838,positive,22
10,mode_10,top_positive,SARS-CoV-2 Infection,,SARS-CoV-2 Infection,28,0.18666666666666668,0.6944460704939805,0.0763702796891378,0.0763702796891378,positive,25
10,mode_10,top_positive,Cellular Response to Heat Stress,,Cellular Response to Heat Stress,34,0.22666666666666666,0.7721551435804814,0.07626064740652237,0.07626064740652237,positive,26
10,mode_10,top_positive,SARS-CoV-1-host Interactions,,SARS-CoV-1-host Interactions,28,0.18666666666666668,0.6944460704939805,0.07622495609589366,0.07622495609589366,positive,27
10,mode_10,top_positive,Myc Targets V1,,Myc Targets V1,48,0.32,0.9043814577244939,0.0749405513172942,0.0749405513172942,positive,29
10,mode_10,top_positive,SARS-CoV-2 Modulates Host Translation Machinery,,SARS-CoV-2 Modulates Host Translation Machinery,10,0.06666666666666667,0.35335933502142136,0.07384070369382328,0.07384070369382328,positive,30
10,mode_10,top_positive,SARS-CoV-1 Infection,,SARS-CoV-1 Infection,21,0.14,0.584238811642856,0.07265122772839694,0.07265122772839694,positive,32
10,mode_10,top_positive,Positive Epigenetic Regulation of rRNA Expression,,Positive Epigenetic Regulation of rRNA Expression,33,0.22,0.7601675029619657,0.07049233094220839,0.07049233094220839,positive,34
10,mode_10,top_positive,L13a-mediated Translational Silencing of Ceruloplasmin Expression,,L13a-mediated Translational Silencing of Ceruloplasmin Expression,7,0.04666666666666667,0.2720647864044614,0.07038857769447573,0.07038857769447573,positive,37
10,mode_10,top_positive,Formation of a Pool of Free 40S Subunits,,Formation of a Pool of Free 40S Subunits,7,0.04666666666666667,0.2720647864044614,0.07038857769447573,0.07038857769447573,positive,36
10,mode_10,top_positive,GTP Hydrolysis and Joining of the 60S Ribosomal Subunit,,GTP Hydrolysis and Joining of the 60S Ribosomal Subunit,7,0.04666666666666667,0.2720647864044614,0.07038857769447573,0.07038857769447573,positive,35
10,mode_10,top_positive,Cellular Responses to Stress,,Cellular Responses to Stress,81,0.54,0.9953784388202257,0.07012614920380986,0.07012614920380986,positive,38
10,mode_10,top_positive,Regulation of HSF1-mediated Heat Shock Response,,Regulation of HSF1-mediated Heat Shock Response,28,0.18666666666666668,0.6944460704939805,0.0690955964751589,0.0690955964751589,positive,39
10,mode_10,top_positive,Eukaryotic Translation Initiation,,Eukaryotic Translation Initiation,8,0.05333333333333334,0.30039141736478187,0.0685183937211758,0.0685183937211758,positive,41
10,mode_10,top_positive,Cap-dependent Translation Initiation,,Cap-dependent Translation Initiation,8,0.05333333333333334,0.30039141736478187,0.0685183937211758,0.0685183937211758,positive,40
