gene,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21
SRSF2,-0.1271648872980212,0.06891045890880965,-0.03707672830534159,0.12606787234740718,-0.09997950226924317,0.012246606173099394,-0.01668416576085589,0.015696596133724844,-0.07050941355533688,0.025096370597441693,0.027902404404239526,-0.06244169367420614
RARA,-0.015200412847662319,-0.09737954553916738,0.07948040986659288,-0.006298208178792819,0.132858447050918,0.06555301165763933,0.09370373730433243,0.07153482978978876,0.03838334037212729,0.028269138215092856,0.00021570223556846267,-0.11045613097168609
SMC3,0.1345557260055901,0.05911933896623582,0.055267029569697014,0.018265461064393085,-0.06963636814724221,-0.049415673831145944,0.03536062142817774,0.13939685284993647,0.09422218956508492,-0.05357405003745112,0.0624715874180848,-0.015581591474992357
DEK,0.12720153347606614,0.1151840866320728,0.00018654474872268394,-0.0042583573729960324,0.04700491641601384,0.118184167624647,-0.02636793812789643,0.09082987728506196,-0.0727867157886618,-0.19534394814879644,-0.014216210050408814,0.0652103539856669
TET2,-0.0804980363443658,-0.22234692623613683,-0.1552599230275441,0.013754736711595286,0.03743392828040371,-0.08797089085072561,-0.006565784030060031,0.08380083803434933,-0.2147781261877856,0.2272513094883221,-0.23430113142036643,-0.10397141829156241
PML,0.07630762224737941,0.04143866621888501,-0.04934640789068039,-0.025351944940886575,-0.07640687160946162,-0.053562054848028465,-0.011260608181492333,-0.04660799300832792,-0.08736333715915692,-0.1113791462061729,-0.03588196585753453,-0.019167976057909465
TP53,-0.06943978740863352,0.08370527208937961,-0.08885770060440469,0.02967719076477515,0.028976953388244773,-0.06534852125929849,0.02948718249958609,-0.024430873171221,-0.03942622911236687,-0.03533942966891339,-0.015181336943134269,0.03511248483463303
SMC1A,0.07623775732524282,0.023407670384277567,-0.08888631902321133,-0.07024765296827973,-0.13936378055008114,0.11496674073162272,-0.11345310558600336,-0.06953203471002932,0.10045948493284171,0.051226269375937696,0.028301431732831974,-0.08517741724890185
FLT3,0.024607326760950815,0.1873662304004984,-0.03647769802137673,-0.09477012468160224,0.04999439795311973,-0.05903374620722711,0.009348124194534258,0.0912766930129199,-0.022814108459974395,0.06426892606214438,0.03951297295983065,-0.027288264320514396
RUNX1,0.055899962210752746,-0.0733995116653755,-0.0315364060572974,0.03672502875542102,0.05383608355081363,-0.005927034289589907,-0.11846723680322786,0.015439268830218253,0.004639476948135174,-0.03178154342288594,0.0247318000496659,-0.13187297109266996
IDH1,0.11661024668403004,-0.01795932592528348,-0.07264166648131501,0.05807105840506701,0.06531405123357843,0.07186848285763459,0.033523830771645835,0.23655500891140963,0.34361132711535536,0.10485987213239718,-0.08189431951007511,-0.035614137207266985
SF3B1,0.3033672582785135,-0.09591926449055006,-0.03283521675890385,-0.19186501617539076,0.18616762847256627,-0.12856394970632107,0.07208859870055528,-0.12067283885312219,0.12018618969094118,0.007665851425681042,-0.029278498418701136,0.021516902533837784
