gene,mode_22,mode_23,mode_24,mode_25,mode_26,mode_27,mode_28,mode_29,mode_30,mode_31,mode_32,mode_33,mode_34,mode_35,mode_36,mode_37,mode_38,mode_39,mode_40,mode_41,mode_42,mode_43,mode_44,mode_45,mode_46,mode_47,mode_48,mode_49,mode_50,mode_51
SRSF2,0.03518316094927342,-0.04562519670433359,0.0006644368922915734,-0.02050559059756728,0.0054084307908736605,-0.0856338378214526,0.03782236738215279,-0.10119169823864778,0.006015312736490451,-0.05381874783125915,0.026279399262953338,-0.0421284157858196,0.04387028436960674,-0.019026051038292784,0.01906462133208709,-0.010106808029311283,0.044121304012225436,0.04586816011355086,-0.12800112406631783,0.11035322175541919,-0.06188936331342637,-0.1016011231610238,0.05775552086517321,-0.029971560071919374,-0.026576867194538875,0.08447737520543375,0.08712350218534251,-0.0018100362692257553,-0.01837949943244281,-0.057720820628167996
RARA,0.025090827734761033,-0.02418728412687976,0.12002829775892351,0.13613610743471705,-0.04349711275528844,0.044129761728890105,0.19715459744173397,-0.027339928665797705,0.04831407285031773,0.050114458893277855,0.04473182696948407,0.019724430148214903,-0.05738589774551606,-0.06751592007571122,0.0867020400345223,-0.0689876647949651,0.052555523135907174,0.05518250763671628,-0.017839090059935052,0.043507774945276696,-0.029238771346322107,0.013077289199172032,-0.0062865454064076585,-0.020959261974270855,0.018257611009091478,-0.03736700114482022,-0.00625017189262892,0.05735158031481388,-0.03776558950598335,-0.008481978227719794
SMC3,0.09715965601925383,-0.034142093268606975,-0.08789257856671563,-0.014610002416562741,0.05545312688574856,-0.10327013204203093,0.0883007061097175,0.038523708003229316,0.003951508214815582,-0.07804720298118517,0.03089640084194464,0.0890071004935004,0.058539523164636405,-0.10960059514732948,-0.11687606114937406,-0.06113704386197943,0.01372273233058195,0.047152435477704396,-0.08021650362071897,0.03414905249245519,0.10389612805082708,-0.0382421251327348,-0.035437560403541006,-0.13717912117345568,0.008621081349062653,0.06556574592883281,0.00459460549413008,-0.05975485927292047,-0.09392747788531625,0.09039953559003647
DEK,-0.0694940855254081,0.10559220371884032,-0.05923015614906404,-0.11087095430803759,-0.008071589773416299,0.061742341146302386,0.0945045490862224,0.038510974322356645,0.08838372872512266,-0.10327388316437303,-0.014630727685638886,-0.06853161782015613,-0.03126448264407971,0.003533992162799009,-0.007845866746686652,0.06496802199167592,0.1615565912340204,-0.05724304916924676,-0.0011991234248086382,-0.0347280685349681,-0.08554506262962697,-0.06366409087216758,-0.21536620758156363,0.15992574671599072,0.07558212033533351,0.0566123602848808,-0.09324550604177938,0.13844908569723177,0.09165590414871493,-0.08959327509799013
TET2,0.005726628305988582,-0.038700911763694265,-0.07440996132599154,0.08231427592751164,0.06896942325500285,-0.058872205914689606,0.09341153644541164,0.002571680349388167,0.014985142714409563,0.013287280893541227,0.1540373774814521,0.05675158348277876,0.10440308641646766,0.02287474510492478,0.004943583200535191,0.09240125116925865,0.001310571939659181,-0.0212288012188121,0.059253974263833976,0.08838668184042843,-0.047468790050325255,-0.008729904976743483,0.051095538858296125,0.01065240810271668,-0.09204327114445449,-0.04616224609744378,0.053760774899182906,0.04607654457423064,0.0421663477490457,-0.033522920606994744
PML,-0.024820154100053147,0.06680768069876322,-0.009955240269330678,-0.01689236496306914,-0.020759345949695217,0.09360456935580455,0.031162774529252424,-0.044156667539473345,0.05778904401669332,0.08452211673460151,-0.03667219365331298,-0.02752303472098199,0.00457446520808943,0.03220006820484765,0.03638055468169416,0.0644613010836819,-0.04027778556470642,-0.007695602576363259,0.011186526661768743,0.15463697749119681,-0.05465919869490034,0.03656416581751996,-0.08344379506097149,-0.0037065305470006015,-0.008353776734876063,0.022701314690179504,0.018834694431538904,0.013501500287513799,-0.07587281016835691,0.050830141936349195
TP53,-0.044794665456002226,-0.031826340749784375,0.04008711560785193,0.09665544928340873,-0.13551061325547062,-0.037444322801752666,0.07633422050820424,-0.06345519706476918,0.09816561647193839,0.08502040372131618,-0.07759675396098283,0.07109987978604218,0.03269244378725803,-0.05413862979449947,-0.04740700478681814,-0.12642690305501958,-0.15452917794999882,0.03311694963239638,-0.06517671832100574,-0.1371937869581784,-0.19713957680425834,0.2576993307638661,-0.026754857264122984,0.08531064919128409,0.0857712830343306,-0.0006732057798038406,0.1337605954293705,-0.0854656009950087,-0.08372162632079971,0.00673451775060706
SMC1A,-0.055022079811817275,0.016727966896295306,-0.031213819172869313,0.0038648088315377522,0.007912270463521201,0.16501096260231368,0.10302599500016257,-0.059772656364686066,-0.0772055389656126,-0.09273461801694315,-0.03296074980617814,-0.07632399626057539,-0.04802135343623807,-0.025405133367642368,-0.08500912207061637,-0.004435917992177879,0.02964593192673293,-0.0319003479211014,-0.010011589955892013,-0.018303553274901522,0.10598417042506979,-0.02588708340815209,-0.03641104336010208,-0.008309073370266888,-0.02580049763039043,0.056173089183440696,0.02554475910753277,-0.006237313831682651,0.01111146333496817,-0.0869092220863223
FLT3,-0.020187102264584617,0.003482937903230737,-0.004518586764648525,0.004878373486527057,0.02662760422443162,-0.012192927441364526,-0.006033117325645042,0.02599580050667999,-0.02844371183115498,0.024740751950840734,-0.0009590347096850146,-0.01976832148020939,-0.00852173896294869,-0.03580722589085771,-0.009822882257445853,0.01667318792080836,0.029097568434978027,-0.023466450717293096,0.021145145221438847,-0.011958304904794112,-0.009765034072600588,-0.008269029152555328,-0.005784983315320263,-0.021789105560907625,-0.020136713235029333,0.03949472724034637,0.008486612146738357,-0.008959746971473363,-0.025146640519819668,-0.0007469345607301017
RUNX1,0.026125222365994905,-0.044315474267808456,0.008798454796577926,0.052262795384144946,-0.04312231857323931,-0.046555457032729265,-0.06251384137168493,0.05147004965788705,-0.008347245156462856,0.04540294969141486,0.016701133113090568,-0.0051205724052470585,0.02358102193480284,0.030690139188553553,0.0656991921181176,-0.006080182497435531,0.019580794155812046,-0.023011228511288492,-0.04604858870082551,0.026404514700006862,0.04102753673956085,-0.0216303248066855,-0.007536753843469772,0.02896762282097539,0.026648990912232454,-0.008548454402224877,-0.08351336984924795,-0.015157457663428853,-0.058369761768985555,-0.05305780433953687
IDH1,0.04988805291474984,-0.2883058118571413,0.04296479537336151,-0.25938740019836215,0.054382642144604296,0.1070398862714973,0.006251684502474281,-0.10056062241986133,0.08663235444036879,-0.06667185344031469,-0.03849583685546425,0.0724645602364005,-0.016990004409672473,-0.014862699149723414,-0.15147263895370752,0.05541458535657032,-0.07344698338948115,-0.07306549661816064,0.15034710046033462,-0.12591849919089623,0.08402818336139016,-0.02830579269830525,0.030088883302028843,-0.035595226139253235,0.060774654413323734,0.08580449932451092,0.018222470748707118,0.14645408087740783,0.006725951835673976,-0.19163718736494387
SF3B1,-0.007362122529298473,0.042671688341563804,0.09845495116609947,-0.007003315271618822,-0.0703400007778643,-0.07346457510082113,-0.06844332514212527,0.004343566086842988,-0.01308376849553482,-0.0020747570400044893,0.04837313480138672,5.982368780149615e-05,-0.028852387420365243,0.023869867541766232,0.033877247103506085,-0.03264282049442613,-0.017554599252214174,0.014335566546806695,-0.021189814281931268,-0.013944394421270604,-0.07048636867236842,-0.013041645746483449,0.03356850777129826,-0.0670225404224311,-0.011340312721400767,0.012211036589002617,0.018387190381243104,0.019608317887684475,-0.015026146909694588,-0.042733599396569594
WT1,-0.15581189001040976,-0.05386306864560647,-0.02040578187398104,0.11072090114327024,0.012582552442310184,-0.13192102994932325,0.13757216016088467,-0.1098928780465075,0.08577265874392835,-0.08661965352777566,0.007534587860299449,-0.38285230431040357,0.12496203070355225,-0.18512104938634807,0.05355408233384795,-0.04882608650776967,0.027804817449212486,-0.11228175425444295,-0.11122447200238438,-0.1516976846575184,0.10145649749295381,-0.11018803393602511,-0.1261233307926692,0.03143512045589898,0.018239364984214603,-0.23655135266335406,-0.07082195569541205,-0.10768971467275566,-0.12896754116025586,0.05381738919368739
NRAS,0.007045282583106627,0.052212784436572714,0.049676910682303455,-0.03601339285961841,-0.02391309686066088,0.008735538287803457,0.0015030379968486508,0.007552652658040523,0.050609533551039865,0.001239993643637628,0.001594097926988251,0.03079730676378238,0.04517925277101402,0.025007032723416325,-0.028925898423412737,0.03044111224303025,-0.05827177250713013,0.001714735083791188,0.011554526411339684,-0.011399971564305871,0.03147535618090417,0.05134242147466146,-0.025658358896705265,-0.004284894904115018,-0.06765902830677122,-0.018335745194290032,0.0042193462289104935,0.03117708657129239,0.04685941729253224,-0.0072356303087623836
KMT2A,-0.026310966203839374,0.03384108521411055,-0.03163786955114401,-0.11793980098936982,-0.053171107976148116,-0.051306880314988,-0.04266639175914508,0.013803477306277368,0.0019979575565449827,-0.12281431774365503,-0.052689144912642365,-0.03665548879112057,0.00887499633456173,0.029794956063150094,-0.07757935509367252,0.06285884967370696,0.11679380119875775,0.0152820905769257,-0.0054433464619786966,-0.06737474871425712,-0.09155325170457208,0.02186978193091632,0.004909854264540362,0.0346079024837215,-0.04487755743339752,-0.0008612907631202443,0.025840669408453937,-0.01982358125683229,0.019462012211361207,0.009474968411148603
BCL2,-0.011722022311700796,0.11618810670238269,-0.06186207942692286,-0.05104214628664697,0.08297036588519888,-0.01714635236248436,-0.11643463485453942,0.09196981591882063,-0.06676997214602248,0.02453498887189175,-0.0924679657784046,-0.14585322812488577,-0.006041403532182928,0.0055491516207952455,0.04948195705453176,-0.04231382370137777,0.056187477923358736,-0.03740838531933879,0.007464255601214064,0.06423429479026624,0.09770780834668381,0.00946001667831756,0.003373220706645326,-0.010701954641254565,-0.036711432907365324,-0.029625931893761552,0.02476087969749882,0.05669582810762841,-0.039844063991397234,-0.040934598898007234
IDH2,-0.3172900775210888,-0.020243762760520635,0.3079502143010669,0.1430997420243597,0.39209343957136195,0.026705175750931794,-0.1797035261294783,-0.006513349854774183,-0.2568332461899683,-0.1835024542222356,-0.09263552163546493,0.19118603806316756,-0.19326497019322095,-0.025505946476971804,0.10586274045171663,0.19397331350261904,-0.19573316207584768,4.732306460779242e-05,-0.28056515742417343,-0.020124511567533965,-0.004903374350499319,-0.10729216513972827,-0.14481449819639322,0.06872247222198262,0.017620233881859924,-0.06234038639652496,0.022441329628771933,-0.013233716745915638,-0.020049294880269117,0.025133289020124853
EZH2,0.06467928334526593,-0.07025210915240714,-0.02125690822698533,0.0780098882290466,0.09694519390036373,-0.00019763094696057605,0.029701975030818395,0.005171972867130662,-0.037729082812336265,-0.039796150671636145,0.06558727889795488,0.09245094720999635,-0.029711974504703635,0.06682625888796292,0.07580393964005665,0.011385247740768623,0.048728674291512744,-0.09568974441985562,0.10685208600584314,-0.03855433344808727,0.025759817184356708,0.017938861718991707,0.033616558392647676,0.07816608004824574,-0.04634861668815481,-0.017331461161113892,-0.04957444511262123,-0.08723909994160005,-0.07125752341674106,0.010047582159590894
