axis,axis_name,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
6,mode_06,O2 CO2 Exchange in Erythrocytes,,O2 CO2 Exchange in Erythrocytes,1,0.006666666666666667,0.05777796017013378,-0.0024121298796690657,0.0024121298796690657,negative,1339
6,mode_06,Aryl Hydrocarbon Receptor Signalling,,Aryl Hydrocarbon Receptor Signalling,3,0.02,0.14144054254182067,0.00205588612299,0.00205588612299,positive,1395
6,mode_06,SHC-mediated Cascade FGFR3,,SHC-mediated Cascade FGFR3,15,0.1,0.4689955935892812,-0.0019672870596356977,0.0019672870596356977,negative,1412
6,mode_06,Miro GTPase Cycle,,Miro GTPase Cycle,2,0.013333333333333334,0.10215803640865039,-0.008040226944649344,0.008040226944649344,negative,745
6,mode_06,ERKs Are Inactivated,,ERKs Are Inactivated,9,0.06,0.32744491915447627,0.011739069616357269,0.011739069616357269,positive,593
6,mode_06,Signal Amplification,,Signal Amplification,2,0.013333333333333334,0.10215803640865039,0.005747954414378604,0.005747954414378604,positive,954
6,mode_06,IRAK4 Deficiency (TLR2 4),,IRAK4 Deficiency (TLR2 4),4,0.02666666666666667,0.17738945318599736,0.022462284519467798,0.022462284519467798,positive,331
6,mode_06,Activation of Gene Expression by SREBF (SREBP),,Activation of Gene Expression by SREBF (SREBP),14,0.09333333333333334,0.4474992550368635,-0.016686089602243045,0.016686089602243045,negative,436
6,mode_06,MITF-M-dependent Gene Expression,,MITF-M-dependent Gene Expression,19,0.12666666666666668,0.5482251174503202,-0.003285009076412782,0.003285009076412782,negative,1245
6,mode_06,Mitotic Metaphase and Anaphase,,Mitotic Metaphase and Anaphase,47,0.31333333333333335,0.8969838216377446,-0.06752517283004981,0.06752517283004981,negative,65
6,mode_06,Elastic Fibre Formation,,Elastic Fibre Formation,3,0.02,0.14144054254182067,0.0038117353053596153,0.0038117353053596153,positive,1160
6,mode_06,CTNNB1 S45 Mutants Aren'T Phosphorylated,,CTNNB1 S45 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.005662232615397488,0.005662232615397488,negative,960
6,mode_06,RHO GTPase Effectors,,RHO GTPase Effectors,30,0.2,0.7219280948873623,-0.06473880249990852,0.06473880249990852,negative,70
6,mode_06,Processing of SMDT1,,Processing of SMDT1,1,0.006666666666666667,0.05777796017013378,0.004335269949884783,0.004335269949884783,positive,1107
