axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
6,mode_06,top_positive,mRNA Splicing,,mRNA Splicing,30,0.2,0.7219280948873623,0.13859890495829388,0.13859890495829388,positive,1
6,mode_06,top_positive,mRNA Splicing - Major Pathway,,mRNA Splicing - Major Pathway,30,0.2,0.7219280948873623,0.13859890495829388,0.13859890495829388,positive,2
6,mode_06,top_positive,RNA Polymerase II Transcription Termination,,RNA Polymerase II Transcription Termination,18,0.12,0.5293608652873644,0.13577743636477937,0.13577743636477937,positive,3
6,mode_06,top_positive,mRNA Splicing - Minor Pathway,,mRNA Splicing - Minor Pathway,23,0.15333333333333332,0.6181194891000384,0.13506754672725557,0.13506754672725557,positive,4
6,mode_06,top_positive,mRNA 3'-End Processing,,mRNA 3'-End Processing,17,0.11333333333333333,0.5098891423431209,0.12217684999649553,0.12217684999649553,positive,5
6,mode_06,top_positive,SARS-CoV-2 Modulates Host Translation Machinery,,SARS-CoV-2 Modulates Host Translation Machinery,10,0.06666666666666667,0.35335933502142136,0.10168905530420733,0.10168905530420733,positive,8
6,mode_06,top_positive,Processing of Capped Intronless Pre-mRNA,,Processing of Capped Intronless Pre-mRNA,9,0.06,0.32744491915447627,0.0986069221454842,0.0986069221454842,positive,16
6,mode_06,top_positive,SLBP Independent Processing of Histone Pre-mRNAs,,SLBP Independent Processing of Histone Pre-mRNAs,9,0.06,0.32744491915447627,0.09343993838451418,0.09343993838451418,positive,25
6,mode_06,top_positive,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,9,0.06,0.32744491915447627,0.09343993838451418,0.09343993838451418,positive,24
6,mode_06,top_positive,Myc Targets V1,,Myc Targets V1,48,0.32,0.9043814577244939,0.07148813312947505,0.07148813312947505,positive,60
6,mode_06,top_positive,rRNA Processing in the Nucleus and Cytosol,,rRNA Processing in the Nucleus and Cytosol,8,0.05333333333333334,0.30039141736478187,0.0694297722632214,0.0694297722632214,positive,62
6,mode_06,top_positive,RHOBTB1 GTPase Cycle,,RHOBTB1 GTPase Cycle,9,0.06,0.32744491915447627,0.06273521788957456,0.06273521788957456,positive,72
6,mode_06,top_positive,RNA Polymerase II Transcription,,RNA Polymerase II Transcription,85,0.5666666666666667,0.9871377743721863,0.05912633696896274,0.05912633696896274,positive,75
6,mode_06,top_positive,Formation of a Pool of Free 40S Subunits,,Formation of a Pool of Free 40S Subunits,7,0.04666666666666667,0.2720647864044614,0.059076116573082024,0.059076116573082024,positive,77
6,mode_06,top_positive,L13a-mediated Translational Silencing of Ceruloplasmin Expression,,L13a-mediated Translational Silencing of Ceruloplasmin Expression,7,0.04666666666666667,0.2720647864044614,0.059076116573082024,0.059076116573082024,positive,78
