left,right,distance,count
20.0,41.0,0.00021988989335806978,2.0
138.0,148.0,0.0008602145133994106,2.0
48.0,90.0,0.0011509865572404535,2.0
43.0,73.0,0.0015673118818361417,2.0
13.0,57.0,0.001977167333032323,2.0
26.0,153.0,0.0020044162717312193,3.0
145.0,151.0,0.0020642426130775392,3.0
47.0,155.0,0.0026420593595570794,4.0
128.0,156.0,0.003319524767702196,4.0
10.0,119.0,0.00400806042249862,2.0
18.0,84.0,0.004313724787722159,2.0
59.0,76.0,0.004655407170228277,2.0
15.0,70.0,0.004866333154293391,2.0
89.0,159.0,0.005312167611463926,3.0
103.0,105.0,0.005331653351599123,2.0
30.0,157.0,0.005614585068619422,5.0
62.0,116.0,0.005696688219479469,2.0
27.0,161.0,0.005700068822239622,3.0
0.0,53.0,0.006370261457875444,2.0
152.0,166.0,0.006958326687526934,4.0
2.0,38.0,0.007182366784278166,2.0
55.0,160.0,0.007723023150836854,3.0
36.0,147.0,0.00811429070964591,2.0
136.0,164.0,0.008409775808796847,3.0
69.0,162.0,0.008532040868623698,3.0
98.0,154.0,0.008595940376593825,3.0
139.0,158.0,0.008754301178417632,5.0
8.0,167.0,0.00902488729285388,4.0
9.0,86.0,0.009791368246065815,2.0
120.0,169.0,0.010168573516259901,5.0
63.0,135.0,0.011045230309737501,2.0
83.0,179.0,0.011779559983860712,6.0
110.0,173.0,0.012014899589326397,4.0
123.0,125.0,0.012197520841890361,2.0
61.0,64.0,0.012681593428731035,2.0
168.0,171.0,0.012733871579376466,5.0
11.0,50.0,0.01293294553108317,2.0
1.0,141.0,0.012944055323832653,2.0
65.0,165.0,0.013054729754852414,6.0
52.0,178.0,0.013451696538625255,3.0
77.0,95.0,0.013470858435730001,2.0
82.0,175.0,0.013921675530498384,4.0
131.0,180.0,0.014071737436491639,3.0
40.0,132.0,0.014115808391291685,2.0
130.0,142.0,0.015093968466891223,2.0
79.0,191.0,0.015507197547210751,5.0
144.0,150.0,0.015510684708325798,3.0
17.0,181.0,0.015849719500377116,7.0
104.0,121.0,0.016665525389236723,2.0
187.0,189.0,0.016861698129188706,5.0
56.0,172.0,0.017820622957828457,3.0
85.0,92.0,0.018736293650267688,2.0
118.0,183.0,0.01885838244658639,3.0
97.0,177.0,0.018905649327220726,5.0
176.0,194.0,0.018974829784078835,7.0
54.0,170.0,0.018992915298018838,3.0
109.0,127.0,0.019152666816902954,2.0
88.0,185.0,0.019334173898826953,6.0
32.0,190.0,0.01968605769933241,3.0
195.0,196.0,0.02016019592138411,8.0
28.0,203.0,0.02043163621503868,6.0
140.0,199.0,0.021949579553056167,6.0
34.0,58.0,0.022333202852748233,2.0
108.0,193.0,0.022414736855096647,3.0
39.0,126.0,0.022945104998121066,2.0
94.0,174.0,0.023351664535717066,4.0
4.0,209.0,0.023472600861406307,9.0
74.0,106.0,0.024040611364082632,2.0
21.0,143.0,0.02423032373119532,2.0
67.0,102.0,0.025067706595696664,2.0
129.0,192.0,0.025174126809747274,4.0
72.0,213.0,0.025567522457823677,4.0
44.0,207.0,0.02631657744955572,7.0
3.0,149.0,0.026423815279039517,2.0
198.0,202.0,0.027313624026018685,5.0
96.0,216.0,0.027712521566050703,10.0
184.0,210.0,0.027815379718206495,8.0
46.0,113.0,0.027886150815391537,2.0
6.0,215.0,0.028632962403153172,5.0
12.0,42.0,0.0287943938683326,2.0
114.0,206.0,0.029249216670197812,3.0
101.0,163.0,0.02968492640209538,4.0
51.0,186.0,0.029759949728197524,3.0
16.0,133.0,0.029827440393466197,2.0
122.0,188.0,0.029859891330561206,7.0
208.0,212.0,0.030196122618856402,5.0
201.0,217.0,0.03124379654199406,4.0
211.0,224.0,0.031325016376265745,11.0
200.0,220.0,0.03188897949604085,7.0
5.0,221.0,0.032180582363811785,5.0
45.0,107.0,0.032884035119824025,2.0
81.0,87.0,0.03384320851770972,2.0
19.0,235.0,0.034272665761934926,6.0
7.0,35.0,0.03433678849337258,2.0
99.0,112.0,0.034392735381048686,2.0
182.0,230.0,0.03511030647318553,7.0
91.0,226.0,0.035157886245044484,9.0
14.0,22.0,0.0354077602066809,2.0
214.0,242.0,0.035485804782039464,8.0
117.0,225.0,0.03630423748067176,11.0
227.0,233.0,0.03638833028731085,4.0
204.0,231.0,0.03787356271384134,11.0
124.0,146.0,0.03828550017307202,2.0
25.0,66.0,0.03838501823617877,2.0
23.0,78.0,0.040285886959289106,2.0
100.0,252.0,0.04080965854864986,3.0
71.0,236.0,0.04112163627356306,5.0
49.0,246.0,0.042480785187096685,10.0
219.0,256.0,0.04264382471910346,7.0
228.0,248.0,0.04277151044204993,13.0
238.0,240.0,0.04332762285633432,9.0
