gene,mode_06,mode_07,mode_08,mode_09,mode_10
SRSF2,0.2686504784409795,-0.08106383995081229,-0.13126853030067775,0.08388074970367841,-0.13112890345785774
RARA,-0.08725455918323939,-0.33785912584235084,0.01876722066389822,0.04132680067537875,0.06619110274790051
SMC3,0.020997981891291213,-0.09396349078884882,-0.1707310090848328,-0.05709349154893505,-0.026426425345279763
DEK,0.16117602023917657,0.2597854948107486,-0.04500685658613174,-0.09950092284860487,-0.17633691949552277
TET2,0.026448848829552497,0.08585520760447742,-0.027808663956047783,-0.24263789230698568,0.16067707273874834
PML,0.013451269192517728,-0.19015038393654435,0.11643954039811391,0.08259791535939626,-0.01313505698164981
TP53,0.19396004551591406,-0.008772988078217497,0.2047697473436435,-0.09386176478205552,-0.08014596524867552
SMC1A,-0.03838799135276434,0.0208078401467632,0.08980380289711978,-0.04373813366864425,-0.024806948528849612
FLT3,-0.04831506259876236,0.037089720651107716,-0.0004254041963022064,0.13490852766969738,-0.17394976860662714
RUNX1,-0.08339211764986526,-0.3194542291008004,0.04003788985404194,0.09297056166563135,0.11165959868999362
IDH1,-0.10619039348850833,-0.05065611909677557,-0.23362854676992462,0.007080466671765613,-0.0132769989060294
SF3B1,0.3425419297534414,-0.11963143633344496,-0.04307051704534026,-0.031564408852742844,0.21518488602245173
WT1,0.00506495055074207,-0.03159073457284305,-0.02806052679542229,-0.004700629897965706,0.08859871587399139
NRAS,-0.012172103307172798,0.02500127178591056,-0.06012461352407697,-0.13729020380500911,0.23866064914237886
KMT2A,-0.035634614448638156,-0.0153146945589873,-0.031263589301372956,-0.09430502022118684,-0.12735769849142164
BCL2,0.19561352238704433,-0.13456873522249962,0.2997572088234207,-0.27573653730207354,-0.01621121396254016
IDH2,0.007102136387968546,-0.06935300248780359,-0.05704602330650405,-0.018909840223905804,-0.023093015168888214
EZH2,-0.01351273847686418,0.14311453845232971,-0.04240273416834742,-0.13012894485643525,-0.134597101882208
ZRSR2,0.3108187232186658,-0.11003068293338285,-0.16423645837534628,0.13135148652761763,-0.08143647971899225
RAD21,0.09252357738284464,-0.010760659896455867,0.1444519389780379,0.05896171965659285,-0.004611617553830088
KRAS,0.04886648286741588,-0.013059452037696656,-0.08860468648976359,-0.1832921983268765,0.33753127990871357
DNMT3A,-0.035736724841774446,0.059196741503902896,0.045714890089456006,-0.08456034197007548,-0.12104616788342722
ASXL1,0.03688739363163597,0.04671159431334536,-0.022211696309961518,-0.08874324281694727,-0.02684605792213517
U2AF1,0.30121542506548715,-0.12482854250581164,0.05660608496266223,0.031134455503910082,-0.1898578459411534
GATA2,-0.04559805782131059,-0.09207280089327181,-0.06488510995445186,0.06618253054633187,0.21017439995842768
CEBPA,0.05930061215270326,-0.20044074030466189,0.10781351990531027,-0.040057033262131475,-0.1594557777831047
NUP214,-0.5364248854769708,0.16987620226185174,0.2205889608050697,0.04862465959034707,0.08153270292282769
KIT,-0.05792908849188441,0.03800487047225561,-0.007477411979125518,0.09920486931695717,-0.15193535801557403
PTPN11,-0.04556841296283294,0.05457676380896252,-0.002514513793634136,0.06520600937569951,-0.18056626937310893
STAG2,0.01731121458457129,-0.06481444668585873,0.08340003088960074,-0.06345171321554213,0.124792876307497
MECOM,-0.4298995738944865,0.18446487298875017,0.18640961191194375,0.029135794641373287,0.039863474867652356
