gene,cluster_id,cluster_size
SRSF2,3,22
RARA,4,85
SMC3,4,85
DEK,4,85
TET2,4,85
PML,4,85
TP53,4,85
SMC1A,2,8
FLT3,1,26
RUNX1,3,22
IDH1,4,85
SF3B1,1,26
WT1,4,85
NRAS,3,22
KMT2A,4,85
BCL2,1,26
IDH2,4,85
EZH2,0,9
ZRSR2,3,22
RAD21,4,85
KRAS,3,22
DNMT3A,0,9
ASXL1,0,9
U2AF1,4,85
GATA2,4,85
CEBPA,4,85
NUP214,4,85
KIT,1,26
PTPN11,1,26
STAG2,4,85
MECOM,3,22
NPM1,1,26
WAPL,4,85
SMC1B,4,85
CDCA5,2,8
SGO1,2,8
REC8,3,22
MXD4,4,85
STAG3,4,85
NIPBL,4,85
SPI1,4,85
GPR31,3,22
STAG1,4,85
NXF2,4,85
CARNMT1,3,22
ELF4,4,85
KRTAP10-3,4,85
AIRE,4,85
ZNF513,0,9
SLA,1,26
ZRSR1,1,26
SRRM1,1,26
ANKRD11,4,85
CIRSR,3,22
ZNF207,4,85
U2AF1L4,3,22
USP37,4,85
FMO3,3,22
ADAR,4,85
SH2B3,1,26
SSU72,4,85
SOCS1,1,26
PAF1,4,85
USP13,4,85
TEC,1,26
RGPD2,4,85
WAPAL,4,85
KAT6A,4,85
HLF,4,85
HRK,1,26
BNIPL,1,26
GRB10,1,26
MED1,4,85
NUP93,4,85
PDS5B,4,85
CBL,1,26
OVCA2,1,26
PDS5A,4,85
RBM15,4,85
TFEC,4,85
C19ORF43,4,85
ZFPM1,4,85
RADIL,3,22
HIST1H3A,0,9
ZRSR2P1,3,22
PIK3CG,3,22
IRX4,4,85
CITED1,4,85
GPATCH11,3,22
PPP4R3A,3,22
SUV39H1,0,9
KITLG,1,26
PECAM1,3,22
HIST1H4A,4,85
AVEN,1,26
MAU2,4,85
PAWR,3,22
MATK,1,26
RGL2,3,22
CDK1,2,8
BCOR,4,85
CELA1,4,85
CSN1S1,4,85
CBX7,4,85
ZBTB5,4,85
PCGF5,1,26
HAO2,4,85
KDM2B,1,26
ZBTB7A,4,85
PCGF1,4,85
PCGF3,1,26
L3MBTL1,0,9
CARD8,4,85
NACC1,4,85
PCGF2,4,85
HSPA12A,4,85
MLLT1,4,85
ERP44,4,85
NFIC,2,8
SNAPC4,4,85
MLLT3,4,85
QPRT,4,85
KPNA4,4,85
NFIA,2,8
CBX4,4,85
NFIX,1,26
SHARPIN,4,85
RING1,4,85
C6ORF141,4,85
YAF2,4,85
PPP4R1L,4,85
RNF2,0,9
BCL6,4,85
NAA10,4,85
DCAF7,2,8
RYBP,4,85
CBX8,1,26
PIP,2,8
NCAPH2,4,85
B4GALT2,4,85
SP1,4,85
CTBP1,3,22
CDC16,4,85
CBX3,0,9
BRAF,3,22
CCDC96,4,85
CBX6,1,26
SKP1,4,85
S100P,4,85
USP7,4,85
