run_id,cluster_id,cluster_size,mean_within_tfidf_cosine
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,0,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,1,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,2,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,3,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,4,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,5,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,6,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,7,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,8,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,9,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,10,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,11,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,12,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,13,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,14,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,15,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,16,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,17,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,18,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,19,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,20,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,21,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,22,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,23,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,24,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,25,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,26,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,27,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,28,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,29,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,30,2,0.9897179652757888
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,31,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,32,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,33,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,34,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,35,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,36,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,37,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,38,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,39,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,40,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,41,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,42,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,43,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,44,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,45,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,46,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,47,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,48,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,49,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,50,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,51,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,52,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,53,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,54,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,55,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,56,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,57,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,58,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,59,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,60,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,61,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,62,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,63,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,64,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,65,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,66,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,67,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,68,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,69,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,70,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,71,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,72,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,73,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,74,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,75,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,76,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,77,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,78,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,79,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,80,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,81,2,0.898598128954168
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,82,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,83,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,84,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,85,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,86,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,87,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,88,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,89,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,90,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,91,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,92,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,93,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,94,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,95,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,96,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,97,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,98,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,99,2,0.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,100,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,101,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,102,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,103,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,104,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,105,2,0.9892460676875634
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,106,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,107,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,108,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,109,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,110,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,111,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,112,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,113,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,114,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,115,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,116,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,117,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,118,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,119,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,120,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,121,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,122,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,123,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,124,1,
