run_id,cluster_id,cluster_size,n_significant_terms_q05,min_q_value,top_term,top_term_prevalence_delta,coherent_by_rule
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,0,2,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006756756756756757,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,1,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,2,2,0,0.2744613210879548,SHC-mediated Cascade FGFR3,0.9121621621621622,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,3,4,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.00684931506849315,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,4,3,0,0.060402684563758385,APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,0.9387755102040817,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,5,3,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006802721088435374,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,6,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,7,4,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.00684931506849315,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,8,2,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006756756756756757,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,9,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,10,3,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006802721088435374,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,11,3,0,0.44697986577181203,Muscle Contraction,0.6666666666666666,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,12,3,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006802721088435374,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,13,3,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006802721088435374,False
