run_id,specificity_aware_rank,display_rank,weighting,block_name,status,assignment_source,cluster_id,cluster_size,tested,n_significant_terms,best_q_value,top_term,top_go_id,top_hits,top_background_hits,top_cluster_prevalence,top_background_prevalence,top_prevalence_delta,top_lift,meaningfulness_label,member_genes
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,1,1,binary,adaptive_modes_02_05,ok,accepted_tbs,0,21,True,430,9.269744481053549e-26,IGF1R Signaling Cascade,,21,21,1.0,0.14,0.86,7.142857142857142,strong,BRAF;CBL;FLT3;FMO3;GPR31;GRB10;KIT;KITLG;KRAS;MATK;NRAS;OVCA2;PECAM1;PIK3CG;PTPN11;RADIL;RGL2;SH2B3;SLA;SOCS1;TEC
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,1,1,binary,adaptive_modes_02_05,ok,accepted_tbs,1,20,True,123,3.411440269955555e-17,Mitotic Telophase Cytokinesis,,20,31,1.0,0.20666666666666667,0.7933333333333333,4.838709677419355,strong,ADAR;CDCA5;HIST1H3A;HIST1H4A;MAU2;MXD4;NIPBL;PDS5A;PDS5B;RAD21;RBM15;SMC1A;SMC1B;SMC3;SSU72;STAG1;STAG2;STAG3;WAPAL;WAPL
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,1,1,binary,adaptive_modes_02_05,ok,accepted_tbs,2,19,True,99,5.274700157362683e-16,Transport of Mature mRNA Derived From an Intron-Containing Transcript,,17,22,0.8947368421052632,0.14666666666666667,0.7480701754385966,6.100478468899522,strong,AIRE;C19ORF43;CARNMT1;CIRSR;GPATCH11;KPNA4;NPM1;NUP214;NUP93;NXF2;RGPD2;SF3B1;SRRM1;SRSF2;U2AF1;U2AF1L4;ZRSR1;ZRSR2;ZRSR2P1
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,1,1,binary,adaptive_modes_02_05,ok,accepted_tbs,3,43,True,210,2.6280169022513756e-14,Epigenetic Regulation of Gene Expression,,37,57,0.8604651162790697,0.38,0.48046511627906974,2.26438188494492,strong,ANKRD11;ASXL1;BCL6;BCOR;CBX3;CBX4;CBX6;CBX7;CBX8;CEBPA;CTBP1;DEK;DNMT3A;EZH2;GATA2;IRX4;KAT6A;KDM2B;KMT2A;MECOM;MED1;MLLT1;MLLT3;NACC1;NFIA;NFIC;NFIX;PAF1;PCGF1;PCGF3;PCGF5;QPRT;RARA;RUNX1;SPI1;SUV39H1;TET2;USP7;WT1;ZBTB5;ZBTB7A;ZFPM1;ZNF513
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,1,1,binary,adaptive_modes_02_05,ok,accepted_tbs,4,47,True,171,6.88030264209453e-10,G2 M Transition,,25,31,0.5319148936170213,0.20666666666666667,0.3252482269503546,2.5737817433081673,strong,AVEN;B4GALT2;BCL2;BNIPL;C6ORF141;CARD8;CCDC96;CDC16;CDK1;CELA1;CITED1;CSN1S1;DCAF7;ELF4;ERP44;HAO2;HLF;HRK;HSPA12A;IDH1;IDH2;KRTAP10-3;L3MBTL1;NAA10;NCAPH2;PAWR;PCGF2;PIP;PML;PPP4R1L;PPP4R3A;REC8;RING1;RNF2;RYBP;S100P;SGO1;SHARPIN;SKP1;SNAPC4;SP1;TFEC;TP53;USP13;USP37;YAF2;ZNF207
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,2,2,tfidf,adaptive_modes_11_21,ok,accepted_tbs,0,9,True,67,1.1747265866119487e-09,Defective Pyroptosis,,8,12,0.8888888888888888,0.08,0.8088888888888889,11.11111111111111,strong,ASXL1;CBX3;DNMT3A;EZH2;HIST1H3A;L3MBTL1;RNF2;SUV39H1;ZNF513
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,2,2,tfidf,adaptive_modes_11_21,ok,accepted_tbs,1,26,True,383,1.4945624433650035e-10,Interleukin-6 Family Signaling,,12,12,0.46153846153846156,0.08,0.38153846153846155,5.769230769230769,strong,AVEN;BCL2;BNIPL;CBL;CBX6;CBX8;FLT3;GRB10;HRK;KDM2B;KIT;KITLG;MATK;NFIX;NPM1;OVCA2;PCGF3;PCGF5;PTPN11;SF3B1;SH2B3;SLA;SOCS1;SRRM1;TEC;ZRSR1
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,2,2,tfidf,adaptive_modes_11_21,ok,accepted_tbs,2,8,True,60,1.6228817206780792e-10,CTNNB1 S45 Mutants Aren'T Phosphorylated,,8,12,1.0,0.08,0.92,12.5,strong,CDCA5;CDK1;DCAF7;NFIA;NFIC;PIP;SGO1;SMC1A
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,2,2,tfidf,adaptive_modes_11_21,ok,accepted_tbs,3,22,True,183,1.3751528663121464e-08,RAS Signaling Downstream of NF1 Loss-Of-Function Variants,,10,11,0.45454545454545453,0.07333333333333333,0.3812121212121212,6.198347107438016,strong,BRAF;CARNMT1;CIRSR;CTBP1;FMO3;GPATCH11;GPR31;KRAS;MECOM;NRAS;PAWR;PECAM1;PIK3CG;PPP4R3A;RADIL;REC8;RGL2;RUNX1;SRSF2;U2AF1L4;ZRSR2;ZRSR2P1
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,2,2,tfidf,adaptive_modes_11_21,ok,accepted_tbs,4,85,True,27,0.000122251347356236,"Cell Cycle, Mitotic",,54,73,0.6352941176470588,0.4866666666666667,0.1486274509803921,1.305398871877518,statistical_but_broad,ADAR;AIRE;ANKRD11;B4GALT2;BCL6;BCOR;C19ORF43;C6ORF141;CARD8;CBX4;CBX7;CCDC96;CDC16;CEBPA;CELA1;CITED1;CSN1S1;DEK;ELF4;ERP44;GATA2;HAO2;HIST1H4A;HLF;HSPA12A;IDH1;IDH2;IRX4;KAT6A;KMT2A;KPNA4;KRTAP10-3;MAU2;MED1;MLLT1;MLLT3;MXD4;NAA10;NACC1;NCAPH2;NIPBL;NUP214;NUP93;NXF2;PAF1;PCGF1;PCGF2;PDS5A;PDS5B;PML;PPP4R1L;QPRT;RAD21;RARA;RBM15;RGPD2;RING1;RYBP;S100P;SHARPIN;SKP1;SMC1B;SMC3;SNAPC4;SP1;SPI1;SSU72;STAG1;STAG2;STAG3;TET2;TFEC;TP53;U2AF1;USP13;USP37;USP7;WAPAL;WAPL;WT1;YAF2;ZBTB5;ZBTB7A;ZFPM1;ZNF207
