run_id,iteration,weighting,block_name,assignment_source,n_tested_clusters,null_strong_fraction,null_enriched_fraction,null_median_significant_terms
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,0,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,0.8,6.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,1,binary,adaptive_modes_02_05,accepted_tbs,5,0.2,1.0,2.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,2,binary,adaptive_modes_02_05,accepted_tbs,5,0.2,0.8,15.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,3,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,1.0,5.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,4,binary,adaptive_modes_02_05,accepted_tbs,5,0.8,1.0,11.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,5,binary,adaptive_modes_02_05,accepted_tbs,5,0.0,1.0,4.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,6,binary,adaptive_modes_02_05,accepted_tbs,5,0.2,1.0,1.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,7,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,0.8,3.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,8,binary,adaptive_modes_02_05,accepted_tbs,5,0.2,0.8,1.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,9,binary,adaptive_modes_02_05,accepted_tbs,5,0.2,0.8,8.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,10,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,1.0,10.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,11,binary,adaptive_modes_02_05,accepted_tbs,5,0.2,0.8,4.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,12,binary,adaptive_modes_02_05,accepted_tbs,5,0.8,1.0,9.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,13,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,1.0,3.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,14,binary,adaptive_modes_02_05,accepted_tbs,5,0.2,0.6,2.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,15,binary,adaptive_modes_02_05,accepted_tbs,5,0.6,0.8,10.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,16,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,1.0,8.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,17,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,0.8,3.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,18,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,0.8,1.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,19,binary,adaptive_modes_02_05,accepted_tbs,5,0.2,0.4,0.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,20,binary,adaptive_modes_02_05,accepted_tbs,5,0.0,0.6,1.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,21,binary,adaptive_modes_02_05,accepted_tbs,5,0.2,0.4,0.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,22,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,1.0,6.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,23,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,1.0,7.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,24,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,1.0,5.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,25,binary,adaptive_modes_02_05,accepted_tbs,5,0.6,0.8,1.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,26,binary,adaptive_modes_02_05,accepted_tbs,5,0.2,1.0,10.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,27,binary,adaptive_modes_02_05,accepted_tbs,5,0.4,0.6,6.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,28,binary,adaptive_modes_02_05,accepted_tbs,5,0.0,0.8,1.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,29,binary,adaptive_modes_02_05,accepted_tbs,5,0.6,0.8,15.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,0,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,0.6,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,1,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,1.0,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,2,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,1.0,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,3,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,1.0,5.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,4,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.8,3.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,5,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,1.0,2.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,6,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.6,2.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,7,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,8,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.4,0.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,9,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,10,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.6,0.8,6.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,11,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,12,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.6,0.8,9.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,13,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,14,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.6,3.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,15,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.8,0.8,7.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,16,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.2,0.8,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,17,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.0,0.8,1.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,18,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,0.8,4.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,19,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.6,0.8,8.0
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,20,tfidf,adaptive_modes_11_21,accepted_tbs,5,0.4,1.0,13.0
