run_id,specificity_aware_rank,display_rank,weighting,block_name,status,assignment_source,n_clusters,n_tested_clusters,n_strong_clusters,n_enriched_clusters,n_weak_or_broad_clusters,strong_fraction,enriched_fraction,weak_or_broad_fraction,median_best_q_value,median_top_lift,median_significant_terms,null_enriched_fraction_mean,null_enriched_fraction_p95,empirical_p_enriched_fraction,null_strong_fraction_mean,null_strong_fraction_p95,empirical_p_strong_fraction,eigenband_coherence,top_terms
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,1.0,1.0,binary,adaptive_modes_02_05,ok,accepted_tbs,5,5,5,5,0,1.0,1.0,0.0,5.274700157362683e-16,4.838709677419355,171.0,0.8400000000000001,1.0,0.45161290322580644,0.33999999999999997,0.7099999999999994,0.03225806451612903,above_null_mean_not_strong,IGF1R Signaling Cascade;Mitotic Telophase Cytokinesis;Transport of Mature mRNA Derived From an Intron-Containing Transcript;Epigenetic Regulation of Gene Expression;G2 M Transition
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_11_21,2.0,2.0,tfidf,adaptive_modes_11_21,ok,accepted_tbs,5,5,4,5,1,0.8,1.0,0.2,1.1747265866119487e-09,6.198347107438016,67.0,0.7866666666666668,1.0,0.25806451612903225,0.3466666666666667,0.6,0.06451612903225806,above_null_mean_not_strong,"Cell Cycle, Mitotic;Interleukin-6 Family Signaling;CTNNB1 S45 Mutants Aren'T Phosphorylated;Defective Pyroptosis;RAS Signaling Downstream of NF1 Loss-Of-Function Variants"
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3.0,3.0,tfidf,adaptive_modes_06_10,ok,accepted_tbs,66,27,19,27,0,0.7037037037037037,1.0,0.0,0.00019160972444696772,14.285714285714285,41.0,0.8913580246913582,0.9629629629629629,0.03225806451612903,0.25185185185185177,0.3537037037037036,0.03225806451612903,coherent,RHOQ GTPase Cycle;Metabolism of Cofactors;PP2A-mediated Dephosphorylation of Key Metabolic Factors;Formation of the Cornified Envelope;Lysosome Vesicle Biogenesis;Specification of Primordial Germ Cells;Telomere Extension By Telomerase;Membrane Trafficking
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_52_80,4.0,4.0,binary,adaptive_modes_52_80,ok,accepted_tbs,16,11,7,11,0,0.6363636363636364,1.0,0.0,0.004266405108928364,5.357142857142857,9.0,0.9303030303030303,1.0,0.45161290322580644,0.3484848484848485,0.5454545454545454,0.03225806451612903,above_null_mean_not_strong,Signaling by Retinoic Acid;Insulin Processing;Negative Regulation of Activity of TFAP2 (AP-2) Family Transcription Factors;Regulation of Pyruvate Metabolism;CaMK IV-mediated Phosphorylation of CREB;Extra-nuclear Estrogen Signaling;Regulation of RUNX3 Expression and Activity;AKT Phosphorylates Targets in the Nucleus
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_63_80,5.0,5.0,tfidf,adaptive_modes_63_80,ok,accepted_tbs,59,30,5,28,2,0.16666666666666666,0.9333333333333333,0.06666666666666667,0.0031481067718415008,15.833333333333332,15.5,0.8666666666666666,0.9666666666666667,0.2903225806451613,0.19333333333333336,0.26666666666666666,0.7741935483870968,above_null_mean_not_strong,Muscle Contraction;RUNX2 Regulates Chondrocyte Maturation;Phospholipase C-mediated Cascade; FGFR3;Formation of Annular Gap Junctions;Creatine Metabolism;Regulation of Pyruvate Dehydrogenase (PDH) Complex;SARS-CoV-2 Modulates Autophagy;Carboxyterminal Post-Translational Modifications of Tubulin
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,6.0,6.0,tfidf,adaptive_modes_02_05,ok,accepted_tbs,122,4,1,3,0,0.25,0.75,0.0,0.0017213200264283475,13.88888888888889,5.0,0.85,1.0,0.8709677419354839,0.26666666666666666,0.6374999999999993,0.7419354838709677,null_like_or_weak,COPII-mediated Vesicle Transport;SARS-CoV-2 Targets Host Intracellular Signalling and Regulatory Pathways;SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_06_09,7.0,7.0,binary,adaptive_modes_06_09,ok,accepted_tbs,148,0,0,0,0,,,,,,,,,,,,,insufficient_tested_clusters,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_10_21,8.0,8.0,binary,adaptive_modes_10_21,ok,accepted_tbs,146,0,0,0,0,,,,,,,,,,,,,insufficient_tested_clusters,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_22_62,9.0,9.0,tfidf,adaptive_modes_22_62,ok,accepted_tbs,145,0,0,0,0,,,,,,,,,,,,,insufficient_tested_clusters,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,10.0,10.0,binary,adaptive_modes_22_51,ok,accepted_tbs,144,0,0,0,0,,,,,,,,,,,,,insufficient_tested_clusters,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_common_mode_01,11.0,11.0,tfidf,adaptive_common_mode_01,ok,accepted_tbs,137,2,1,2,0,0.5,1.0,0.0,0.020387138064333225,8.402777777777777,3.0,0.8666666666666667,1.0,0.7419354838709677,0.3,0.5,0.6129032258064516,insufficient_tested_clusters,SARS-CoV-2 Targets Host Intracellular Signalling and Regulatory Pathways;Formation of the Cornified Envelope
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12.0,12.0,binary,adaptive_common_mode_01,ok,accepted_tbs,112,8,0,7,1,0.0,0.875,0.125,0.035852432364833875,5.88235294117647,2.0,0.8375,1.0,0.6451612903225806,0.24583333333333332,0.5,1.0,above_null_mean_not_strong,HCMV Late Events;Formation of the Cornified Envelope;SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs;mRNA 3'-End Processing;mRNA 3'-End Processing;SARS-CoV-2 Targets Host Intracellular Signalling and Regulatory Pathways;SUMOylation of Chromatin Organization Proteins;SUMOylation of DNA Damage Response and Repair Proteins
